apple_mobility_7d,google_mobility_7d,fb_movement_change,asbestosis_mortality,pneumoconiosis_mortality,diarrheal_mortality,other_pneumoconiosis_mortality,silicosis_mortality,COPD_mortality,chronic_respiratory_mortality,interstitial_lung_mortality,other_resp_mortality,POP_DENSITY,predicted,real_values
65.55,-11.166666666666664,-0.1976657142857143,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,48.09357,25.0
59.87857142857143,-15.857142857142856,-0.2467642857142857,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,75.05179,91.0
59.49000000000001,-15.309523809523812,-0.24294,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,66.653046,73.0
57.532857142857154,-20.80952380952381,-0.28072714285714284,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,124.10748,94.0
71.25857142857143,-20.50952380952381,-0.2181542857142857,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,165.86414,125.0
72.2157142857143,-21.271428571428565,-0.22726428571428564,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,180.20358,191.0
82.54428571428573,-14.785714285714285,-0.13021285714285707,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,138.7602,141.0
84.07857142857144,-14.404761904761909,-0.12256285714285706,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,139.54407,158.0
88.02714285714286,-12.023809523809526,-0.0991142857142856,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,128.09094,182.0
102.16428571428574,-10.071428571428571,-0.07858857142857135,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,169.74548,209.0
99.24428571428578,-9.833333333333334,-0.08676714285714279,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,153.04486,214.0
110.78142857142859,-10.757142857142858,-0.08021285714285709,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,277.41296,251.0
106.9985714285715,-13.890476190476189,-0.10378428571428563,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,293.74487,503.0
108.16571428571436,-13.29047619047619,-0.1058799999999999,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,313.044,445.0
112.73571428571437,-10.29047619047619,-0.09543857142857136,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,337.10486,378.0
116.01142857142862,-7.314285714285715,-0.06388714285714278,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,297.14612,302.0
116.20714285714293,-6.71904761904762,-0.057067142857142775,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,282.5085,203.0
115.06285714285721,-6.833333333333335,-0.058768571428571365,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,271.69717,230.0
114.2485714285715,-7.571428571428572,-0.06308999999999994,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,273.24692,258.0
124.91571428571434,-7.938095238095237,-0.057595714285714215,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,406.43613,409.0
128.99571428571434,-6.84761904761905,-0.03964571428571422,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,398.68045,429.0
130.04857142857142,-6.395238095238098,-0.035598571428571354,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,394.93466,475.0
121.11285714285714,11.523809523809529,0.04889999999999999,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,44.433353,0.0
109.67428571428572,6.2619047619047645,0.0056171428571428405,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,23.70218,0.0
106.26142857142858,2.2619047619047663,-0.02231285714285716,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,40.184483,0.0
102.63285714285713,1.1904761904761951,-0.04624714285714287,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,53.95676,2.0
87.98714285714287,-6.4999999999999964,-0.12799571428571432,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,64.16455,11.0
83.81571428571428,-7.309523809523804,-0.1406171428571429,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,48.578632,14.0
79.61571428571428,-7.238095238095234,-0.15198000000000006,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,19.245989,17.0
76.31857142857143,-9.761904761904756,-0.1755728571428572,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,32.82146,20.0
74.3785714285714,-10.16666666666666,-0.18641000000000005,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,30.42499,19.0
71.46999999999998,-10.238095238095232,-0.20684000000000008,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,34.321796,4.0
69.44428571428571,-8.880952380952378,-0.22873714285714294,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,51.424656,65.0
68.49285714285713,-11.238095238095235,-0.23028428571428586,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,47.81589,21.0
68.95714285714284,-11.738095238095234,-0.22098000000000007,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,34.803226,51.0
70.25571428571432,-15.190476190476188,-0.2456371428571429,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,122.384834,86.0
