region,Location,smoking_prevalence
MO,Wright County,28.55
MO,St. Louis City,28.75
MT,Beaverhead County,19.28
MT,Big Horn County,30.99
MT,Blaine County,27.65
MT,Broadwater County,24.07
MT,Carbon County,19.34
MT,Carter County,22.9
MT,Cascade County,22.65
MT,Chouteau County,22.91
MT,Custer County,23.25
MT,Daniels County,20.05
MT,Dawson County,23.28
MT,Deer Lodge County,26.04
MT,Fallon County,21.72
MT,Fergus County,22.08
MT,Flathead County,19.27
MT,Gallatin County,15.08
MT,Garfield County,23.0
MT,Glacier County,29.13
MT,Golden Valley County,20.01
MT,Granite County,21.15
MT,Hill County,25.62
MT,Jefferson County,18.48
MT,Judith Basin County,18.35
MT,Lake County,24.64
MT,Lewis and Clark County,18.73
MT,Liberty County,24.04
MT,Lincoln County,21.41
MT,McCone County,20.65
MT,Madison County,17.78
MT,Meagher County,26.6
MT,Mineral County,25.88
MT,Missoula County,18.47
MT,Musselshell County,23.58
MT,Park County,19.54
MT,Petroleum County,20.26
MT,Phillips County,23.69
MT,Pondera County,23.64
MT,Powder River County,21.85
MT,Powell County,25.23
MT,Prairie County,21.81
MT,Ravalli County,20.55
MT,Richland County,24.41
MT,Roosevelt County,31.77
MT,Rosebud County,24.29
MT,Sanders County,23.15
MT,Sheridan County,21.89
MT,Silver Bow County,24.64
MT,Stillwater County,20.79
MT,Sweet Grass County,20.21
MT,Teton County,19.41
MT,Toole County,25.24
MT,Treasure County,21.0
MT,Valley County,24.35
MT,Wheatland County,22.71
MT,Wibaux County,21.22
MT,Yellowstone County,21.61
NE,Adams County,20.46
NE,Antelope County,22.09
NE,Arthur County,17.86
NE,Banner County,18.52
NE,Blaine County,21.74
NE,Boone County,21.11
NE,Box Butte County,22.95
NE,Boyd County,22.97
NE,Brown County,22.56
NE,Buffalo County,18.21
NE,Burt County,21.47
NE,Butler County,23.86
NE,Cass County,22.06
NE,Cedar County,22.15
NE,Chase County,21.44
NE,Cherry County,22.21
NE,Cheyenne County,20.44
NE,Clay County,21.59
NE,Colfax County,21.74
NE,Cuming County,21.93
NE,Custer County,20.95
NE,Dakota County,24.96
NE,Dawes County,18.38
NE,Dawson County,22.76
NE,Deuel County,22.44
NE,Dixon County,22.29
NE,Dodge County,24.81
NE,Douglas County,21.54
NE,Dundy County,19.88
NE,Fillmore County,21.32
NE,Franklin County,22.73
NE,Frontier County,20.06
NE,Furnas County,22.23
NE,Gage County,23.07
NE,Garden County,21.3
NE,Garfield County,24.12
NE,Gosper County,21.1
NE,Grant County,20.33
NE,Greeley County,22.72
NE,Hall County,22.17
NE,Hamilton County,20.93
NE,Harlan County,22.3
NE,Hayes County,20.95
NE,Hitchcock County,23.98
NE,Holt County,22.68
NE,Hooker County,17.72
NE,Howard County,21.98
NE,Jefferson County,25.47
NE,Johnson County,25.34
NE,Kearney County,19.06
NE,Keith County,21.38
NE,Keya Paha County,22.14
NE,Kimball County,22.73
NE,Knox County,22.41
NE,Lancaster County,20.26
NE,Lincoln County,22.13
NE,Logan County,20.93
NE,Loup County,24.24
NE,McPherson County,16.79
NE,Madison County,20.61
NE,Merrick County,22.73
NE,Morrill County,20.31
NE,Nance County,23.43
NE,Nemaha County,20.99
NE,Nuckolls County,23.53
NE,Otoe County,21.57
NE,Pawnee County,23.1
NE,Perkins County,20.94
NE,Phelps County,21.55
NE,Pierce County,21.01
NE,Platte County,19.76
NE,Polk County,20.26
NE,Red Willow County,21.38
NE,Richardson County,25.61
NE,Rock County,21.46
NE,Saline County,22.23
NE,Sarpy County,18.29
NE,Saunders County,22.13
NE,Scotts Bluff County,20.67
NE,Seward County,18.67
NE,Sheridan County,22.58
NE,Sherman County,23.26
NE,Sioux County,18.54
NE,Stanton County,20.01
NE,Thayer County,21.9
NE,Thomas County,19.94
NE,Thurston County,30.18
NE,Valley County,21.09
NE,Washington County,18.83
NE,Wayne County,17.95
NE,Webster County,22.13
NE,Wheeler County,19.14
NE,York County,21.67
NV,Churchill County,24.29
NV,Clark County,23.12
NV,Douglas County,20.77
NV,Elko County,22.19
NV,Esmeralda County,27.58
NV,Eureka County,22.25
NV,Humboldt County,23.85
NV,Lander County,25.4
NV,Lincoln County,22.87
NV,Lyon County,26.97
NV,Mineral County,31.97
NV,Nye County,30.45
NV,Pershing County,24.51
NV,Storey County,25.14
NV,Washoe County,21.15
NV,White Pine County,27.05
NV,Carson City,24.98
NH,Belknap County,20.2
NH,Carroll County,20.7
NH,Cheshire County,20.52
NH,Coos County,23.37
NH,Grafton County,16.73
NH,Hillsborough County,18.6
NH,Merrimack County,17.76
NH,Rockingham County,16.6
NH,Strafford County,19.83
NH,Sullivan County,19.82
NJ,Atlantic County,22.82
NJ,Bergen County,15.28
NJ,Burlington County,18.97
NJ,Camden County,20.93
NJ,Cape May County,22.68
NJ,Cumberland County,25.44
NJ,Essex County,19.23
NJ,Gloucester County,20.67
NJ,Hudson County,16.55
NJ,Hunterdon County,14.23
NJ,Mercer County,17.43
NJ,Middlesex County,15.24
NJ,Monmouth County,17.75
NJ,Morris County,14.03
NJ,Ocean County,21.63
NJ,Passaic County,18.15
NJ,Salem County,22.83
NJ,Somerset County,12.38
NJ,Sussex County,18.16
NJ,Union County,18.07
NJ,Warren County,19.72
NM,Bernalillo County,21.0
NM,Catron County,22.33
NM,Chaves County,22.89
NM,Cibola County,25.67
NM,Colfax County,18.78
NM,Curry County,21.64
NM,De Baca County,20.85
NM,Dona Ana County,18.36
NM,Eddy County,23.88
NM,Grant County,20.13
NM,Guadalupe County,21.07
NM,Harding County,18.91
NM,Hidalgo County,20.64
NM,Lea County,24.02
NM,Lincoln County,22.33
NM,Los Alamos County,13.17
NM,Luna County,22.47
NM,McKinley County,23.52
NM,Mora County,18.46
NM,Otero County,23.69
NM,Quay County,22.65
NM,Rio Arriba County,21.5
NM,Roosevelt County,22.4
NM,Sandoval County,19.89
NM,San Juan County,25.45
NM,San Miguel County,19.61
NM,Santa Fe County,18.46
NM,Sierra County,25.24
NM,Socorro County,23.78
NM,Taos County,17.95
NM,Torrance County,26.48
NM,Union County,21.74
NM,Valencia County,22.74
NY,Albany County,17.66
NY,Allegany County,22.33
NY,Bronx County,20.28
NY,Broome County,20.17
NY,Cattaraugus County,25.21
NY,Cayuga County,23.31
NY,Chautauqua County,24.91
NY,Chemung County,21.93
NY,Chenango County,22.61
NY,Clinton County,19.55
NY,Columbia County,20.13
NY,Cortland County,20.74
NY,Delaware County,22.54
NY,Dutchess County,17.34
NY,Erie County,20.33
NY,Essex County,18.93
NY,Franklin County,22.95
NY,Fulton County,24.21
NY,Genesee County,21.4
NY,Greene County,23.93
NY,Hamilton County,18.77
NY,Herkimer County,21.09
NY,Jefferson County,20.83
NY,Kings County,18.46
NY,Lewis County,22.75
NY,Livingston County,20.34
NY,Madison County,20.31
NY,Monroe County,16.89
NY,Montgomery County,23.37
NY,Nassau County,15.02
NY,New York County,14.19
NY,Niagara County,22.57
NY,Oneida County,21.28
NY,Onondaga County,18.67
NY,Ontario County,17.64
NY,Orange County,18.78
NY,Orleans County,23.26
NY,Oswego County,23.27
NY,Otsego County,19.49
NY,Putnam County,15.09
NY,Queens County,16.46
NY,Rensselaer County,20.37
NY,Richmond County,20.1
NY,Rockland County,15.49
NY,St. Lawrence County,21.77
NY,Saratoga County,17.09
NY,Schenectady County,20.14
NY,Schoharie County,21.78
NY,Schuyler County,22.17
NY,Seneca County,22.94
NY,Steuben County,22.01
NY,Suffolk County,17.64
NY,Sullivan County,23.37
NY,Tioga County,19.43
NY,Tompkins County,12.93
NY,Ulster County,19.93
NY,Warren County,20.99
NY,Washington County,22.62
NY,Wayne County,21.01
NY,Westchester County,14.8
NY,Wyoming County,24.47
NY,Yates County,20.86
NC,Alamance County,24.74
NC,Alexander County,25.58
NC,Alleghany County,25.58
NC,Anson County,26.28
NC,Ashe County,25.06
NC,Avery County,23.65
NC,Beaufort County,23.46
NC,Bertie County,25.99
NC,Bladen County,26.35
NC,Brunswick County,24.55
NC,Buncombe County,21.76
NC,Burke County,26.01
NC,Cabarrus County,21.52
NC,Caldwell County,27.53
NC,Camden County,22.02
NC,Carteret County,23.52
NC,Caswell County,27.94
NC,Catawba County,23.34
NC,Chatham County,18.33
NC,Cherokee County,25.31
NC,Chowan County,24.9
NC,Clay County,23.67
NC,Cleveland County,26.08
NC,Columbus County,26.57
NC,Craven County,22.42
NC,Cumberland County,23.24
NC,Currituck County,23.77
NC,Dare County,21.39
NC,Davidson County,25.9
NC,Davie County,22.82
NC,Duplin County,25.42
NC,Durham County,17.02
NC,Edgecombe County,26.87
NC,Forsyth County,21.89
NC,Franklin County,24.31
NC,Gaston County,26.12
NC,Gates County,24.9
NC,Graham County,26.74
NC,Granville County,25.02
NC,Greene County,24.84
NC,Guilford County,20.11
NC,Halifax County,27.18
NC,Harnett County,23.72
NC,Haywood County,24.56
NC,Henderson County,21.75
NC,Hertford County,24.95
NC,Hoke County,23.19
NC,Hyde County,25.17
NC,Iredell County,21.43
NC,Jackson County,23.4
NC,Johnston County,23.16
NC,Jones County,25.8
NC,Lee County,23.25
NC,Lenoir County,25.95
NC,Lincoln County,22.87
NC,McDowell County,28.0
NC,Macon County,24.37
NC,Madison County,25.31
NC,Martin County,24.93
NC,Mecklenburg County,15.77
NC,Mitchell County,26.29
NC,Montgomery County,24.83
NC,Moore County,20.12
NC,Nash County,24.47
NC,New Hanover County,20.8
NC,Northampton County,27.66
NC,Onslow County,23.0
NC,Orange County,15.3
NC,Pamlico County,23.13
NC,Pasquotank County,23.66
NC,Pender County,23.78
NC,Perquimans County,23.09
NC,Person County,25.23
NC,Pitt County,22.41
NC,Polk County,23.08
NC,Randolph County,26.55
NC,Richmond County,26.01
NC,Robeson County,28.45
NC,Rockingham County,27.82
NC,Rowan County,26.1
NC,Rutherford County,27.29
NC,Sampson County,25.17
NC,Scotland County,25.45
NC,Stanly County,24.93
NC,Stokes County,27.27
NC,Surry County,25.46
NC,Swain County,27.06
NC,Transylvania County,21.56
NC,Tyrrell County,27.26
NC,Union County,18.24
NC,Vance County,28.73
NC,Wake County,14.91
NC,Warren County,26.88
NC,Washington County,24.81
NC,Watauga County,17.59
NC,Wayne County,24.36
NC,Wilkes County,26.45
NC,Wilson County,24.83
NC,Yadkin County,25.53
NC,Yancey County,25.44
ND,Adams County,22.61
ND,Barnes County,21.65
ND,Benson County,33.36
ND,Billings County,21.99
ND,Bottineau County,22.04
ND,Bowman County,20.93
ND,Burke County,24.07
ND,Burleigh County,18.82
ND,Cass County,18.99
ND,Cavalier County,21.76
ND,Dickey County,20.72
ND,Divide County,22.77
ND,Dunn County,24.0
ND,Eddy County,24.31
ND,Emmons County,23.22
ND,Foster County,22.58
ND,Golden Valley County,23.79
ND,Grand Forks County,19.54
ND,Grant County,23.01
ND,Griggs County,24.75
ND,Hettinger County,23.37
ND,Kidder County,21.16
ND,LaMoure County,21.64
ND,Logan County,24.29
ND,McHenry County,25.31
ND,McIntosh County,22.37
ND,McKenzie County,25.03
ND,McLean County,22.84
ND,Mercer County,23.16
ND,Morton County,21.79
ND,Mountrail County,26.26
ND,Nelson County,22.21
ND,Oliver County,21.86
ND,Pembina County,22.39
ND,Pierce County,26.29
ND,Ramsey County,25.34
ND,Ransom County,23.66
ND,Renville County,23.03
ND,Richland County,23.45
ND,Rolette County,31.77
ND,Sargent County,22.29
ND,Sheridan County,21.76
ND,Sioux County,35.23
ND,Slope County,21.33
ND,Stark County,22.53
ND,Steele County,22.56
ND,Stutsman County,24.96
ND,Towner County,21.49
ND,Traill County,19.21
ND,Walsh County,24.29
ND,Ward County,22.79
ND,Wells County,22.32
ND,Williams County,26.98
OH,Adams County,29.2
OH,Allen County,25.7
OH,Ashland County,23.56
OH,Ashtabula County,29.01
OH,Athens County,22.16
OH,Auglaize County,22.91
OH,Belmont County,27.86
OH,Brown County,29.11
OH,Butler County,23.57
OH,Carroll County,28.36
OH,Champaign County,25.61
OH,Clark County,27.52
OH,Clermont County,23.69
OH,Clinton County,27.51
OH,Columbiana County,29.82
OH,Coshocton County,27.12
OH,Crawford County,27.23
OH,Cuyahoga County,22.91
OH,Darke County,25.56
OH,Defiance County,23.5
OH,Delaware County,14.77
OH,Erie County,23.62
OH,Fairfield County,21.48
OH,Fayette County,28.55
OH,Franklin County,20.65
OH,Fulton County,23.45
OH,Gallia County,26.42
OH,Geauga County,20.35
OH,Greene County,19.54
OH,Guernsey County,28.38
OH,Hamilton County,21.81
OH,Hancock County,22.67
OH,Hardin County,26.01
OH,Harrison County,29.91
OH,Henry County,24.27
OH,Highland County,30.19
OH,Hocking County,25.98
OH,Holmes County,29.05
OH,Huron County,25.43
OH,Jackson County,28.24
OH,Jefferson County,28.31
OH,Knox County,23.15
OH,Lake County,23.36
OH,Lawrence County,27.45
OH,Licking County,23.63
OH,Logan County,25.92
OH,Lorain County,23.2
OH,Lucas County,25.27
OH,Madison County,26.19
OH,Mahoning County,27.19
OH,Marion County,28.17
OH,Medina County,21.42
OH,Meigs County,28.5
OH,Mercer County,22.58
OH,Miami County,24.46
OH,Monroe County,25.84
OH,Montgomery County,24.43
OH,Morgan County,28.48
OH,Morrow County,24.51
OH,Muskingum County,27.38
OH,Noble County,30.68
OH,Ottawa County,24.02
OH,Paulding County,24.36
OH,Perry County,27.97
OH,Pickaway County,25.88
OH,Pike County,30.08
OH,Portage County,25.02
OH,Preble County,27.3
OH,Putnam County,20.06
OH,Richland County,25.85
OH,Ross County,28.48
OH,Sandusky County,25.42
OH,Scioto County,27.99
OH,Seneca County,25.33
OH,Shelby County,24.67
OH,Stark County,25.74
OH,Summit County,24.0
OH,Trumbull County,28.56
OH,Tuscarawas County,26.23
OH,Union County,21.21
OH,Van Wert County,24.1
OH,Vinton County,29.32
OH,Warren County,18.98
OH,Washington County,25.44
OH,Wayne County,25.2
OH,Williams County,25.73
OH,Wood County,20.32
OH,Wyandot County,25.28
OK,Adair County,33.53
OK,Alfalfa County,24.44
OK,Atoka County,27.58
OK,Beaver County,22.21
OK,Beckham County,27.46
OK,Blaine County,26.02
OK,Bryan County,26.11
OK,Caddo County,30.43
OK,Canadian County,22.23
OK,Carter County,27.65
OK,Cherokee County,27.76
OK,Choctaw County,28.86
OK,Cimarron County,22.55
OK,Cleveland County,21.47
OK,Coal County,29.45
OK,Comanche County,26.46
OK,Cotton County,27.47
OK,Craig County,30.22
OK,Creek County,29.94
OK,Custer County,22.8
OK,Delaware County,29.4
OK,Dewey County,23.06
OK,Ellis County,20.46
OK,Garfield County,24.13
OK,Garvin County,27.57
OK,Grady County,27.56
OK,Grant County,23.37
OK,Greer County,27.33
OK,Harmon County,23.89
OK,Harper County,22.37
OK,Haskell County,29.93
OK,Hughes County,30.71
OK,Jackson County,22.94
OK,Jefferson County,28.08
OK,Johnston County,27.9
OK,Kay County,27.54
OK,Kingfisher County,23.5
OK,Kiowa County,27.04
OK,Latimer County,28.37
OK,Le Flore County,29.92
OK,Lincoln County,29.5
OK,Logan County,23.36
OK,Love County,25.02
OK,McClain County,23.99
OK,McCurtain County,28.87
OK,McIntosh County,29.86
OK,Major County,23.46
OK,Marshall County,26.82
OK,Mayes County,29.79
OK,Murray County,28.57
OK,Muskogee County,29.76
OK,Noble County,25.09
OK,Nowata County,30.16
OK,Okfuskee County,31.99
OK,Oklahoma County,23.85
OK,Okmulgee County,30.53
OK,Osage County,28.03
OK,Ottawa County,30.94
OK,Pawnee County,28.56
OK,Payne County,21.05
OK,Pittsburg County,28.38
OK,Pontotoc County,24.61
OK,Pottawatomie County,29.31
OK,Pushmataha County,30.15
OK,Roger Mills County,23.38
OK,Rogers County,23.85
OK,Seminole County,30.14
OK,Sequoyah County,32.02
OK,Stephens County,27.79
OK,Texas County,21.04
OK,Tillman County,25.28
OK,Tulsa County,23.91
OK,Wagoner County,24.98
OK,Washington County,25.95
OK,Washita County,25.38
OK,Woods County,22.04
OK,Woodward County,25.02
OR,Baker County,24.33
OR,Benton County,15.05
OR,Clackamas County,17.61
OR,Clatsop County,23.64
OR,Columbia County,24.29
OR,Coos County,28.13
OR,Crook County,24.38
OR,Curry County,25.88
OR,Deschutes County,18.67
OR,Douglas County,26.53
OR,Gilliam County,23.5
OR,Grant County,23.16
OR,Harney County,25.1
OR,Hood River County,19.25
OR,Jackson County,22.04
OR,Jefferson County,24.15
OR,Josephine County,24.96
OR,Klamath County,23.82
OR,Lake County,23.53
OR,Lane County,21.19
OR,Lincoln County,23.72
OR,Linn County,23.11
OR,Malheur County,23.85
OR,Marion County,20.32
OR,Morrow County,24.48
OR,Multnomah County,19.25
OR,Polk County,18.87
OR,Sherman County,23.98
OR,Tillamook County,22.21
OR,Umatilla County,24.39
OR,Union County,22.84
OR,Wallowa County,22.73
OR,Wasco County,22.8
OR,Washington County,14.66
OR,Wheeler County,22.94
OR,Yamhill County,18.45
PA,Adams County,21.54
PA,Allegheny County,23.64
PA,Armstrong County,26.0
PA,Beaver County,25.42
PA,Bedford County,24.26
PA,Berks County,22.3
PA,Blair County,23.62
PA,Bradford County,23.59
PA,Bucks County,19.32
PA,Butler County,21.08
PA,Cambria County,23.21
PA,Cameron County,26.26
PA,Carbon County,26.47
PA,Centre County,15.39
PA,Chester County,14.68
PA,Clarion County,23.76
PA,Clearfield County,24.09
PA,Clinton County,23.1
PA,Columbia County,22.54
PA,Crawford County,25.3
PA,Cumberland County,17.79
PA,Dauphin County,20.31
PA,Delaware County,20.09
PA,Elk County,25.79
PA,Erie County,25.14
PA,Fayette County,27.06
PA,Forest County,30.17
PA,Franklin County,22.33
PA,Fulton County,23.82
PA,Greene County,24.47
PA,Huntingdon County,23.8
PA,Indiana County,20.38
PA,Jefferson County,25.33
PA,Juniata County,23.92
PA,Lackawanna County,23.38
PA,Lancaster County,21.34
PA,Lawrence County,24.76
PA,Lebanon County,22.94
PA,Lehigh County,21.45
PA,Luzerne County,24.41
PA,Lycoming County,22.34
PA,McKean County,27.26
PA,Mercer County,25.22
PA,Mifflin County,25.16
PA,Monroe County,22.28
PA,Montgomery County,16.71
PA,Montour County,22.84
PA,Northampton County,22.53
PA,Northumberland County,24.87
PA,Perry County,22.63
PA,Philadelphia County,24.88
PA,Pike County,23.9
PA,Potter County,24.77
PA,Schuylkill County,26.42
PA,Snyder County,22.35
PA,Somerset County,25.71
PA,Sullivan County,23.71
PA,Susquehanna County,24.65
PA,Tioga County,22.48
PA,Union County,21.71
PA,Venango County,27.32
PA,Warren County,26.27
PA,Washington County,23.74
PA,Wayne County,25.32
PA,Westmoreland County,22.2
PA,Wyoming County,23.54
PA,York County,20.78
RI,Bristol County,17.08
RI,Kent County,20.73
RI,Newport County,17.24
RI,Providence County,20.63
RI,Washington County,16.6
SC,Abbeville County,25.39
SC,Aiken County,22.38
SC,Allendale County,25.28
SC,Anderson County,23.88
SC,Bamberg County,23.78
SC,Barnwell County,25.66
SC,Beaufort County,18.66
SC,Berkeley County,22.99
SC,Calhoun County,22.2
SC,Charleston County,19.13
SC,Cherokee County,28.09
SC,Chester County,27.03
SC,Chesterfield County,25.52
SC,Clarendon County,23.73
SC,Colleton County,25.42
SC,Darlington County,23.39
SC,Dillon County,27.63
SC,Dorchester County,21.46
SC,Edgefield County,23.0
SC,Fairfield County,24.78
SC,Florence County,22.68
SC,Georgetown County,21.46
SC,Greenville County,19.98
SC,Greenwood County,24.92
SC,Hampton County,24.84
SC,Horry County,25.04
SC,Jasper County,25.12
SC,Kershaw County,22.9
SC,Lancaster County,24.34
SC,Laurens County,26.45
SC,Lee County,27.2
SC,Lexington County,22.25
SC,McCormick County,23.51
SC,Marion County,24.67
SC,Marlboro County,26.88
SC,Newberry County,25.54
SC,Oconee County,22.83
SC,Orangeburg County,23.73
SC,Pickens County,21.89
SC,Richland County,19.2
SC,Saluda County,23.74
SC,Spartanburg County,25.04
SC,Sumter County,23.71
SC,Union County,27.49
SC,Williamsburg County,23.2
SC,York County,21.4
SD,Aurora County,21.84
SD,Beadle County,22.09
SD,Bennett County,29.83
SD,Bon Homme County,23.14
SD,Brookings County,16.97
SD,Brown County,20.31
SD,Brule County,21.86
SD,Buffalo County,35.67
SD,Butte County,24.99
SD,Campbell County,20.13
SD,Charles Mix County,26.99
SD,Clark County,22.37
SD,Clay County,16.89
SD,Codington County,23.25
SD,Corson County,30.83
SD,Custer County,19.57
SD,Davison County,19.17
SD,Day County,24.4
SD,Deuel County,21.15
SD,Dewey County,33.69
SD,Douglas County,20.66
SD,Edmunds County,19.7
SD,Fall River County,23.78
SD,Faulk County,22.82
SD,Grant County,24.79
SD,Gregory County,22.12
SD,Haakon County,19.69
SD,Hamlin County,21.73
SD,Hand County,20.96
SD,Hanson County,20.57
SD,Harding County,17.74
SD,Hughes County,18.1
SD,Hutchinson County,19.14
SD,Hyde County,23.11
SD,Jackson County,27.47
SD,Jerauld County,22.5
SD,Jones County,22.55
SD,Kingsbury County,19.53
SD,Lake County,19.15
SD,Lawrence County,21.68
SD,Lincoln County,16.03
SD,Lyman County,25.6
SD,McCook County,20.22
SD,McPherson County,21.52
SD,Marshall County,22.17
SD,Meade County,22.23
SD,Mellette County,29.43
SD,Miner County,20.5
SD,Minnehaha County,21.28
SD,Moody County,21.75
SD,Pennington County,23.05
SD,Perkins County,20.7
SD,Potter County,21.62
SD,Roberts County,26.81
SD,Sanborn County,21.26
SD,Shannon County,36.0
SD,Spink County,20.9
SD,Stanley County,22.05
SD,Sully County,18.72
SD,Todd County,34.36
SD,Tripp County,23.6
SD,Turner County,20.72
SD,Union County,18.99
SD,Walworth County,23.29
SD,Yankton County,21.47
SD,Ziebach County,31.53
TN,Anderson County,24.8
TN,Bedford County,26.84
TN,Benton County,28.65
TN,Bledsoe County,29.66
TN,Blount County,23.76
TN,Bradley County,26.48
TN,Campbell County,32.09
TN,Cannon County,28.18
TN,Carroll County,26.85
TN,Carter County,29.17
TN,Cheatham County,26.0
TN,Chester County,25.68
TN,Claiborne County,28.54
TN,Clay County,25.65
TN,Cocke County,30.24
TN,Coffee County,26.3
TN,Crockett County,25.99
TN,Cumberland County,26.61
TN,Davidson County,20.86
TN,Decatur County,26.39
TN,DeKalb County,26.44
TN,Dickson County,27.74
TN,Dyer County,26.13
TN,Fayette County,22.27
TN,Fentress County,28.93
TN,Franklin County,26.38
TN,Gibson County,26.6
TN,Giles County,26.88
TN,Grainger County,29.25
TN,Greene County,27.7
TN,Grundy County,29.76
TN,Hamblen County,27.46
TN,Hamilton County,23.59
TN,Hancock County,30.63
TN,Hardeman County,27.81
TN,Hardin County,28.21
TN,Hawkins County,29.07
TN,Haywood County,26.04
TN,Henderson County,26.96
TN,Henry County,28.38
TN,Hickman County,29.81
TN,Houston County,28.94
TN,Humphreys County,28.02
TN,Jackson County,29.42
TN,Jefferson County,28.14
TN,Johnson County,29.57
TN,Knox County,19.94
TN,Lake County,31.6
TN,Lauderdale County,29.56
TN,Lawrence County,27.52
TN,Lewis County,29.99
TN,Lincoln County,27.14
TN,Loudon County,23.76
TN,McMinn County,27.66
TN,McNairy County,27.56
TN,Macon County,29.53
TN,Madison County,23.27
TN,Marion County,27.76
TN,Marshall County,27.26
TN,Maury County,27.07
TN,Meigs County,30.94
TN,Monroe County,29.27
TN,Montgomery County,23.92
TN,Moore County,26.33
TN,Morgan County,29.85
TN,Obion County,27.37
TN,Overton County,26.6
TN,Perry County,29.69
TN,Pickett County,26.46
TN,Polk County,29.45
TN,Putnam County,24.41
TN,Rhea County,29.0
TN,Roane County,25.89
TN,Robertson County,27.31
TN,Rutherford County,20.73
TN,Scott County,30.77
TN,Sequatchie County,28.07
TN,Sevier County,25.58
TN,Shelby County,21.78
TN,Smith County,26.81
TN,Stewart County,27.55
TN,Sullivan County,28.18
TN,Sumner County,24.79
TN,Tipton County,25.73
TN,Trousdale County,28.13
TN,Unicoi County,30.18
TN,Union County,30.03
TN,Van Buren County,28.9
TN,Warren County,27.44
TN,Washington County,24.44
TN,Wayne County,29.34
TN,Weakley County,25.11
TN,White County,28.16
TN,Williamson County,14.46
TN,Wilson County,22.37
TX,Anderson County,28.01
TX,Andrews County,22.05
TX,Angelina County,24.56
TX,Aransas County,21.65
TX,Archer County,21.37
TX,Armstrong County,18.52
TX,Atascosa County,19.74
TX,Austin County,19.66
TX,Bailey County,20.56
TX,Bandera County,20.04
TX,Bastrop County,20.25
TX,Baylor County,21.13
TX,Bee County,22.7
TX,Bell County,19.7
TX,Bexar County,18.05
TX,Blanco County,19.08
TX,Borden County,16.97
TX,Bosque County,22.69
TX,Bowie County,23.75
TX,Brazoria County,18.08
TX,Brazos County,16.31
TX,Brewster County,15.12
TX,Briscoe County,20.96
TX,Brooks County,17.79
TX,Brown County,23.57
TX,Burleson County,23.52
TX,Burnet County,21.64
TX,Caldwell County,21.64
TX,Calhoun County,19.98
TX,Callahan County,23.43
TX,Cameron County,15.2
TX,Camp County,23.95
TX,Carson County,20.03
TX,Cass County,24.93
TX,Castro County,19.97
TX,Chambers County,21.44
TX,Cherokee County,25.18
TX,Childress County,22.14
TX,Clay County,21.99
TX,Cochran County,20.07
TX,Coke County,21.56
TX,Coleman County,23.95
TX,Collin County,13.26
TX,Collingsworth County,19.79
TX,Colorado County,20.91
TX,Comal County,17.6
TX,Comanche County,22.01
TX,Concho County,22.41
TX,Cooke County,22.66
TX,Coryell County,22.4
TX,Cottle County,18.57
TX,Crane County,20.8
TX,Crockett County,22.03
TX,Crosby County,19.74
TX,Culberson County,17.89
TX,Dallam County,24.08
TX,Dallas County,19.04
TX,Dawson County,23.62
TX,Deaf Smith County,19.44
TX,Delta County,23.59
TX,Denton County,15.18
TX,DeWitt County,22.91
TX,Dickens County,23.3
TX,Dimmit County,17.86
TX,Donley County,21.82
TX,Duval County,18.35
TX,Eastland County,24.22
TX,Ector County,23.66
TX,Edwards County,17.96
TX,Ellis County,20.55
TX,El Paso County,17.85
TX,Erath County,21.18
TX,Falls County,24.62
TX,Fannin County,25.06
TX,Fayette County,20.29
TX,Fisher County,20.52
TX,Floyd County,18.71
TX,Foard County,21.57
TX,Fort Bend County,13.92
TX,Franklin County,20.79
TX,Freestone County,26.07
TX,Frio County,20.52
TX,Gaines County,22.92
TX,Galveston County,18.8
TX,Garza County,23.91
TX,Gillespie County,19.14
TX,Glasscock County,17.96
TX,Goliad County,19.77
TX,Gonzales County,20.49
TX,Gray County,24.22
TX,Grayson County,23.59
TX,Gregg County,23.54
TX,Grimes County,24.89
TX,Guadalupe County,18.81
TX,Hale County,21.51
TX,Hall County,21.22
TX,Hamilton County,23.36
TX,Hansford County,19.71
TX,Hardeman County,22.32
TX,Hardin County,24.86
TX,Harris County,17.68
TX,Harrison County,23.55
TX,Hartley County,21.18
TX,Haskell County,21.81
TX,Hays County,15.94
TX,Hemphill County,22.29
TX,Henderson County,26.8
TX,Hidalgo County,14.8
TX,Hill County,22.67
TX,Hockley County,19.25
TX,Hood County,22.51
TX,Hopkins County,23.67
TX,Houston County,25.58
TX,Howard County,24.78
TX,Hudspeth County,19.75
TX,Hunt County,23.53
TX,Hutchinson County,24.2
TX,Irion County,22.93
TX,Jack County,25.93
TX,Jackson County,21.47
TX,Jasper County,25.65
TX,Jeff Davis County,16.85
TX,Jefferson County,23.81
TX,Jim Hogg County,17.51
TX,Jim Wells County,18.53
TX,Johnson County,23.13
TX,Jones County,26.27
TX,Karnes County,21.85
TX,Kaufman County,22.33
TX,Kendall County,15.43
TX,Kenedy County,14.31
TX,Kent County,18.4
TX,Kerr County,18.97
TX,Kimble County,21.88
TX,King County,18.58
TX,Kinney County,19.9
TX,Kleberg County,16.44
TX,Knox County,21.54
TX,Lamar County,24.19
TX,Lamb County,20.71
TX,Lampasas County,21.22
TX,La Salle County,21.95
TX,Lavaca County,21.57
TX,Lee County,21.45
TX,Leon County,24.46
