state,date,fb_movement_change
AK,2020-03-01,0.5130214639700912
AK,2020-03-02,0.31933276838745395
AK,2020-03-03,0.8285769329706313
AK,2020-03-04,0.38174392595124046
AK,2020-03-05,0.07255121653486805
AK,2020-03-06,-0.2319092130354251
AK,2020-03-07,0.2280425180815941
AK,2020-03-08,-0.10630858161835541
AK,2020-03-09,-1.1015715168581568
AK,2020-03-10,-0.6041974555358868
AK,2020-03-11,-0.9235357675604352
AK,2020-03-12,-1.2957194287159366
AK,2020-03-13,-0.8778935699922765
AK,2020-03-14,-0.7377325725416753
AK,2020-03-15,-0.8681791106220376
AK,2020-03-16,-1.4774772876173017
AK,2020-03-17,-2.546404471905357
AK,2020-03-18,-3.124853610645959
AK,2020-03-19,-4.019229137414652
AK,2020-03-20,-3.4633846533432626
AK,2020-03-21,-4.288353496134893
AK,2020-03-22,-3.870809411833866
AK,2020-03-23,-5.214209574311905
AK,2020-03-24,-5.369696843557137
AK,2020-03-25,-5.868045279716213
AK,2020-03-26,-5.629056878715594
AK,2020-03-27,-5.446405733577562
AK,2020-03-28,-5.779216533733413
AK,2020-03-29,-6.2573529131769
AK,2020-03-30,-6.256702327553345
AK,2020-03-31,-5.631928665782692
AK,2020-04-01,-5.677473798317254
AK,2020-04-02,-6.507078458016936
AK,2020-04-03,-5.681280038138462
AK,2020-04-04,-5.774664109822362
AK,2020-04-05,-5.681254269170033
AK,2020-04-06,-5.623242788892006
AK,2020-04-07,-5.797224351160894
AK,2020-04-08,-6.048750644553671
AK,2020-04-09,-6.162823821514726
AK,2020-04-10,-5.322825239937403
AK,2020-04-11,-4.746147625928689
AK,2020-04-12,-6.159469328790438
AK,2020-04-13,-5.87388817216986
AK,2020-04-14,-4.968285365302205
AK,2020-04-15,-4.629579634116836
AK,2020-04-16,-5.108495298498387
AK,2020-04-17,-4.531743606216978
AK,2020-04-18,-3.5693761412216585
AK,2020-04-19,-3.844685535175557
AK,2020-04-20,-4.544433295559412
AK,2020-04-21,-4.710279661907333
AK,2020-04-22,-4.393006328920301
AK,2020-04-23,-4.483439099207846
AK,2020-04-24,-3.6549989488548214
AK,2020-04-25,-1.6623020169640939
AK,2020-04-26,-1.4788732979926011
AK,2020-04-27,-2.8962525722956207
AK,2020-04-28,-2.526809674210066
AK,2020-04-29,-2.509959818124655
AK,2020-04-30,-2.861363902945135
AK,2020-05-01,-1.7847049002727111
AK,2020-05-02,-0.08945815523310252
AK,2020-05-03,-0.48494983440526723
AK,2020-05-04,-2.31036218069975
AK,2020-05-05,-1.6208117500085433
AK,2020-05-06,-1.554689027674308
AK,2020-05-07,-2.221088854055462
AK,2020-05-08,-1.895468415517845
AK,2020-05-09,0.5269795065238645
AK,2020-05-10,0.9943782039929215
AK,2020-05-11,-2.0376637823920647
AK,2020-05-12,-1.7466962857377215
AK,2020-05-13,-1.060394495253197
AK,2020-05-14,-1.3715490994675663
AK,2020-05-15,-0.5409635599587165
AK,2020-05-16,1.3938376784886761
AK,2020-05-17,1.1081296504521247
AK,2020-05-18,-1.0035764602861066
AK,2020-05-19,-1.291203312263774
AK,2020-05-20,-0.820043475192913
AK,2020-05-21,-1.5340195599040352
AK,2020-05-22,-0.6878945919799873
AK,2020-05-23,1.0318242659439965
AK,2020-05-24,-0.0532574900928868
AK,2020-05-25,-2.7939219979768803
AK,2020-05-26,-1.1607970083180166
AK,2020-05-27,-0.8191579079072365
AK,2020-05-28,-0.4148569028836239
AK,2020-05-29,0.24832938221162068
AK,2020-05-30,1.2178000789971914
AK,2020-05-31,0.4758895741752046
AK,2020-06-01,-0.37726720968634847
AK,2020-06-02,-0.34331688086173673
AK,2020-06-03,-0.21177884745299275
AK,2020-06-04,-0.4573648056100445
AK,2020-06-05,0.7529938535428436
AK,2020-06-06,2.0356705131194994
AK,2020-06-07,2.068717523802367
AK,2020-06-08,-1.184810968826253
AK,2020-06-09,-1.142086600851624
AK,2020-06-10,-0.16141059144686898
AK,2020-06-11,-0.10648775767724486
AK,2020-06-12,0.9293354277590572
AK,2020-06-13,2.4351400088442934
AK,2020-06-14,2.442769207198463
AK,2020-06-15,0.06954250501336218
AK,2020-06-16,-0.04769564916717314
AK,2020-06-17,-0.3442727465296044
AK,2020-06-18,-0.29855178843406815
AK,2020-06-19,-0.4972027712854293
AK,2020-06-20,1.2700243771333264
AK,2020-06-21,1.7571845548394145
AK,2020-06-22,-0.5355183380106499
AK,2020-06-23,-0.557046837829524
AK,2020-06-24,-0.44617260939518344
AK,2020-06-25,-0.1381785124633473
AK,2020-06-26,-0.010634078751136346
AK,2020-06-27,2.16666486320049
AK,2020-06-28,0.5504827283078967
AK,2020-06-29,-0.7132644261528676
AK,2020-06-30,-0.0696840935554207
AK,2020-07-01,1.750393340601055
AK,2020-07-02,1.338605222836598
AK,2020-07-03,1.161781589744992
AK,2020-07-04,1.4984314128044058
AK,2020-07-05,2.066961095517024
AK,2020-07-06,-0.2746097951322193
AK,2020-07-07,0.30986484443198953
AK,2020-07-08,-1.059532817981123
AK,2020-07-09,-0.5387174081703798
AK,2020-07-10,0.05541943821637777
AK,2020-07-11,1.455158521444341
AK,2020-07-12,1.0363329366067724
AK,2020-07-13,0.07730248927953878
AK,2020-07-14,0.45918641513509056
AK,2020-07-15,0.7029333383318862
AK,2020-07-16,-0.19966312825595287
AK,2020-07-17,-0.01160060999665114
AK,2020-07-18,1.8175386728225864
AK,2020-07-19,1.3368539266347268
AK,2020-07-20,-0.30018643859229527
AK,2020-07-21,0.4175069499483968
AK,2020-07-22,-0.27062709164849796
