state,date,pfizer_first_doses,moderna_first_doses,total_first_doses
NE,2020-12-28,14625,11200,25825
NE,2021-01-04,11700,11200,22900
NE,2021-01-10,11700,11200,22900
NH,2020-12-14,12675,0,12675
NH,2020-12-21,8775,24200,32975
NH,2020-12-28,10725,8400,19125
NH,2021-01-04,8775,8400,17175
NH,2021-01-10,8775,8400,17175
NJ,2020-12-14,76050,0,76050
NJ,2020-12-21,53625,154500,208125
NJ,2020-12-28,68250,53400,121650
NJ,2021-01-04,53625,53200,106825
NJ,2021-01-10,53625,53400,107025
NM,2020-12-14,17550,0,17550
NM,2020-12-21,12675,36100,48775
NM,2020-12-28,16575,12500,29075
NM,2021-01-04,12675,12500,25175
NM,2021-01-10,12675,12500,25175
NV,2020-12-14,25350,0,25350
NV,2020-12-21,17550,50300,67850
NV,2020-12-28,22425,17400,39825
NV,2021-01-04,17550,17300,34850
NV,2021-01-10,17550,17400,34950
NY,2020-12-14,96525,0,96525
NY,2020-12-21,68250,196800,265050
NY,2020-12-28,87750,68000,155750
NY,2021-01-04,68250,67700,135950
NY,2021-01-10,68250,68000,136250
OH,2020-12-14,98475,0,98475
OH,2020-12-21,70200,201900,272100
OH,2020-12-28,89700,69700,159400
OH,2021-01-04,70200,69500,139700
OH,2021-01-10,70200,69700,139900
OK,2020-12-14,33150,0,33150
OK,2020-12-21,23400,66200,89600
OK,2020-12-28,29250,22900,52150
OK,2021-01-04,23400,22800,46200
OK,2021-01-10,23400,22900,46300
OR,2020-12-14,35100,0,35100
OR,2020-12-21,25350,72100,97450
OR,2020-12-28,32175,25000,57175
OR,2021-01-04,25350,24800,50150
OR,2021-01-10,25350,25000,50350
PA,2020-12-14,97500,0,97500
PA,2020-12-21,69225,198800,268025
PA,2020-12-28,88725,68700,157425
PA,2021-01-04,69225,68400,137625
PA,2021-01-10,69225,68700,137925
RI,2020-12-14,9750,0,9750
RI,2020-12-21,6825,19000,25825
RI,2020-12-28,8775,6600,15375
RI,2021-01-04,6825,6600,13425
RI,2021-01-10,6825,6600,13425
SC,2020-12-14,42900,0,42900
SC,2020-12-21,30225,86400,116625
SC,2020-12-28,39000,29900,68900
SC,2021-01-04,30225,29700,59925
SC,2021-01-10,30225,29900,60125
SD,2020-12-14,7800,0,7800
SD,2020-12-21,5850,14600,20450
SD,2020-12-28,6825,5100,11925
SD,2021-01-04,5850,5100,10950
SD,2021-01-10,5850,5100,10950
TN,2020-12-14,56550,0,56550
TN,2020-12-21,39975,115200,155175
TN,2020-12-28,51675,39800,91475
TN,2021-01-04,39975,39700,79675
TN,2021-01-10,39975,39800,79775
TX,2020-12-14,224250,0,224250
TX,2020-12-21,159900,460500,620400
TX,2020-12-28,203775,159100,362875
TX,2021-01-04,158925,158500,317425
TX,2021-01-10,159900,159100,319000
UT,2020-12-14,23400,0,23400
UT,2020-12-21,16575,47800,64375
UT,2020-12-28,21450,16600,38050
UT,2021-01-04,16575,16500,33075
UT,2021-01-10,16575,16600,33175
VA,2020-12-14,72150,0,72150
VA,2020-12-21,50700,146400,197100
VA,2020-12-28,65325,50600,115925
VA,2021-01-04,50700,50400,101100
VA,2021-01-10,50700,50600,101300
VT,2020-12-14,5850,0,5850
VT,2020-12-21,4875,11400,16275
VT,2020-12-28,5850,4000,9850
VT,2021-01-04,3900,3900,7800
VT,2021-01-10,4875,4000,8875
WA,2020-12-14,62400,0,62400
WA,2020-12-21,44850,128000,172850
WA,2020-12-28,57525,44300,101825
WA,2021-01-04,44850,44100,88950
WA,2021-01-10,57525,44300,101825
WI,2020-12-14,49725,0,49725
WI,2020-12-21,35100,101000,136100
WI,2020-12-28,44850,34900,79750
WI,2021-01-04,35100,34700,69800
WI,2021-01-10,35100,34900,70000
WV,2020-12-14,16575,0,16575
WV,2020-12-21,11700,32600,44300
WV,2020-12-28,14625,11300,25925
WV,2021-01-04,11700,11200,22900
WV,2021-01-10,11700,11300,23000
WY,2020-12-14,4875,0,4875
WY,2020-12-21,3900,10000,13900
WY,2020-12-28,4875,3500,8375
WY,2021-01-04,3900,3500,7400
WY,2021-01-10,3900,3500,7400
