FIPS,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85
17139,"78.19 (77.56, 78.80)","0.57 (0.49, 0.65)","0.78 (0.69, 0.89)","2.52 (2.29, 2.76)","11.76 (10.90, 12.65)","54.85 (52.70, 57.09)"
17141,"79.64 (79.22, 80.11)","0.51 (0.45, 0.57)","0.82 (0.74, 0.91)","2.20 (2.04, 2.37)","10.47 (9.93, 11.01)","48.90 (47.29, 50.38)"
17143,"78.22 (77.88, 78.58)","0.74 (0.70, 0.79)","0.76 (0.71, 0.81)","2.64 (2.52, 2.76)","12.67 (12.24, 13.08)","51.93 (50.74, 53.12)"
17145,"77.53 (76.91, 78.12)","0.62 (0.54, 0.71)","0.94 (0.84, 1.05)","2.94 (2.68, 3.22)","13.31 (12.51, 14.21)","54.89 (52.91, 57.10)"
17147,"79.40 (78.72, 80.05)","0.53 (0.45, 0.60)","0.72 (0.63, 0.81)","2.39 (2.16, 2.65)","10.63 (9.88, 11.43)","49.54 (47.30, 51.91)"
17149,"78.53 (77.93, 79.18)","0.61 (0.53, 0.70)","0.83 (0.73, 0.94)","2.70 (2.46, 2.99)","12.37 (11.54, 13.20)","50.90 (48.69, 53.00)"
17151,"77.98 (77.02, 78.95)","0.66 (0.55, 0.78)","0.91 (0.78, 1.06)","2.96 (2.59, 3.37)","12.08 (10.90, 13.40)","53.15 (49.91, 56.29)"
17153,"74.72 (73.89, 75.60)","0.98 (0.85, 1.14)","1.35 (1.16, 1.54)","3.97 (3.56, 4.42)","17.43 (16.06, 18.83)","59.38 (56.54, 62.04)"
17155,"79.78 (78.83, 80.71)","0.52 (0.43, 0.62)","0.77 (0.63, 0.91)","2.41 (2.10, 2.75)","10.90 (9.86, 12.10)","46.91 (43.73, 49.97)"
17157,"77.68 (77.13, 78.23)","0.64 (0.57, 0.72)","0.95 (0.85, 1.05)","2.93 (2.71, 3.16)","13.57 (12.78, 14.36)","52.81 (50.96, 54.57)"
17159,"78.09 (77.44, 78.73)","0.61 (0.53, 0.70)","0.88 (0.78, 1.01)","2.86 (2.60, 3.12)","12.71 (11.88, 13.61)","52.63 (50.61, 54.68)"
17161,"78.76 (78.40, 79.12)","0.60 (0.55, 0.64)","0.67 (0.62, 0.71)","2.40 (2.28, 2.52)","12.02 (11.58, 12.45)","51.08 (49.83, 52.29)"
17163,"76.67 (76.32, 77.01)","0.82 (0.78, 0.86)","1.10 (1.05, 1.16)","3.52 (3.39, 3.66)","14.66 (14.23, 15.13)","53.79 (52.71, 54.88)"
17165,"74.90 (74.26, 75.48)","0.81 (0.72, 0.91)","1.08 (0.97, 1.21)","3.66 (3.39, 3.97)","17.38 (16.49, 18.34)","61.52 (59.69, 63.36)"
17167,"78.33 (78.00, 78.68)","0.71 (0.67, 0.75)","0.83 (0.78, 0.88)","2.60 (2.48, 2.73)","12.32 (11.92, 12.75)","51.62 (50.45, 52.74)"
17169,"78.82 (78.01, 79.56)","0.53 (0.45, 0.62)","0.79 (0.69, 0.91)","2.56 (2.28, 2.85)","12.14 (11.11, 13.29)","49.98 (47.39, 52.55)"
17171,"78.78 (77.87, 79.68)","0.55 (0.45, 0.66)","0.78 (0.67, 0.92)","2.56 (2.24, 2.91)","11.98 (10.85, 13.17)","50.56 (47.52, 53.69)"
17173,"79.85 (79.31, 80.40)","0.54 (0.47, 0.61)","0.77 (0.68, 0.88)","2.43 (2.23, 2.64)","10.29 (9.65, 10.91)","47.18 (45.24, 49.05)"
17175,"78.31 (77.42, 79.16)","0.63 (0.53, 0.76)","0.84 (0.71, 0.99)","2.81 (2.49, 3.14)","11.97 (10.96, 13.14)","52.15 (49.25, 54.94)"
17177,"79.68 (79.23, 80.13)","0.56 (0.50, 0.63)","0.74 (0.67, 0.82)","2.26 (2.10, 2.42)","10.82 (10.30, 11.41)","48.19 (46.70, 49.71)"
17179,"78.69 (78.33, 79.05)","0.57 (0.52, 0.62)","0.74 (0.69, 0.80)","2.28 (2.14, 2.40)","11.41 (10.99, 11.84)","53.02 (51.82, 54.27)"
17181,"76.40 (75.73, 77.02)","0.74 (0.63, 0.84)","1.08 (0.97, 1.23)","3.40 (3.09, 3.72)","14.53 (13.62, 15.50)","57.61 (55.44, 59.66)"
17183,"76.19 (75.75, 76.62)","0.78 (0.71, 0.85)","0.94 (0.86, 1.02)","3.21 (3.02, 3.39)","15.47 (14.87, 16.08)","57.42 (55.93, 58.93)"
17185,"78.37 (77.68, 79.05)","0.57 (0.50, 0.66)","0.79 (0.69, 0.90)","2.61 (2.35, 2.89)","12.48 (11.60, 13.40)","51.84 (49.51, 54.05)"
17187,"78.39 (77.77, 79.06)","0.51 (0.44, 0.59)","0.74 (0.65, 0.83)","2.51 (2.28, 2.75)","12.34 (11.53, 13.19)","53.00 (50.71, 55.18)"
17189,"79.07 (78.43, 79.71)","0.60 (0.52, 0.69)","0.86 (0.75, 0.97)","2.65 (2.41, 2.91)","11.65 (10.76, 12.52)","48.77 (46.60, 50.84)"
17191,"77.79 (77.17, 78.39)","0.70 (0.61, 0.80)","0.92 (0.82, 1.06)","3.11 (2.85, 3.42)","13.07 (12.27, 13.95)","52.14 (50.03, 54.12)"
17193,"76.88 (76.23, 77.53)","0.70 (0.61, 0.80)","0.94 (0.83, 1.07)","3.02 (2.74, 3.30)","14.38 (13.44, 15.39)","55.97 (54.03, 58.08)"
17195,"78.92 (78.48, 79.39)","0.56 (0.51, 0.62)","0.87 (0.79, 0.96)","2.62 (2.45, 2.78)","11.49 (10.93, 12.05)","50.16 (48.54, 51.65)"
17197,"79.94 (79.70, 80.18)","0.51 (0.48, 0.53)","0.70 (0.67, 0.74)","1.87 (1.81, 1.94)","9.95 (9.70, 10.20)","49.44 (48.58, 50.28)"
17199,"76.94 (76.52, 77.37)","0.69 (0.63, 0.77)","0.97 (0.89, 1.06)","3.06 (2.88, 3.24)","13.94 (13.35, 14.53)","56.28 (54.79, 57.67)"
17201,"77.95 (77.65, 78.27)","0.69 (0.65, 0.73)","0.88 (0.83, 0.94)","2.88 (2.77, 2.99)","12.84 (12.48, 13.23)","52.27 (51.26, 53.30)"
17203,"80.30 (79.82, 80.77)","0.47 (0.42, 0.53)","0.65 (0.58, 0.73)","2.00 (1.84, 2.18)","9.56 (9.00, 10.10)","47.74 (46.05, 49.59)"
18,"77.69 (77.62, 77.76)","0.70 (0.69, 0.71)","0.80 (0.79, 0.81)","2.78 (2.75, 2.80)","13.03 (12.94, 13.13)","54.21 (53.99, 54.44)"
18001,"79.72 (79.18, 80.26)","0.66 (0.59, 0.74)","0.74 (0.66, 0.83)","2.25 (2.06, 2.45)","10.68 (10.05, 11.36)","47.53 (45.66, 49.38)"
18003,"78.31 (78.02, 78.61)","0.73 (0.69, 0.77)","0.82 (0.78, 0.86)","2.54 (2.44, 2.64)","12.10 (11.79, 12.44)","52.28 (51.23, 53.27)"
18005,"77.80 (77.39, 78.25)","0.63 (0.57, 0.69)","0.83 (0.76, 0.90)","2.61 (2.44, 2.78)","12.71 (12.13, 13.25)","55.20 (53.67, 56.67)"
18007,"78.41 (77.67, 79.23)","0.59 (0.50, 0.68)","0.85 (0.73, 0.99)","2.65 (2.37, 2.92)","12.47 (11.47, 13.49)","51.61 (48.85, 54.25)"
18009,"76.81 (76.08, 77.53)","0.70 (0.61, 0.81)","0.94 (0.82, 1.09)","3.08 (2.81, 3.41)","14.44 (13.45, 15.47)","56.44 (54.11, 58.86)"
18011,"78.87 (78.40, 79.31)","0.52 (0.47, 0.59)","0.74 (0.66, 0.82)","2.18 (2.02, 2.34)","10.53 (10.00, 11.08)","54.19 (52.41, 55.87)"
18013,"79.40 (78.76, 80.04)","0.49 (0.42, 0.57)","0.70 (0.62, 0.80)","2.43 (2.21, 2.69)","10.31 (9.60, 11.12)","50.56 (48.11, 52.85)"
18015,"79.80 (79.21, 80.38)","0.49 (0.43, 0.56)","0.75 (0.65, 0.85)","2.25 (2.04, 2.45)","10.37 (9.71, 11.11)","48.54 (46.39, 50.80)"
18017,"77.62 (77.09, 78.12)","0.69 (0.61, 0.77)","0.90 (0.80, 1.00)","2.85 (2.65, 3.06)","13.21 (12.53, 13.95)","53.78 (52.11, 55.53)"
18019,"76.30 (75.89, 76.73)","0.66 (0.61, 0.72)","0.82 (0.75, 0.88)","3.11 (2.95, 3.28)","15.22 (14.63, 15.80)","59.07 (57.59, 60.40)"
18021,"76.66 (76.10, 77.24)","0.70 (0.62, 0.79)","0.93 (0.83, 1.04)","3.04 (2.80, 3.28)","14.60 (13.78, 15.46)","57.19 (55.17, 59.05)"
18023,"77.88 (77.35, 78.39)","0.60 (0.53, 0.68)","0.79 (0.71, 0.87)","2.74 (2.54, 2.98)","12.90 (12.21, 13.64)","53.89 (52.28, 55.59)"
18025,"76.10 (75.34, 76.85)","0.70 (0.60, 0.81)","0.99 (0.87, 1.12)","3.47 (3.14, 3.83)","15.48 (14.31, 16.65)","58.11 (55.45, 60.71)"
18027,"77.17 (76.57, 77.78)","0.70 (0.63, 0.79)","0.93 (0.84, 1.05)","3.00 (2.75, 3.24)","13.42 (12.66, 14.23)","55.42 (53.40, 57.41)"
18033,"77.83 (77.31, 78.34)","0.63 (0.57, 0.71)","0.88 (0.80, 0.97)","2.65 (2.46, 2.84)","12.49 (11.82, 13.20)","54.65 (52.88, 56.50)"
18029,"78.37 (77.90, 78.85)","0.54 (0.48, 0.60)","0.79 (0.71, 0.87)","2.42 (2.24, 2.60)","12.07 (11.49, 12.65)","53.87 (52.20, 55.57)"
18031,"78.07 (77.50, 78.65)","0.62 (0.55, 0.71)","0.88 (0.79, 0.99)","2.75 (2.51, 2.99)","12.60 (11.84, 13.42)","52.57 (50.58, 54.57)"
18035,"76.98 (76.56, 77.34)","0.74 (0.68, 0.80)","0.63 (0.59, 0.68)","3.14 (2.98, 3.31)","14.25 (13.75, 14.80)","56.10 (54.86, 57.45)"
18037,"78.93 (78.44, 79.40)","0.58 (0.52, 0.64)","0.82 (0.74, 0.91)","2.35 (2.18, 2.55)","10.98 (10.38, 11.59)","51.97 (50.16, 53.66)"
18039,"78.78 (78.41, 79.16)","0.68 (0.64, 0.73)","0.81 (0.76, 0.86)","2.36 (2.25, 2.48)","11.73 (11.30, 12.15)","50.71 (49.47, 52.00)"
18041,"75.84 (75.23, 76.45)","0.74 (0.65, 0.84)","1.03 (0.90, 1.15)","3.49 (3.18, 3.78)","15.39 (14.50, 16.31)","58.86 (56.86, 60.82)"
18043,"77.17 (76.74, 77.57)","0.58 (0.52, 0.64)","0.80 (0.73, 0.87)","2.78 (2.61, 2.96)","13.52 (12.97, 14.14)","57.33 (55.88, 58.80)"
18045,"77.25 (76.62, 77.88)","0.63 (0.55, 0.72)","0.93 (0.82, 1.06)","2.88 (2.63, 3.16)","13.25 (12.44, 14.09)","56.47 (54.30, 58.75)"
18047,"78.95 (78.37, 79.51)","0.56 (0.49, 0.63)","0.80 (0.71, 0.90)","2.48 (2.27, 2.69)","11.65 (10.89, 12.43)","50.39 (48.31, 52.45)"
18049,"76.90 (76.27, 77.48)","0.74 (0.66, 0.85)","0.96 (0.85, 1.08)","3.11 (2.85, 3.39)","13.92 (13.10, 14.85)","55.60 (53.69, 57.66)"
18051,"78.06 (77.56, 78.56)","0.59 (0.51, 0.66)","0.80 (0.72, 0.89)","2.59 (2.41, 2.79)","12.59 (11.88, 13.34)","53.88 (52.07, 55.61)"
18053,"76.47 (76.05, 76.90)","0.80 (0.73, 0.87)","0.79 (0.74, 0.86)","3.26 (3.07, 3.46)","14.86 (14.27, 15.45)","57.24 (55.73, 58.68)"
18055,"76.76 (76.21, 77.28)","0.74 (0.66, 0.84)","1.02 (0.92, 1.13)","3.22 (2.97, 3.47)","14.40 (13.68, 15.14)","55.31 (53.59, 57.08)"
18057,"81.78 (81.47, 82.07)","0.40 (0.37, 0.43)","0.57 (0.52, 0.62)","1.30 (1.23, 1.37)","7.35 (7.07, 7.65)","45.63 (44.49, 46.80)"
18059,"78.99 (78.56, 79.42)","0.54 (0.48, 0.60)","0.74 (0.67, 0.81)","2.20 (2.06, 2.36)","10.73 (10.23, 11.25)","52.85 (51.22, 54.33)"
18061,"78.08 (77.58, 78.61)","0.58 (0.52, 0.66)","0.89 (0.80, 0.98)","2.78 (2.58, 2.99)","12.34 (11.70, 13.03)","53.19 (51.31, 54.91)"
18063,"79.97 (79.61, 80.34)","0.45 (0.41, 0.49)","0.62 (0.56, 0.68)","1.84 (1.73, 1.95)","9.38 (9.00, 9.76)","50.98 (49.56, 52.42)"
18065,"76.93 (76.46, 77.39)","0.66 (0.59, 0.73)","0.92 (0.84, 1.01)","3.35 (3.13, 3.58)","13.71 (13.08, 14.33)","55.97 (54.47, 57.53)"
18067,"77.20 (76.75, 77.62)","0.64 (0.59, 0.70)","0.87 (0.80, 0.94)","2.89 (2.72, 3.07)","13.67 (13.11, 14.26)","56.09 (54.66, 57.56)"
18069,"78.18 (77.66, 78.70)","0.59 (0.52, 0.65)","0.80 (0.73, 0.89)","2.63 (2.43, 2.85)","12.38 (11.70, 13.04)","53.58 (51.73, 55.31)"
18071,"76.41 (75.87, 76.93)","0.71 (0.64, 0.79)","0.89 (0.81, 0.99)","2.96 (2.74, 3.19)","14.77 (13.98, 15.52)","58.78 (57.02, 60.57)"
18073,"78.01 (77.51, 78.59)","0.62 (0.55, 0.70)","0.89 (0.80, 0.99)","2.76 (2.54, 2.99)","12.53 (11.81, 13.25)","53.50 (51.48, 55.22)"
18075,"77.25 (76.65, 77.84)","0.67 (0.59, 0.76)","0.98 (0.86, 1.09)","2.92 (2.67, 3.17)","13.56 (12.79, 14.40)","55.01 (53.09, 57.02)"
18077,"76.18 (75.66, 76.70)","0.65 (0.57, 0.73)","0.89 (0.80, 0.99)","2.95 (2.72, 3.18)","14.87 (14.11, 15.68)","60.41 (58.61, 62.21)"
18079,"75.53 (74.90, 76.19)","0.76 (0.67, 0.86)","1.10 (0.97, 1.22)","3.53 (3.24, 3.81)","15.97 (15.06, 16.92)","59.57 (57.42, 61.70)"
18081,"78.57 (78.21, 78.92)","0.54 (0.50, 0.59)","0.67 (0.62, 0.73)","2.16 (2.05, 2.28)","11.61 (11.17, 12.06)","54.27 (52.91, 55.58)"
18083,"76.17 (75.67, 76.69)","0.67 (0.60, 0.76)","0.90 (0.82, 0.99)","3.26 (3.01, 3.51)","15.33 (14.58, 16.04)","58.69 (57.03, 60.22)"
18085,"78.52 (78.07, 78.95)","0.69 (0.63, 0.75)","0.86 (0.79, 0.94)","2.52 (2.36, 2.68)","11.73 (11.21, 12.22)","51.78 (50.43, 53.30)"
18087,"79.74 (79.22, 80.28)","0.58 (0.52, 0.65)","0.77 (0.69, 0.86)","2.25 (2.07, 2.44)","10.16 (9.56, 10.80)","48.55 (46.58, 50.50)"
18091,"76.93 (76.52, 77.34)","0.74 (0.69, 0.80)","1.02 (0.95, 1.10)","3.17 (3.01, 3.36)","13.96 (13.41, 14.51)","55.41 (54.12, 56.81)"
18089,"76.57 (76.30, 76.83)","0.86 (0.82, 0.89)","1.12 (1.07, 1.16)","3.67 (3.57, 3.79)","14.50 (14.18, 14.85)","54.14 (53.32, 55.00)"
18093,"76.44 (75.93, 76.93)","0.70 (0.63, 0.77)","1.06 (0.95, 1.16)","3.24 (3.01, 3.46)","14.52 (13.82, 15.27)","57.78 (56.18, 59.48)"
18095,"76.76 (76.37, 77.14)","0.74 (0.68, 0.79)","0.93 (0.87, 1.00)","3.13 (2.98, 3.28)","14.12 (13.62, 14.63)","56.47 (55.19, 57.75)"
18097,"76.20 (75.96, 76.45)","0.92 (0.89, 0.95)","0.92 (0.89, 0.95)","3.32 (3.23, 3.40)","15.50 (15.19, 15.81)","56.24 (55.47, 57.02)"
18099,"79.06 (78.52, 79.54)","0.53 (0.48, 0.59)","0.81 (0.73, 0.89)","2.41 (2.24, 2.59)","11.42 (10.82, 12.09)","50.32 (48.71, 52.13)"
18101,"77.33 (76.58, 78.09)","0.64 (0.55, 0.75)","0.91 (0.79, 1.04)","3.04 (2.73, 3.38)","13.17 (12.12, 14.27)","55.57 (52.97, 58.26)"
18103,"77.83 (77.26, 78.38)","0.60 (0.53, 0.67)","0.81 (0.73, 0.89)","2.69 (2.48, 2.92)","13.30 (12.58, 14.07)","53.68 (51.74, 55.58)"
18105,"80.21 (79.83, 80.58)","0.51 (0.46, 0.56)","0.38 (0.35, 0.41)","2.14 (2.02, 2.26)","10.51 (10.04, 10.99)","47.09 (45.75, 48.38)"
18107,"77.94 (77.42, 78.47)","0.62 (0.55, 0.69)","0.83 (0.75, 0.92)","2.81 (2.61, 3.03)","12.41 (11.74, 13.10)","53.75 (51.98, 55.59)"
18109,"77.38 (76.91, 77.80)","0.63 (0.58, 0.70)","0.87 (0.80, 0.96)","2.68 (2.51, 2.86)","12.57 (12.00, 13.20)","57.51 (55.96, 59.32)"
18111,"77.20 (76.46, 77.85)","0.66 (0.57, 0.77)","0.99 (0.88, 1.13)","3.06 (2.76, 3.37)","13.46 (12.50, 14.43)","55.44 (53.13, 57.92)"
18113,"77.73 (77.21, 78.21)","0.68 (0.61, 0.76)","0.88 (0.80, 0.97)","2.74 (2.55, 2.95)","12.62 (11.96, 13.30)","54.75 (53.02, 56.62)"
18115,"78.27 (77.35, 79.19)","0.54 (0.45, 0.65)","0.79 (0.68, 0.93)","2.65 (2.32, 2.99)","12.44 (11.28, 13.71)","52.95 (49.65, 56.09)"
18117,"76.68 (76.06, 77.31)","0.65 (0.56, 0.75)","1.00 (0.88, 1.13)","3.09 (2.83, 3.36)","14.40 (13.50, 15.31)","57.20 (54.99, 59.20)"
18119,"76.29 (75.66, 76.88)","0.73 (0.63, 0.84)","0.98 (0.86, 1.10)","3.25 (2.96, 3.54)","14.26 (13.36, 15.22)","59.56 (57.42, 61.72)"
18121,"78.02 (77.37, 78.65)","0.67 (0.57, 0.77)","0.87 (0.77, 0.98)","2.83 (2.57, 3.10)","12.77 (11.94, 13.64)","52.34 (50.27, 54.41)"
18123,"77.72 (77.07, 78.34)","0.65 (0.57, 0.75)","0.90 (0.79, 1.01)","2.97 (2.71, 3.24)","13.31 (12.44, 14.18)","52.96 (50.92, 55.11)"
18125,"77.64 (76.98, 78.36)","0.63 (0.54, 0.74)","0.91 (0.80, 1.04)","2.87 (2.60, 3.17)","13.35 (12.39, 14.36)","53.76 (51.45, 56.05)"
18127,"78.72 (78.38, 79.07)","0.56 (0.52, 0.61)","0.75 (0.70, 0.81)","2.40 (2.28, 2.51)","11.10 (10.69, 11.50)","53.18 (51.92, 54.36)"
18129,"78.93 (78.38, 79.48)","0.56 (0.50, 0.64)","0.78 (0.70, 0.88)","2.44 (2.23, 2.64)","11.13 (10.47, 11.85)","51.54 (49.63, 53.41)"
18131,"77.21 (76.49, 77.89)","0.71 (0.62, 0.83)","1.01 (0.89, 1.16)","3.06 (2.78, 3.38)","13.82 (12.88, 14.85)","54.28 (51.95, 56.71)"
18133,"78.36 (77.84, 78.87)","0.55 (0.49, 0.63)","0.67 (0.60, 0.73)","2.58 (2.37, 2.78)","12.04 (11.39, 12.74)","53.11 (51.35, 54.96)"
18135,"77.81 (77.22, 78.36)","0.63 (0.55, 0.72)","0.87 (0.77, 0.98)","2.75 (2.54, 2.99)","12.95 (12.17, 13.74)","53.71 (51.81, 55.52)"
18137,"77.86 (77.30, 78.40)","0.60 (0.53, 0.68)","0.88 (0.78, 0.98)","2.69 (2.47, 2.91)","12.54 (11.79, 13.30)","54.56 (52.68, 56.56)"
18139,"77.65 (76.94, 78.27)","0.60 (0.52, 0.68)","0.82 (0.73, 0.92)","2.72 (2.49, 2.99)","13.48 (12.54, 14.43)","54.13 (52.06, 56.33)"
18141,"77.98 (77.65, 78.28)","0.76 (0.72, 0.80)","0.75 (0.71, 0.79)","2.75 (2.64, 2.87)","12.72 (12.34, 13.14)","52.69 (51.65, 53.74)"
18143,"73.42 (72.77, 74.02)","0.89 (0.79, 1.00)","1.30 (1.17, 1.46)","4.24 (3.90, 4.61)","19.46 (18.39, 20.56)","65.11 (63.00, 67.24)"
18145,"77.75 (77.24, 78.22)","0.66 (0.59, 0.73)","0.91 (0.82, 1.00)","2.73 (2.54, 2.93)","12.79 (12.19, 13.43)","53.88 (52.25, 55.57)"
18147,"78.99 (78.38, 79.58)","0.56 (0.49, 0.64)","0.77 (0.68, 0.87)","2.43 (2.22, 2.66)","11.75 (11.05, 12.59)","50.19 (48.19, 52.22)"
18149,"74.66 (74.04, 75.30)","0.86 (0.77, 0.98)","1.28 (1.15, 1.44)","4.03 (3.71, 4.37)","17.25 (16.28, 18.23)","60.89 (58.86, 62.88)"
18151,"78.85 (78.33, 79.39)","0.57 (0.51, 0.65)","0.80 (0.72, 0.89)","2.50 (2.30, 2.72)","11.37 (10.72, 12.03)","51.31 (49.46, 53.20)"
18153,"75.80 (75.20, 76.41)","0.69 (0.60, 0.79)","0.99 (0.88, 1.13)","3.44 (3.16, 3.75)","15.70 (14.78, 16.61)","59.54 (57.37, 61.54)"
18155,"76.50 (75.67, 77.29)","0.71 (0.60, 0.83)","1.01 (0.87, 1.17)","3.25 (2.93, 3.61)","14.07 (12.95, 15.25)","58.01 (55.37, 60.75)"
18157,"79.14 (78.76, 79.51)","0.55 (0.51, 0.60)","0.41 (0.38, 0.44)","2.14 (2.02, 2.26)","11.27 (10.84, 11.71)","52.01 (50.59, 53.35)"
18159,"78.70 (78.06, 79.32)","0.55 (0.47, 0.63)","0.76 (0.66, 0.87)","2.53 (2.30, 2.77)","11.55 (10.79, 12.40)","51.98 (49.76, 54.18)"
18161,"77.70 (76.86, 78.57)","0.63 (0.53, 0.73)","0.91 (0.78, 1.05)","2.85 (2.55, 3.25)","12.54 (11.40, 13.72)","54.96 (51.63, 57.81)"
18163,"77.18 (76.83, 77.54)","0.75 (0.71, 0.80)","0.71 (0.67, 0.76)","3.00 (2.86, 3.14)","14.17 (13.70, 14.64)","54.79 (53.55, 55.92)"
18165,"75.83 (75.21, 76.48)","0.66 (0.58, 0.75)","1.03 (0.90, 1.16)","3.21 (2.93, 3.48)","15.05 (14.10, 15.98)","60.78 (58.61, 62.85)"
18167,"76.45 (76.04, 76.84)","0.76 (0.71, 0.83)","0.77 (0.71, 0.82)","3.10 (2.94, 3.27)","14.95 (14.40, 15.57)","57.67 (56.38, 59.05)"
18169,"77.87 (77.34, 78.40)","0.69 (0.62, 0.77)","1.00 (0.90, 1.10)","2.99 (2.78, 3.22)","12.60 (11.93, 13.26)","52.50 (50.81, 54.24)"
18171,"78.58 (77.84, 79.35)","0.56 (0.48, 0.66)","0.80 (0.69, 0.91)","2.59 (2.32, 2.88)","11.93 (10.94, 12.95)","52.02 (49.37, 54.87)"
18173,"79.27 (78.82, 79.71)","0.46 (0.41, 0.51)","0.71 (0.63, 0.78)","2.08 (1.93, 2.22)","10.53 (10.02, 11.05)","52.39 (50.73, 53.99)"
18175,"75.89 (75.30, 76.46)","0.67 (0.60, 0.76)","1.13 (1.01, 1.26)","3.33 (3.06, 3.61)","16.26 (15.44, 17.18)","58.21 (56.33, 60.25)"
18177,"76.54 (76.09, 77.00)","0.78 (0.72, 0.86)","0.89 (0.81, 0.98)","3.21 (3.03, 3.44)","14.63 (14.02, 15.26)","57.13 (55.71, 58.61)"
18179,"79.52 (79.00, 80.05)","0.53 (0.47, 0.60)","0.81 (0.72, 0.91)","2.31 (2.11, 2.51)","10.58 (9.93, 11.28)","49.30 (47.42, 51.09)"
18181,"78.25 (77.67, 78.81)","0.62 (0.55, 0.70)","0.87 (0.77, 0.98)","2.72 (2.50, 2.97)","12.23 (11.52, 12.98)","52.23 (50.37, 54.24)"
18183,"79.02 (78.44, 79.56)","0.55 (0.48, 0.62)","0.82 (0.74, 0.92)","2.39 (2.20, 2.60)","11.18 (10.53, 11.88)","50.88 (49.01, 52.94)"
19,"79.73 (79.66, 79.81)","0.53 (0.52, 0.54)","0.62 (0.61, 0.63)","2.17 (2.15, 2.20)","10.79 (10.70, 10.88)","48.57 (48.30, 48.82)"
19001,"79.44 (78.68, 80.21)","0.51 (0.43, 0.60)","0.78 (0.67, 0.89)","2.38 (2.13, 2.67)","11.45 (10.46, 12.55)","48.24 (45.77, 50.74)"
19003,"78.96 (77.98, 79.86)","0.57 (0.48, 0.67)","0.79 (0.67, 0.93)","2.68 (2.35, 3.02)","12.39 (11.20, 13.62)","48.57 (45.74, 51.82)"
19005,"79.90 (79.28, 80.52)","0.48 (0.42, 0.56)","0.75 (0.65, 0.85)","2.28 (2.07, 2.52)","9.80 (9.14, 10.61)","48.85 (46.78, 51.01)"
19007,"78.33 (77.67, 78.98)","0.59 (0.51, 0.68)","0.87 (0.76, 1.00)","2.76 (2.50, 3.05)","12.94 (11.99, 13.91)","50.41 (48.25, 52.56)"
19009,"80.54 (79.66, 81.29)","0.49 (0.42, 0.58)","0.68 (0.58, 0.79)","2.20 (1.98, 2.48)","10.28 (9.35, 11.25)","44.72 (42.12, 47.41)"
19011,"81.15 (80.61, 81.66)","0.40 (0.35, 0.46)","0.58 (0.52, 0.66)","1.92 (1.76, 2.10)","9.60 (8.97, 10.21)","44.09 (42.30, 45.95)"
19013,"79.42 (79.05, 79.79)","0.54 (0.50, 0.59)","0.51 (0.48, 0.55)","2.25 (2.13, 2.37)","11.12 (10.70, 11.55)","49.81 (48.55, 51.04)"
19015,"78.98 (78.45, 79.53)","0.53 (0.47, 0.61)","0.68 (0.60, 0.76)","2.44 (2.24, 2.65)","11.04 (10.33, 11.72)","51.70 (49.84, 53.57)"
19017,"82.14 (81.66, 82.64)","0.35 (0.30, 0.40)","0.47 (0.42, 0.53)","1.69 (1.54, 1.86)","8.19 (7.65, 8.75)","41.78 (39.93, 43.63)"
19019,"79.24 (78.66, 79.80)","0.51 (0.44, 0.58)","0.72 (0.64, 0.83)","2.24 (2.05, 2.45)","11.29 (10.51, 12.06)","50.47 (48.42, 52.38)"
19021,"80.88 (80.27, 81.46)","0.44 (0.38, 0.50)","0.63 (0.56, 0.71)","2.06 (1.87, 2.28)","9.57 (8.88, 10.29)","44.32 (42.27, 46.43)"
19023,"80.23 (79.62, 80.81)","0.44 (0.38, 0.51)","0.66 (0.58, 0.75)","2.16 (1.97, 2.38)","10.31 (9.53, 11.09)","46.64 (44.71, 48.67)"
19025,"79.85 (79.20, 80.54)","0.48 (0.41, 0.56)","0.77 (0.67, 0.90)","2.30 (2.06, 2.56)","10.31 (9.49, 11.13)","47.66 (45.48, 49.82)"
19027,"80.36 (79.78, 80.92)","0.45 (0.40, 0.51)","0.70 (0.62, 0.78)","2.14 (1.95, 2.35)","10.24 (9.52, 10.94)","46.25 (44.26, 48.19)"
19029,"78.84 (78.21, 79.49)","0.55 (0.47, 0.63)","0.79 (0.70, 0.90)","2.62 (2.36, 2.87)","11.76 (10.98, 12.61)","49.97 (47.83, 52.02)"
19031,"81.38 (80.75, 81.96)","0.42 (0.36, 0.48)","0.63 (0.55, 0.73)","1.95 (1.77, 2.15)","9.09 (8.44, 9.76)","42.67 (40.65, 44.79)"
19033,"79.23 (78.76, 79.73)","0.51 (0.46, 0.57)","0.71 (0.64, 0.79)","2.44 (2.27, 2.63)","11.46 (10.87, 12.05)","49.40 (47.72, 51.04)"
19035,"80.13 (79.50, 80.71)","0.45 (0.39, 0.52)","0.70 (0.62, 0.80)","2.24 (2.04, 2.49)","10.32 (9.59, 11.12)","46.67 (44.62, 48.89)"
19037,"80.71 (80.09, 81.36)","0.43 (0.37, 0.49)","0.64 (0.56, 0.74)","2.05 (1.84, 2.27)","9.67 (8.93, 10.43)","45.39 (43.29, 47.54)"
