FIPS,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85
1063,"74.05 (73.20, 74.95)","1.34 (1.18, 1.53)","1.75 (1.52, 1.99)","5.03 (4.53, 5.53)","18.17 (16.77, 19.52)","55.61 (53.05, 58.17)"
1065,"74.01 (73.27, 74.72)","1.17 (1.04, 1.32)","1.50 (1.34, 1.66)","4.72 (4.33, 5.11)","18.70 (17.56, 19.86)","58.34 (56.11, 60.71)"
1067,"75.97 (75.29, 76.67)","0.90 (0.79, 1.03)","1.26 (1.11, 1.42)","3.95 (3.58, 4.31)","15.55 (14.61, 16.48)","54.66 (52.52, 56.81)"
1069,"76.81 (76.37, 77.26)","0.84 (0.77, 0.91)","1.02 (0.95, 1.10)","3.29 (3.10, 3.48)","14.28 (13.69, 14.86)","54.59 (53.10, 56.00)"
1071,"74.13 (73.61, 74.63)","0.93 (0.83, 1.01)","1.36 (1.25, 1.48)","4.21 (3.94, 4.47)","17.40 (16.65, 18.19)","63.31 (61.70, 64.99)"
1073,"75.34 (75.11, 75.59)","0.99 (0.96, 1.02)","1.15 (1.11, 1.19)","4.20 (4.10, 4.30)","16.46 (16.13, 16.78)","56.56 (55.80, 57.27)"
1075,"74.83 (74.13, 75.53)","1.03 (0.90, 1.16)","1.28 (1.14, 1.44)","4.08 (3.73, 4.47)","17.09 (16.06, 18.15)","58.69 (56.56, 60.78)"
1077,"76.50 (76.06, 76.92)","0.75 (0.69, 0.82)","0.99 (0.92, 1.06)","3.57 (3.37, 3.78)","14.72 (14.14, 15.32)","55.85 (54.51, 57.13)"
1079,"74.33 (73.75, 74.92)","0.92 (0.82, 1.02)","1.38 (1.26, 1.53)","4.36 (4.05, 4.70)","17.15 (16.31, 18.09)","62.41 (60.53, 64.14)"
1081,"76.52 (76.10, 76.96)","0.81 (0.74, 0.87)","0.65 (0.60, 0.69)","3.17 (2.99, 3.34)","14.96 (14.37, 15.57)","57.30 (55.88, 58.77)"
1083,"77.21 (76.73, 77.65)","0.66 (0.60, 0.73)","0.96 (0.89, 1.05)","3.14 (2.95, 3.34)","13.54 (12.98, 14.15)","55.04 (53.56, 56.61)"
1085,"72.57 (71.72, 73.37)","1.42 (1.25, 1.59)","1.90 (1.68, 2.13)","5.90 (5.40, 6.43)","19.80 (18.49, 21.26)","59.82 (57.38, 62.26)"
1087,"72.81 (72.08, 73.54)","1.36 (1.21, 1.52)","1.38 (1.25, 1.51)","5.99 (5.55, 6.48)","20.84 (19.77, 22.05)","57.88 (55.75, 59.89)"
1089,"78.07 (77.76, 78.35)","0.68 (0.64, 0.72)","0.84 (0.80, 0.89)","2.78 (2.69, 2.88)","12.64 (12.28, 13.02)","52.45 (51.49, 53.45)"
1091,"74.68 (73.98, 75.39)","1.18 (1.05, 1.32)","1.46 (1.32, 1.61)","4.34 (4.02, 4.70)","16.79 (15.84, 17.74)","57.97 (55.88, 60.00)"
1093,"74.54 (73.93, 75.11)","1.05 (0.94, 1.17)","1.41 (1.28, 1.55)","4.33 (4.04, 4.63)","17.02 (16.14, 17.88)","59.41 (57.65, 61.16)"
1095,"74.53 (74.07, 74.96)","0.95 (0.88, 1.03)","1.32 (1.23, 1.43)","4.25 (4.02, 4.48)","17.12 (16.47, 17.78)","60.63 (59.29, 62.05)"
1097,"75.13 (74.81, 75.43)","0.95 (0.90, 0.99)","1.19 (1.14, 1.24)","4.36 (4.21, 4.50)","16.65 (16.26, 17.09)","57.61 (56.69, 58.51)"
1099,"74.97 (74.33, 75.64)","1.09 (0.97, 1.22)","1.42 (1.27, 1.58)","4.45 (4.12, 4.81)","16.58 (15.65, 17.56)","56.87 (54.82, 58.80)"
1101,"75.83 (75.48, 76.20)","1.02 (0.96, 1.08)","1.08 (1.03, 1.14)","3.79 (3.65, 3.95)","15.49 (15.01, 15.97)","56.31 (55.16, 57.42)"
1103,"76.21 (75.77, 76.62)","0.79 (0.73, 0.86)","1.08 (1.01, 1.15)","3.50 (3.33, 3.68)","14.86 (14.33, 15.45)","57.23 (55.87, 58.56)"
1105,"72.31 (71.36, 73.19)","1.35 (1.18, 1.54)","1.74 (1.54, 1.96)","5.69 (5.18, 6.27)","20.42 (19.01, 21.81)","62.06 (59.48, 64.44)"
1107,"74.55 (73.86, 75.21)","1.17 (1.04, 1.31)","1.47 (1.32, 1.63)","4.36 (4.01, 4.73)","16.54 (15.55, 17.48)","59.25 (57.21, 61.25)"
1109,"74.90 (74.26, 75.50)","1.07 (0.96, 1.19)","1.06 (0.96, 1.16)","4.30 (3.97, 4.66)","17.15 (16.21, 18.17)","58.05 (56.13, 59.98)"
1111,"74.65 (74.02, 75.30)","1.08 (0.96, 1.21)","1.49 (1.34, 1.66)","4.39 (4.06, 4.76)","17.20 (16.20, 18.18)","57.86 (55.92, 59.76)"
1113,"74.43 (73.87, 74.96)","0.93 (0.84, 1.01)","1.19 (1.09, 1.31)","4.15 (3.91, 4.41)","18.34 (17.57, 19.20)","59.86 (58.15, 61.54)"
1115,"74.98 (74.51, 75.44)","0.83 (0.76, 0.91)","1.19 (1.10, 1.30)","3.80 (3.58, 4.05)","16.87 (16.20, 17.60)","60.82 (59.19, 62.38)"
1117,"79.53 (79.20, 79.87)","0.56 (0.52, 0.60)","0.81 (0.75, 0.87)","2.16 (2.05, 2.28)","10.40 (10.02, 10.78)","49.56 (48.42, 50.70)"
1119,"74.82 (74.04, 75.60)","1.35 (1.19, 1.52)","1.30 (1.16, 1.45)","4.76 (4.35, 5.21)","17.25 (16.13, 18.41)","54.51 (52.21, 56.87)"
1121,"74.29 (73.82, 74.77)","1.04 (0.96, 1.12)","1.28 (1.19, 1.38)","4.08 (3.86, 4.30)","17.88 (17.25, 18.56)","61.03 (59.59, 62.44)"
1123,"75.01 (74.46, 75.58)","0.95 (0.86, 1.05)","1.26 (1.15, 1.38)","4.31 (4.04, 4.61)","16.45 (15.65, 17.21)","58.59 (56.78, 60.27)"
1125,"75.80 (75.41, 76.16)","1.01 (0.95, 1.07)","0.84 (0.79, 0.89)","3.59 (3.43, 3.75)","15.61 (15.11, 16.14)","57.84 (56.59, 59.12)"
1127,"71.57 (71.08, 72.07)","1.18 (1.09, 1.28)","1.76 (1.64, 1.90)","6.08 (5.76, 6.38)","21.23 (20.49, 22.02)","66.66 (65.22, 68.04)"
1129,"74.82 (74.04, 75.58)","1.11 (0.97, 1.25)","1.50 (1.34, 1.68)","4.21 (3.85, 4.60)","16.68 (15.55, 17.79)","57.97 (55.56, 60.34)"
1131,"72.21 (71.29, 73.05)","1.45 (1.28, 1.65)","1.96 (1.74, 2.22)","5.92 (5.42, 6.47)","20.76 (19.50, 22.21)","59.74 (57.42, 62.40)"
1133,"74.51 (73.86, 75.14)","0.98 (0.87, 1.11)","1.37 (1.23, 1.53)","4.15 (3.82, 4.50)","17.28 (16.34, 18.28)","60.83 (58.90, 62.85)"
2,"78.41 (78.16, 78.69)","0.73 (0.69, 0.76)","1.08 (1.04, 1.12)","3.00 (2.91, 3.09)","11.39 (11.12, 11.67)","50.42 (49.49, 51.32)"
2013,"83.73 (82.45, 85.05)","0.41 (0.32, 0.51)","0.52 (0.42, 0.62)","1.57 (1.35, 1.86)","6.65 (5.78, 7.56)","34.70 (29.89, 39.75)"
2016,"83.73 (82.45, 85.05)","0.41 (0.32, 0.51)","0.52 (0.42, 0.62)","1.57 (1.35, 1.86)","6.65 (5.78, 7.56)","34.70 (29.89, 39.75)"
2020,"78.68 (78.20, 79.17)","0.61 (0.56, 0.66)","0.93 (0.86, 1.00)","2.83 (2.66, 2.99)","11.19 (10.67, 11.72)","50.70 (48.93, 52.49)"
2050,"74.29 (73.16, 75.54)","1.41 (1.21, 1.63)","2.32 (2.02, 2.64)","5.47 (4.86, 6.09)","14.60 (13.07, 16.09)","56.45 (52.10, 60.53)"
2060,"76.70 (74.41, 79.09)","1.02 (0.73, 1.40)","1.28 (0.96, 1.68)","3.64 (2.87, 4.51)","14.42 (11.89, 17.21)","53.23 (45.53, 60.80)"
2068,"74.50 (73.41, 75.59)","1.28 (1.10, 1.46)","2.47 (2.15, 2.87)","5.38 (4.81, 5.95)","15.67 (14.37, 17.07)","52.94 (49.80, 56.12)"
2070,"75.15 (73.95, 76.24)","1.17 (1.00, 1.37)","1.85 (1.58, 2.14)","4.84 (4.29, 5.46)","14.86 (13.50, 16.44)","54.79 (51.07, 58.94)"
2090,"79.35 (78.72, 80.04)","0.55 (0.48, 0.63)","0.79 (0.71, 0.88)","2.40 (2.20, 2.62)","10.71 (10.00, 11.45)","49.34 (46.75, 51.84)"
2100,"79.65 (78.15, 80.98)","0.63 (0.48, 0.81)","0.89 (0.72, 1.11)","2.63 (2.21, 3.14)","10.84 (9.43, 12.47)","45.59 (40.94, 50.62)"
2105,"79.90 (78.82, 81.05)","0.66 (0.54, 0.80)","0.99 (0.82, 1.17)","2.74 (2.41, 3.13)","10.65 (9.47, 11.86)","44.38 (40.38, 48.71)"
2110,"80.35 (79.66, 81.07)","0.57 (0.49, 0.66)","0.81 (0.71, 0.93)","2.38 (2.15, 2.62)","9.53 (8.84, 10.24)","45.33 (42.72, 47.78)"
2122,"78.61 (78.06, 79.13)","0.65 (0.59, 0.72)","1.08 (0.98, 1.20)","3.19 (2.97, 3.43)","11.27 (10.67, 11.86)","49.33 (47.53, 51.17)"
2130,"78.19 (77.56, 78.89)","0.65 (0.57, 0.75)","1.11 (0.97, 1.26)","3.02 (2.75, 3.28)","11.30 (10.62, 11.99)","51.93 (49.54, 54.32)"
2150,"79.59 (78.70, 80.57)","0.67 (0.57, 0.78)","1.01 (0.87, 1.16)","2.83 (2.52, 3.16)","10.84 (9.85, 11.83)","45.18 (41.84, 48.37)"
