date,region,mean,median,lower_90,upper_90,lower_50,upper_50,new_cases
2020-04-17,AK,0.6253544449144719,0.6761147599357382,-0.5029938682050574,1.496710923223772,0.4292070898705117,1.2015173162027255,9.0
2020-04-18,AK,0.6275332132547332,0.6799251074461017,-0.4529625670035838,1.4990877273734604,0.444741630879504,1.1772346522563022,5.0
2020-04-19,AK,0.6261679161284073,0.6905606988285349,-0.3633124716228018,1.5652660077458307,0.40254385619907374,1.125432294028667,5.0
2020-04-20,AK,0.623001378864349,0.6870929359751533,-0.36921636396751545,1.5660652776243538,0.318884656974891,1.0358771815537149,2.0
2020-04-21,AK,0.6240989075961394,0.6825645150402141,-0.4820685870521328,1.423184296964595,0.35861069217988106,1.0646356887439616,8.0
2020-04-22,AK,0.6260575616097803,0.6890111450097037,-0.41334977538983625,1.5261196209167252,0.3686221463959136,1.0652618405022556,6.0
2020-04-23,AK,0.6319018882099198,0.6804452646041976,-0.4524311529492284,1.474349646562738,0.4981521246900476,1.203446456386838,2.0
2020-04-24,AK,0.6339298592262386,0.6851942019161219,-0.4641783093556232,1.4418034765975616,0.4233588189123441,1.1078887631173158,2.0
2020-04-25,AK,0.6365171649415711,0.6878118668928345,-0.35558361707696995,1.6253397460686,0.4111313087161407,1.0966430596527577,0.0
2020-04-26,AK,0.6388808175940273,0.6967210073998121,-0.4876081963432519,1.4562552337840768,0.3139184047188341,0.981914683535022,2.0
2020-04-27,AK,0.6376668771770002,0.7019508732716915,-0.4021837520547618,1.5569066389152857,0.3865968313467149,1.0390628214109094,4.0
2020-04-28,AK,0.6274038031827747,0.6897805798194889,-0.3678391364126025,1.5411087686058351,0.4079023217726635,1.0642438217188177,6.0
2020-04-29,AK,0.6226670165938196,0.6833222396756353,-0.4539469932213041,1.4020378099873891,0.4211608968354145,1.045623051647465,4.0
2020-04-30,AK,0.6296167332905291,0.6961718918130364,-0.2852865185690143,1.5848032701228838,0.3904160495805083,1.02781951601561,0.0
2020-05-01,AK,0.6309110313507942,0.7046763609357636,-0.3110431905808688,1.5165410585023462,0.4119602677157071,1.0333775778509295,9.0
2020-05-02,AK,0.6356246713008372,0.6952173137531757,-0.34735915251636845,1.4920712913418752,0.4469339177380559,1.1134073851946409,1.0
2020-05-03,AK,0.6440724778603495,0.7035962214969431,-0.3961293427900143,1.4888549995530012,0.3946494596384411,1.016200053745316,3.0
2020-05-04,AK,0.6523103593242341,0.7040551768033569,-0.4522630819619185,1.4540209767736054,0.3896103348064757,1.012556585910931,2.0
2020-05-05,AK,0.6576604263377721,0.7077473251524591,-0.32115924051673594,1.5232365174213507,0.3685013715772409,1.0154238189617113,1.0
2020-05-06,AK,0.6685902640761033,0.7150225341100909,-0.27707326745282584,1.5470386700822443,0.4507867208727683,1.082023849373035,1.0
2020-05-07,AK,0.671853191041221,0.7123941180359996,-0.2605823047220894,1.5839482595442935,0.4029094199566903,1.0418967012165776,2.0
2020-05-08,AK,0.685866439052932,0.7293985409096448,-0.2689536974146763,1.5785314943850604,0.3467551222177868,1.0068185928993847,3.0
2020-05-09,AK,0.6924428793772578,0.7193915004704862,-0.27159615230496753,1.5627892888594894,0.5065632238022392,1.1424926948880725,1.0
2020-05-10,AK,0.6905931194290489,0.7318640394091482,-0.2507017899789137,1.5674550836045902,0.3331927968884717,0.9844242867381826,1.0
2020-05-11,AK,0.6992523850616889,0.7211885058094695,-0.27638148327608564,1.580147256044988,0.3459115231321524,1.022383277365395,2.0
2020-05-12,AK,0.7056996193924961,0.7269541097709485,-0.3922186422879767,1.4619840044670809,0.34924442617858115,1.0489160750262645,2.0
2020-05-13,AK,0.7089422707219674,0.7344085950085331,-0.2439069518015297,1.6358913297657234,0.2371715664366051,0.9551243551124252,0.0
2020-05-14,AK,0.7116159728037003,0.7146656763942614,-0.3903995335935656,1.5250125576099185,0.5062546899654623,1.2370721716041135,4.0
2020-05-15,AK,0.715523798858313,0.7277963321295668,-0.22302190620080803,1.6426870561339892,0.5206899797872466,1.2169411451870034,1.0
2020-05-16,AK,0.7196536601081374,0.7356533060930583,-0.3942512466590523,1.4819358229480415,0.5251415345667425,1.1823441883100445,4.0
2020-05-17,AK,0.7297150726023978,0.7410934345592651,-0.31195773103651514,1.5815303391267397,0.6007444292350196,1.295853316941289,4.0
2020-05-18,AK,0.7339273875611105,0.7374601505438452,-0.30542754779714765,1.5637845682751506,0.4793240447327161,1.1814461739785187,3.0
2020-05-19,AK,0.7349839314800352,0.7531066855170924,-0.3367382462475053,1.6332163513840103,0.5504558892272488,1.2505895699403464,0.0
2020-05-20,AK,0.7384294885233638,0.7612499723811721,-0.4425918074811707,1.5272985999581403,0.4859028107284182,1.162840405413404,3.0
2020-05-21,AK,0.737265886618491,0.7623103140686427,-0.3229025852502793,1.6602035092636087,0.5381445460997542,1.221880317854809,0.0
2020-05-22,AK,0.7381919781037208,0.7496162060405371,-0.2778041838818848,1.7108994092209169,0.5487126562907548,1.2496694999319724,2.0
2020-05-23,AK,0.7374257936277012,0.7624265816377098,-0.30907928637500776,1.7085619311391376,0.4044744282621559,1.094742322181397,4.0
2020-05-24,AK,0.7424007141765245,0.7626534022450713,-0.4353423420410968,1.6224405789746017,0.4984404132276084,1.229449723843329,0.0
2020-05-25,AK,0.7520156542719804,0.7586306718560307,-0.3296130184441407,1.7589674829755069,0.455266788837328,1.154121729231324,1.0
2020-05-26,AK,0.7511909288604919,0.7659236095621921,-0.3055802375338085,1.8014504849832904,0.4802713358533921,1.1993383301610026,2.0
