FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
,"0.73 (0.69, 0.78)","5.46 (3.55, 6.13)","1.17 (1.09, 1.29)","0.18 (0.16, 0.22)","0.08 (0.07, 0.10)","0.17 (0.15, 0.19)","0.02 (0.02, 0.03)","0.46 (0.43, 0.51)","45.10 (43.68, 46.89)","52.92 (51.60, 54.36)"
1,"1.13 (1.04, 1.24)","6.25 (4.11, 7.08)","1.33 (1.22, 1.48)","0.38 (0.33, 0.46)","0.08 (0.05, 0.13)","0.34 (0.28, 0.39)","0.02 (0.02, 0.03)","0.82 (0.73, 0.94)","63.90 (61.95, 66.07)","73.44 (71.54, 75.49)"
1001,"0.99 (0.76, 1.27)","5.72 (3.50, 7.56)","1.07 (0.76, 1.49)","0.37 (0.25, 0.53)","0.08 (0.01, 0.29)","0.15 (0.05, 0.30)","0.01 (0.00, 0.04)","0.61 (0.36, 1.06)","73.41 (68.49, 78.50)","81.79 (77.37, 86.77)"
1003,"0.93 (0.76, 1.14)","6.34 (4.05, 7.66)","0.94 (0.71, 1.18)","0.25 (0.18, 0.34)","0.03 (0.00, 0.10)","0.52 (0.31, 0.78)","0.02 (0.00, 0.05)","0.81 (0.54, 1.18)","45.27 (42.60, 48.37)","54.28 (51.92, 56.65)"
1005,"1.14 (0.89, 1.42)","6.47 (4.05, 8.51)","1.63 (1.19, 2.12)","0.37 (0.25, 0.54)","0.03 (0.00, 0.10)","0.10 (0.03, 0.23)","0.02 (0.00, 0.05)","0.51 (0.33, 0.83)","60.07 (55.35, 64.86)","69.82 (65.35, 74.56)"
1007,"1.24 (0.99, 1.53)","5.55 (3.60, 7.50)","1.31 (0.92, 1.83)","0.50 (0.33, 0.68)","0.32 (0.07, 0.83)","0.47 (0.21, 0.91)","0.04 (0.01, 0.10)","1.32 (0.76, 2.36)","75.08 (69.01, 81.26)","84.49 (78.58, 90.47)"
1009,"1.14 (0.90, 1.41)","5.26 (3.30, 6.81)","1.09 (0.78, 1.47)","0.46 (0.31, 0.67)","0.18 (0.05, 0.48)","0.56 (0.29, 0.97)","0.05 (0.01, 0.12)","1.25 (0.80, 2.02)","78.32 (73.78, 83.31)","87.05 (82.51, 91.87)"
1011,"1.43 (1.03, 1.94)","5.58 (3.48, 7.49)","2.05 (1.45, 2.77)","0.47 (0.28, 0.70)","0.03 (0.00, 0.13)","0.08 (0.02, 0.20)","0.02 (0.00, 0.07)","0.59 (0.34, 1.02)","41.85 (36.23, 47.24)","51.49 (46.55, 56.67)"
1013,"1.27 (0.99, 1.55)","5.40 (3.42, 7.09)","1.74 (1.27, 2.31)","0.43 (0.29, 0.63)","0.05 (0.00, 0.21)","0.28 (0.11, 0.64)","0.03 (0.00, 0.09)","0.79 (0.46, 1.38)","65.89 (60.11, 71.23)","75.09 (69.58, 80.45)"
1015,"1.12 (0.88, 1.40)","5.40 (3.48, 6.69)","1.14 (0.87, 1.52)","0.48 (0.33, 0.65)","0.04 (0.01, 0.12)","0.27 (0.14, 0.46)","0.02 (0.01, 0.05)","0.80 (0.54, 1.18)","78.86 (74.96, 82.99)","87.32 (83.60, 91.57)"
1017,"1.28 (0.98, 1.66)","6.19 (3.83, 8.03)","1.42 (1.04, 1.87)","0.45 (0.29, 0.64)","0.02 (0.00, 0.09)","0.16 (0.05, 0.37)","0.01 (0.00, 0.05)","0.63 (0.39, 1.09)","74.48 (68.97, 79.52)","84.00 (79.03, 88.98)"
1019,"1.14 (0.87, 1.45)","5.57 (3.42, 7.42)","1.01 (0.72, 1.37)","0.41 (0.27, 0.59)","0.03 (0.00, 0.10)","0.15 (0.06, 0.31)","0.01 (0.00, 0.04)","0.60 (0.38, 0.91)","84.73 (79.06, 90.61)","93.04 (87.64, 98.97)"
1021,"1.05 (0.84, 1.28)","4.85 (3.12, 6.36)","0.97 (0.70, 1.29)","0.43 (0.29, 0.61)","0.13 (0.02, 0.36)","0.56 (0.26, 0.99)","0.04 (0.01, 0.10)","1.15 (0.69, 1.95)","80.01 (74.89, 85.39)","88.02 (83.11, 93.15)"
1023,"1.28 (1.02, 1.57)","5.59 (3.44, 7.35)","1.46 (1.07, 1.91)","0.44 (0.30, 0.64)","0.03 (0.00, 0.13)","0.45 (0.15, 1.00)","0.02 (0.00, 0.08)","0.94 (0.53, 1.64)","50.92 (45.76, 56.26)","60.19 (55.31, 64.85)"
1025,"1.15 (0.93, 1.42)","6.19 (3.91, 8.07)","1.45 (1.05, 1.94)","0.41 (0.28, 0.58)","0.03 (0.00, 0.14)","0.82 (0.35, 1.64)","0.02 (0.00, 0.08)","1.29 (0.71, 2.25)","59.21 (54.02, 64.43)","69.30 (64.64, 73.89)"
1027,"1.13 (0.86, 1.47)","5.53 (3.25, 7.47)","1.09 (0.74, 1.55)","0.46 (0.29, 0.69)","0.04 (0.00, 0.17)","0.15 (0.04, 0.38)","0.03 (0.00, 0.10)","0.67 (0.39, 1.18)","67.87 (61.62, 74.54)","76.28 (70.56, 82.38)"
1029,"1.07 (0.89, 1.28)","4.86 (2.94, 6.50)","1.05 (0.75, 1.44)","0.46 (0.31, 0.66)","0.04 (0.00, 0.17)","0.18 (0.07, 0.41)","0.03 (0.01, 0.09)","0.71 (0.43, 1.20)","85.14 (78.28, 92.16)","92.84 (86.16, 99.53)"
1031,"1.04 (0.77, 1.40)","6.80 (4.29, 8.61)","1.50 (1.08, 2.01)","0.37 (0.22, 0.56)","0.02 (0.00, 0.10)","0.11 (0.03, 0.27)","0.01 (0.00, 0.04)","0.51 (0.29, 0.87)","69.57 (64.98, 74.44)","79.42 (75.10, 84.10)"
1033,"1.15 (0.83, 1.56)","5.60 (3.50, 7.19)","1.38 (0.98, 1.87)","0.34 (0.23, 0.51)","0.03 (0.00, 0.13)","0.60 (0.28, 1.15)","0.01 (0.00, 0.04)","0.99 (0.59, 1.67)","71.32 (66.79, 75.88)","80.43 (76.26, 84.74)"
1035,"1.28 (0.93, 1.71)","5.46 (3.38, 7.40)","1.34 (0.91, 1.87)","0.35 (0.22, 0.52)","0.10 (0.01, 0.46)","0.28 (0.09, 0.63)","0.02 (0.00, 0.08)","0.74 (0.37, 1.52)","67.58 (61.60, 73.64)","76.40 (70.80, 82.06)"
1037,"1.19 (0.96, 1.49)","5.39 (3.46, 7.21)","1.24 (0.88, 1.69)","0.50 (0.33, 0.74)","0.08 (0.01, 0.30)","0.27 (0.10, 0.58)","0.10 (0.02, 0.30)","0.95 (0.51, 1.78)","69.90 (63.74, 76.71)","78.67 (72.75, 84.96)"
1039,"1.00 (0.81, 1.23)","5.77 (3.63, 7.39)","1.02 (0.75, 1.34)","0.32 (0.22, 0.44)","0.08 (0.01, 0.24)","0.29 (0.14, 0.53)","0.01 (0.00, 0.04)","0.70 (0.44, 1.15)","65.98 (61.81, 70.13)","74.47 (70.34, 78.53)"
1041,"1.20 (0.93, 1.57)","5.67 (3.61, 7.72)","1.76 (1.25, 2.42)","0.44 (0.28, 0.67)","0.05 (0.01, 0.23)","0.20 (0.07, 0.47)","0.02 (0.00, 0.06)","0.71 (0.41, 1.26)","98.58 (91.66, 106.22)","107.91 (101.13, 115.58)"
1043,"1.29 (1.03, 1.61)","5.27 (3.37, 6.68)","0.82 (0.60, 1.11)","0.44 (0.30, 0.61)","0.10 (0.03, 0.26)","0.25 (0.13, 0.43)","0.01 (0.00, 0.04)","0.81 (0.53, 1.20)","81.58 (77.30, 86.04)","89.78 (85.41, 94.38)"
1045,"0.98 (0.78, 1.21)","6.43 (4.17, 8.33)","1.54 (1.12, 2.09)","0.30 (0.20, 0.45)","0.05 (0.01, 0.20)","0.20 (0.08, 0.43)","0.03 (0.01, 0.10)","0.59 (0.34, 1.03)","75.32 (70.51, 80.41)","84.85 (80.72, 89.71)"
1047,"1.36 (1.02, 1.82)","6.62 (4.26, 8.52)","2.47 (1.92, 3.13)","0.49 (0.34, 0.69)","0.02 (0.00, 0.09)","0.14 (0.06, 0.29)","0.01 (0.00, 0.04)","0.67 (0.44, 1.01)","54.46 (50.38, 58.77)","65.59 (61.91, 69.67)"
1049,"1.35 (1.08, 1.69)","5.20 (3.33, 6.71)","0.96 (0.72, 1.28)","0.40 (0.28, 0.58)","0.05 (0.01, 0.16)","0.23 (0.10, 0.43)","0.01 (0.00, 0.04)","0.70 (0.45, 1.09)","93.61 (88.65, 98.68)","101.83 (96.98, 106.88)"
1051,"1.00 (0.81, 1.22)","5.67 (3.60, 7.25)","1.01 (0.72, 1.34)","0.37 (0.25, 0.54)","0.07 (0.01, 0.26)","0.23 (0.10, 0.43)","0.02 (0.00, 0.05)","0.68 (0.41, 1.11)","82.90 (78.01, 88.07)","91.25 (86.59, 96.20)"
1053,"1.08 (0.84, 1.35)","7.04 (4.61, 9.01)","1.22 (0.93, 1.64)","0.28 (0.20, 0.40)","0.04 (0.00, 0.16)","0.62 (0.30, 1.16)","0.02 (0.00, 0.05)","0.95 (0.55, 1.66)","57.34 (53.01, 61.94)","67.63 (63.45, 71.87)"
1055,"1.24 (0.99, 1.52)","5.37 (3.39, 6.73)","1.30 (1.00, 1.66)","0.49 (0.34, 0.68)","0.06 (0.01, 0.17)","0.54 (0.30, 0.87)","0.02 (0.00, 0.04)","1.09 (0.75, 1.59)","88.44 (83.78, 92.84)","97.44 (92.63, 101.76)"
1057,"1.38 (1.09, 1.74)","8.38 (5.04, 11.02)","1.26 (0.88, 1.78)","0.51 (0.33, 0.75)","0.13 (0.02, 0.38)","0.43 (0.17, 0.82)","0.05 (0.01, 0.14)","1.13 (0.64, 1.85)","73.92 (67.57, 80.41)","86.07 (80.15, 91.65)"
1059,"1.22 (0.95, 1.55)","4.84 (2.96, 6.42)","0.98 (0.68, 1.35)","0.39 (0.25, 0.57)","0.06 (0.01, 0.25)","0.32 (0.12, 0.65)","0.01 (0.00, 0.04)","0.78 (0.44, 1.39)","96.50 (90.28, 102.86)","104.32 (98.08, 110.81)"
1061,"1.02 (0.78, 1.32)","7.58 (4.80, 9.71)","1.32 (0.97, 1.76)","0.30 (0.20, 0.45)","0.11 (0.02, 0.36)","0.39 (0.17, 0.77)","0.02 (0.00, 0.06)","0.82 (0.45, 1.50)","68.06 (62.78, 73.70)","78.80 (74.01, 83.87)"
1063,"1.68 (1.30, 2.16)","6.81 (4.19, 9.09)","2.83 (2.03, 3.76)","0.58 (0.36, 0.88)","0.03 (0.00, 0.17)","0.21 (0.06, 0.52)","0.03 (0.00, 0.12)","0.86 (0.48, 1.52)","45.20 (39.06, 51.32)","57.38 (52.27, 63.00)"
1065,"1.45 (1.15, 1.84)","6.33 (3.89, 8.34)","1.98 (1.44, 2.67)","0.54 (0.35, 0.80)","0.04 (0.00, 0.20)","0.26 (0.08, 0.61)","0.02 (0.00, 0.08)","0.86 (0.51, 1.54)","50.51 (44.35, 56.19)","61.15 (55.94, 66.34)"
1067,"1.01 (0.76, 1.33)","7.93 (5.04, 10.54)","1.80 (1.27, 2.50)","0.35 (0.22, 0.52)","0.05 (0.00, 0.24)","0.17 (0.05, 0.41)","0.02 (0.00, 0.07)","0.58 (0.31, 1.07)","59.73 (54.48, 65.45)","71.04 (66.37, 76.03)"
1069,"0.93 (0.67, 1.22)","8.56 (5.51, 10.43)","1.81 (1.41, 2.33)","0.30 (0.20, 0.43)","0.04 (0.01, 0.16)","0.17 (0.08, 0.32)","0.01 (0.00, 0.04)","0.52 (0.32, 0.85)","55.09 (51.30, 59.00)","66.90 (63.76, 70.48)"
1071,"1.31 (1.03, 1.67)","5.12 (3.25, 6.65)","1.30 (0.96, 1.80)","0.40 (0.27, 0.57)","0.10 (0.02, 0.26)","0.22 (0.10, 0.41)","0.02 (0.00, 0.05)","0.74 (0.47, 1.16)","86.22 (81.19, 91.10)","94.69 (90.10, 99.56)"
1073,"1.35 (1.12, 1.62)","6.92 (4.61, 8.13)","1.68 (1.42, 1.99)","0.39 (0.30, 0.52)","0.11 (0.05, 0.23)","0.31 (0.21, 0.42)","0.04 (0.02, 0.06)","0.85 (0.66, 1.10)","48.44 (46.12, 51.02)","59.24 (57.15, 61.56)"
1075,"1.28 (0.95, 1.69)","5.04 (2.90, 6.84)","1.25 (0.87, 1.73)","0.48 (0.29, 0.70)","0.09 (0.01, 0.37)","0.33 (0.12, 0.72)","0.03 (0.01, 0.10)","0.93 (0.51, 1.70)","80.67 (74.37, 86.63)","89.17 (83.34, 95.18)"
1077,"1.04 (0.83, 1.28)","7.20 (4.60, 8.80)","1.16 (0.89, 1.48)","0.30 (0.21, 0.42)","0.03 (0.00, 0.10)","0.55 (0.30, 0.94)","0.01 (0.00, 0.03)","0.88 (0.57, 1.37)","65.65 (61.90, 69.98)","75.94 (72.29, 79.73)"
1079,"1.29 (1.02, 1.60)","5.49 (3.50, 7.20)","1.20 (0.87, 1.64)","0.44 (0.28, 0.64)","0.03 (0.00, 0.12)","0.24 (0.09, 0.50)","0.01 (0.00, 0.04)","0.72 (0.43, 1.13)","83.66 (78.21, 89.33)","92.36 (87.01, 97.80)"
1081,"1.02 (0.81, 1.31)","5.90 (3.78, 7.50)","1.15 (0.86, 1.53)","0.37 (0.26, 0.53)","0.02 (0.00, 0.08)","0.11 (0.04, 0.22)","0.01 (0.00, 0.03)","0.51 (0.34, 0.78)","65.86 (61.87, 70.09)","74.45 (70.53, 78.39)"
1083,"0.89 (0.70, 1.12)","5.79 (3.68, 7.26)","1.07 (0.78, 1.41)","0.31 (0.21, 0.45)","0.03 (0.00, 0.10)","0.26 (0.11, 0.52)","0.01 (0.00, 0.03)","0.61 (0.36, 0.98)","56.56 (52.68, 60.32)","64.91 (61.58, 68.60)"
1085,"1.60 (1.26, 1.99)","6.67 (4.30, 8.70)","2.53 (1.87, 3.29)","0.57 (0.37, 0.85)","0.03 (0.00, 0.17)","0.14 (0.04, 0.34)","0.02 (0.00, 0.07)","0.76 (0.45, 1.24)","44.33 (38.83, 50.19)","55.88 (51.07, 61.18)"
1087,"1.47 (1.16, 1.87)","5.26 (3.43, 6.70)","2.07 (1.60, 2.62)","0.44 (0.28, 0.64)","0.02 (0.00, 0.08)","0.11 (0.03, 0.26)","0.02 (0.00, 0.05)","0.58 (0.37, 0.95)","35.97 (31.85, 40.29)","45.36 (41.45, 49.43)"
1089,"0.95 (0.78, 1.15)","6.18 (3.96, 7.41)","1.17 (0.96, 1.45)","0.33 (0.23, 0.45)","0.02 (0.00, 0.06)","0.09 (0.05, 0.14)","0.01 (0.00, 0.02)","0.44 (0.32, 0.61)","53.14 (50.49, 56.01)","61.87 (59.44, 64.65)"
1091,"1.30 (1.02, 1.66)","5.89 (3.75, 7.70)","1.63 (1.21, 2.12)","0.45 (0.31, 0.64)","0.03 (0.00, 0.12)","0.27 (0.10, 0.61)","0.02 (0.00, 0.05)","0.77 (0.48, 1.33)","52.67 (47.79, 57.83)","62.26 (57.67, 66.81)"
1093,"1.24 (1.02, 1.52)","5.08 (3.14, 6.65)","1.18 (0.85, 1.62)","0.50 (0.33, 0.73)","0.14 (0.03, 0.40)","0.37 (0.16, 0.67)","0.02 (0.01, 0.06)","1.03 (0.63, 1.66)","79.24 (73.84, 84.50)","87.77 (82.75, 92.81)"
1095,"1.30 (1.01, 1.64)","5.11 (3.26, 6.54)","1.07 (0.81, 1.40)","0.43 (0.30, 0.59)","0.05 (0.01, 0.14)","0.18 (0.09, 0.31)","0.01 (0.00, 0.04)","0.68 (0.46, 0.97)","97.47 (92.85, 102.38)","105.63 (101.21, 110.23)"
1097,"1.02 (0.81, 1.29)","7.39 (4.87, 8.77)","1.44 (1.19, 1.76)","0.29 (0.22, 0.41)","0.03 (0.00, 0.09)","0.82 (0.56, 1.13)","0.02 (0.01, 0.05)","1.16 (0.84, 1.57)","54.82 (51.92, 57.93)","65.83 (63.37, 68.58)"
1099,"1.08 (0.82, 1.40)","6.30 (4.00, 8.21)","1.26 (0.90, 1.72)","0.36 (0.25, 0.51)","0.03 (0.00, 0.14)","0.28 (0.10, 0.61)","0.02 (0.00, 0.06)","0.69 (0.40, 1.21)","55.39 (50.66, 60.18)","64.72 (60.54, 69.12)"
1101,"1.17 (0.92, 1.48)","6.70 (4.36, 8.13)","1.97 (1.59, 2.38)","0.36 (0.25, 0.49)","0.04 (0.01, 0.11)","0.09 (0.05, 0.15)","0.01 (0.00, 0.03)","0.51 (0.36, 0.71)","57.69 (54.52, 61.00)","68.04 (65.11, 71.09)"
1103,"1.13 (0.84, 1.52)","4.86 (3.07, 6.06)","0.86 (0.64, 1.14)","0.40 (0.27, 0.59)","0.09 (0.02, 0.24)","0.16 (0.09, 0.27)","0.02 (0.01, 0.06)","0.67 (0.44, 1.00)","69.29 (65.70, 73.05)","76.82 (73.43, 80.48)"
1105,"1.60 (1.15, 2.09)","6.03 (3.87, 8.14)","2.39 (1.73, 3.26)","0.61 (0.37, 0.91)","0.09 (0.01, 0.40)","0.22 (0.07, 0.50)","0.03 (0.00, 0.10)","0.95 (0.54, 1.70)","56.22 (49.68, 63.07)","67.18 (61.03, 73.07)"
1107,"1.47 (1.18, 1.82)","6.03 (3.83, 7.80)","1.44 (1.06, 1.90)","0.51 (0.34, 0.75)","0.04 (0.00, 0.15)","0.23 (0.09, 0.50)","0.03 (0.01, 0.09)","0.80 (0.50, 1.31)","54.20 (49.41, 58.86)","63.94 (59.77, 68.31)"
1109,"1.26 (0.93, 1.67)","6.58 (4.26, 8.69)","1.81 (1.35, 2.43)","0.41 (0.27, 0.62)","0.03 (0.00, 0.13)","0.12 (0.04, 0.26)","0.02 (0.00, 0.06)","0.58 (0.36, 0.93)","62.54 (57.00, 67.88)","72.77 (67.61, 77.88)"
1111,"1.12 (0.86, 1.44)","4.74 (2.95, 6.18)","1.24 (0.90, 1.68)","0.45 (0.31, 0.62)","0.03 (0.00, 0.11)","0.15 (0.05, 0.33)","0.02 (0.00, 0.05)","0.63 (0.40, 1.03)","65.56 (60.76, 70.30)","73.30 (68.94, 77.95)"
1113,"1.10 (0.89, 1.37)","5.95 (3.82, 7.59)","1.42 (1.06, 1.85)","0.37 (0.25, 0.53)","0.02 (0.00, 0.10)","0.12 (0.04, 0.25)","0.01 (0.00, 0.04)","0.52 (0.33, 0.83)","71.37 (66.97, 76.29)","80.35 (76.13, 84.87)"
1115,"1.10 (0.84, 1.40)","5.11 (3.20, 6.51)","1.17 (0.86, 1.53)","0.45 (0.30, 0.66)","0.17 (0.05, 0.42)","0.69 (0.39, 1.10)","0.04 (0.01, 0.09)","1.34 (0.87, 2.04)","82.78 (78.19, 87.38)","91.50 (86.92, 96.17)"
1117,"0.74 (0.56, 1.00)","5.44 (3.54, 6.80)","0.76 (0.56, 1.03)","0.38 (0.27, 0.53)","0.19 (0.07, 0.42)","0.39 (0.24, 0.58)","0.02 (0.01, 0.06)","0.99 (0.68, 1.41)","45.70 (42.86, 48.58)","53.63 (50.95, 56.22)"
1119,"1.44 (1.16, 1.77)","5.27 (3.40, 6.92)","2.20 (1.66, 2.90)","0.54 (0.36, 0.79)","0.02 (0.00, 0.07)","0.19 (0.07, 0.43)","0.02 (0.00, 0.07)","0.77 (0.48, 1.20)","41.81 (37.29, 46.78)","51.49 (47.42, 55.54)"
1121,"1.14 (0.85, 1.49)","5.35 (3.41, 6.80)","1.54 (1.17, 2.03)","0.51 (0.34, 0.72)","0.03 (0.00, 0.09)","0.19 (0.09, 0.35)","0.03 (0.01, 0.08)","0.75 (0.51, 1.12)","80.88 (75.77, 85.77)","89.67 (85.27, 94.39)"
1123,"1.18 (0.88, 1.55)","4.72 (2.99, 6.18)","1.14 (0.84, 1.51)","0.40 (0.27, 0.58)","0.03 (0.00, 0.12)","0.15 (0.07, 0.32)","0.02 (0.00, 0.06)","0.61 (0.39, 0.96)","75.44 (70.68, 80.07)","83.09 (78.53, 87.79)"
1125,"1.18 (0.92, 1.53)","7.65 (4.95, 9.41)","1.20 (0.93, 1.55)","0.44 (0.32, 0.58)","0.14 (0.05, 0.30)","0.29 (0.18, 0.45)","0.04 (0.02, 0.08)","0.91 (0.65, 1.30)","60.06 (56.47, 63.94)","71.00 (67.71, 74.22)"
1127,"1.44 (1.10, 1.83)","7.07 (4.53, 9.06)","1.39 (1.03, 1.89)","0.51 (0.36, 0.71)","0.92 (0.48, 1.61)","0.40 (0.19, 0.68)","0.06 (0.02, 0.14)","1.90 (1.31, 2.75)","107.90 (102.36, 113.61)","119.70 (114.02, 125.35)"
1129,"1.09 (0.86, 1.37)","6.29 (3.98, 8.28)","1.15 (0.81, 1.57)","0.37 (0.26, 0.53)","0.03 (0.00, 0.16)","1.31 (0.55, 2.71)","0.02 (0.00, 0.08)","1.74 (0.88, 3.29)","54.21 (48.71, 60.31)","64.48 (59.46, 69.96)"
1131,"1.45 (1.09, 1.86)","6.53 (4.16, 8.64)","2.32 (1.70, 3.08)","0.49 (0.32, 0.70)","0.03 (0.00, 0.13)","0.31 (0.10, 0.68)","0.02 (0.00, 0.07)","0.85 (0.49, 1.45)","53.90 (47.55, 60.37)","65.03 (59.48, 71.37)"
1133,"1.31 (0.94, 1.77)","5.57 (3.37, 7.55)","1.15 (0.79, 1.63)","0.51 (0.33, 0.73)","0.15 (0.03, 0.44)","0.28 (0.12, 0.57)","0.02 (0.00, 0.06)","0.96 (0.56, 1.55)","100.58 (94.04, 107.50)","109.56 (103.27, 116.51)"
2,"0.96 (0.71, 1.28)","6.16 (3.99, 7.52)","1.57 (1.20, 2.03)","0.17 (0.08, 0.29)","0.03 (0.00, 0.14)","0.14 (0.07, 0.23)","0.02 (0.00, 0.11)","0.36 (0.16, 0.68)","42.31 (39.91, 45.00)","51.36 (49.19, 53.50)"
2013,"0.60 (0.30, 1.02)","5.02 (2.34, 8.54)","1.11 (0.45, 2.17)","0.17 (0.03, 0.47)","0.14 (0.00, 1.40)","0.13 (0.00, 0.74)","0.03 (0.00, 0.23)","0.46 (0.05, 2.39)","26.76 (19.32, 34.77)","33.95 (27.73, 41.34)"
2016,"0.60 (0.30, 1.02)","5.02 (2.34, 8.54)","1.11 (0.45, 2.17)","0.17 (0.03, 0.47)","0.14 (0.00, 1.40)","0.13 (0.00, 0.74)","0.03 (0.00, 0.23)","0.46 (0.05, 2.39)","26.76 (19.32, 34.77)","33.95 (27.73, 41.34)"
2020,"1.00 (0.68, 1.42)","6.06 (3.81, 7.87)","1.51 (1.04, 2.15)","0.14 (0.06, 0.27)","0.02 (0.00, 0.10)","0.16 (0.06, 0.30)","0.02 (0.00, 0.10)","0.34 (0.13, 0.70)","37.62 (34.10, 41.28)","46.53 (43.61, 49.67)"
2050,"0.93 (0.57, 1.38)","8.04 (4.40, 12.31)","1.74 (0.93, 3.08)","0.18 (0.06, 0.40)","0.04 (0.00, 0.26)","0.07 (0.01, 0.24)","0.01 (0.00, 0.08)","0.30 (0.07, 0.88)","66.78 (56.42, 76.63)","77.79 (68.73, 87.30)"
2060,"0.78 (0.44, 1.26)","5.88 (2.41, 11.20)","1.35 (0.47, 2.96)","0.16 (0.03, 0.53)","0.20 (0.00, 1.87)","0.22 (0.00, 1.34)","0.04 (0.00, 0.31)","0.62 (0.05, 4.25)","50.16 (32.53, 68.60)","58.79 (43.04, 76.21)"
2068,"0.94 (0.62, 1.38)","6.04 (3.57, 8.63)","1.23 (0.74, 1.88)","0.18 (0.06, 0.40)","0.04 (0.00, 0.24)","0.11 (0.02, 0.37)","0.02 (0.00, 0.12)","0.35 (0.10, 0.97)","52.58 (45.36, 59.59)","61.13 (55.14, 67.60)"
2070,"0.95 (0.56, 1.45)","7.82 (4.37, 12.00)","1.69 (0.91, 2.86)","0.20 (0.06, 0.51)","0.07 (0.00, 0.53)","0.12 (0.01, 0.49)","0.02 (0.00, 0.14)","0.41 (0.10, 1.39)","60.28 (50.76, 70.26)","71.15 (62.70, 79.92)"
2090,"0.87 (0.56, 1.33)","6.33 (3.90, 8.49)","1.32 (0.84, 2.01)","0.18 (0.06, 0.38)","0.02 (0.00, 0.14)","0.11 (0.02, 0.33)","0.02 (0.00, 0.17)","0.33 (0.11, 0.80)","45.77 (41.07, 51.03)","54.63 (50.27, 59.20)"
2100,"1.01 (0.56, 1.63)","7.89 (4.26, 12.54)","2.24 (1.16, 3.86)","0.20 (0.05, 0.54)","0.09 (0.00, 0.63)","0.19 (0.01, 0.90)","0.05 (0.00, 0.34)","0.54 (0.09, 2.28)","39.35 (27.57, 50.95)","51.02 (40.99, 62.07)"
2105,"0.86 (0.53, 1.30)","6.13 (3.60, 8.99)","1.69 (1.07, 2.57)","0.17 (0.06, 0.42)","0.02 (0.00, 0.18)","0.10 (0.01, 0.35)","0.02 (0.00, 0.14)","0.31 (0.09, 0.87)","29.58 (23.09, 36.21)","38.57 (32.57, 44.62)"
2110,"0.87 (0.48, 1.55)","7.38 (4.36, 10.21)","2.61 (1.58, 3.97)","0.21 (0.07, 0.51)","0.04 (0.00, 0.36)","0.11 (0.01, 0.42)","0.04 (0.00, 0.24)","0.40 (0.10, 1.18)","33.74 (27.71, 39.85)","45.01 (40.46, 49.38)"
2122,"0.98 (0.68, 1.37)","5.44 (3.43, 7.22)","1.47 (1.00, 2.07)","0.17 (0.07, 0.33)","0.03 (0.00, 0.18)","0.12 (0.03, 0.29)","0.02 (0.00, 0.13)","0.34 (0.13, 0.73)","42.92 (39.05, 46.74)","51.15 (48.04, 54.43)"
2130,"1.09 (0.60, 1.86)","6.85 (4.05, 9.71)","1.97 (1.22, 3.03)","0.18 (0.05, 0.45)","0.04 (0.00, 0.36)","0.18 (0.02, 0.69)","0.03 (0.00, 0.19)","0.43 (0.10, 1.43)","45.16 (39.62, 51.14)","55.50 (50.73, 60.40)"
2150,"0.84 (0.53, 1.28)","5.99 (3.38, 9.08)","1.28 (0.67, 2.20)","0.18 (0.06, 0.41)","0.08 (0.00, 0.50)","0.29 (0.02, 1.15)","0.02 (0.00, 0.16)","0.56 (0.11, 2.03)","41.70 (34.88, 48.90)","50.37 (44.81, 56.60)"
2158,"1.09 (0.64, 1.76)","9.92 (5.22, 15.62)","2.23 (1.18, 3.87)","0.22 (0.07, 0.50)","0.07 (0.00, 0.38)","0.07 (0.01, 0.31)","0.02 (0.00, 0.14)","0.38 (0.09, 1.15)","102.27 (88.29, 117.51)","115.90 (103.22, 129.57)"
2164,"0.95 (0.56, 1.45)","7.82 (4.37, 12.00)","1.69 (0.91, 2.86)","0.20 (0.06, 0.51)","0.07 (0.00, 0.53)","0.12 (0.01, 0.49)","0.02 (0.00, 0.14)","0.41 (0.10, 1.39)","60.28 (50.76, 70.26)","71.15 (62.70, 79.92)"
2170,"0.96 (0.68, 1.37)","5.60 (3.47, 7.27)","1.59 (1.15, 2.21)","0.18 (0.07, 0.37)","0.03 (0.00, 0.17)","0.13 (0.03, 0.31)","0.02 (0.00, 0.13)","0.35 (0.13, 0.81)","44.95 (40.91, 48.76)","53.46 (50.03, 56.92)"
2180,"0.82 (0.51, 1.28)","6.42 (3.57, 9.79)","1.32 (0.71, 2.28)","0.16 (0.05, 0.36)","0.04 (0.00, 0.35)","0.08 (0.01, 0.33)","0.02 (0.00, 0.12)","0.30 (0.07, 1.04)","63.28 (54.37, 72.44)","72.14 (64.35, 79.94)"
2185,"0.77 (0.48, 1.19)","5.99 (3.14, 9.94)","1.11 (0.54, 2.00)","0.22 (0.06, 0.56)","0.09 (0.00, 0.79)","0.20 (0.01, 0.75)","0.15 (0.00, 1.05)","0.66 (0.11, 2.97)","81.15 (69.47, 93.29)","89.68 (78.81, 101.26)"
