FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
47039,"0.84 (0.64, 1.07)","5.15 (3.32, 6.85)","0.94 (0.65, 1.31)","0.26 (0.17, 0.39)","0.03 (0.00, 0.12)","0.14 (0.04, 0.35)","0.01 (0.00, 0.04)","0.43 (0.24, 0.82)","52.29 (46.66, 57.63)","59.66 (54.72, 64.39)"
47043,"0.76 (0.59, 0.97)","6.62 (4.09, 8.61)","0.92 (0.66, 1.27)","0.20 (0.13, 0.28)","0.02 (0.00, 0.10)","0.09 (0.03, 0.21)","0.01 (0.00, 0.03)","0.32 (0.19, 0.57)","58.62 (54.26, 63.21)","67.25 (63.59, 71.44)"
47045,"0.86 (0.65, 1.16)","6.67 (4.07, 8.59)","1.60 (1.14, 2.17)","0.22 (0.14, 0.32)","0.01 (0.00, 0.06)","0.06 (0.02, 0.15)","0.01 (0.00, 0.02)","0.30 (0.18, 0.49)","69.31 (64.65, 74.11)","78.75 (74.48, 83.17)"
47047,"0.82 (0.61, 1.07)","4.46 (2.81, 5.80)","1.34 (0.99, 1.74)","0.21 (0.14, 0.31)","0.01 (0.00, 0.05)","0.07 (0.02, 0.18)","0.01 (0.00, 0.02)","0.30 (0.18, 0.52)","42.73 (39.21, 46.57)","49.65 (46.27, 53.09)"
47049,"1.09 (0.84, 1.43)","5.27 (3.17, 7.10)","1.09 (0.73, 1.55)","0.29 (0.18, 0.45)","0.53 (0.18, 1.23)","0.31 (0.14, 0.60)","0.02 (0.01, 0.07)","1.15 (0.59, 2.21)","102.74 (96.13, 109.56)","111.34 (104.99, 118.15)"
47051,"1.04 (0.84, 1.28)","5.35 (3.40, 6.78)","0.96 (0.70, 1.29)","0.25 (0.17, 0.36)","0.08 (0.01, 0.23)","0.14 (0.06, 0.28)","0.01 (0.00, 0.03)","0.47 (0.29, 0.80)","57.84 (54.03, 62.41)","65.66 (61.87, 69.67)"
47053,"0.88 (0.67, 1.15)","5.56 (3.55, 7.22)","1.78 (1.33, 2.34)","0.20 (0.13, 0.28)","0.02 (0.00, 0.08)","0.06 (0.02, 0.12)","0.01 (0.00, 0.02)","0.28 (0.18, 0.44)","57.93 (53.80, 62.47)","66.43 (62.75, 70.60)"
47055,"0.88 (0.65, 1.17)","7.34 (4.58, 9.60)","1.30 (0.92, 1.74)","0.30 (0.20, 0.44)","0.04 (0.00, 0.15)","0.52 (0.20, 1.08)","0.02 (0.00, 0.06)","0.88 (0.47, 1.61)","59.50 (54.50, 64.21)","69.89 (65.86, 74.21)"
47057,"0.98 (0.78, 1.21)","5.37 (3.26, 7.05)","1.05 (0.73, 1.50)","0.20 (0.13, 0.30)","0.22 (0.06, 0.57)","0.15 (0.06, 0.32)","0.02 (0.01, 0.06)","0.59 (0.29, 1.12)","78.94 (72.86, 84.70)","86.92 (81.43, 92.42)"
47059,"0.90 (0.67, 1.17)","4.29 (2.67, 5.58)","1.18 (0.85, 1.63)","0.19 (0.13, 0.28)","0.07 (0.02, 0.18)","0.08 (0.04, 0.15)","0.04 (0.01, 0.08)","0.38 (0.23, 0.63)","70.65 (66.59, 74.92)","77.40 (73.69, 81.56)"
47061,"1.25 (0.95, 1.60)","5.27 (3.16, 7.29)","1.35 (0.89, 2.04)","0.27 (0.17, 0.43)","1.95 (0.90, 3.70)","0.21 (0.07, 0.48)","0.04 (0.01, 0.13)","2.47 (1.24, 4.55)","96.95 (89.72, 104.66)","107.29 (100.20, 114.39)"
47063,"0.87 (0.63, 1.20)","4.43 (2.80, 5.78)","1.23 (0.88, 1.70)","0.17 (0.11, 0.25)","0.15 (0.05, 0.35)","0.09 (0.04, 0.17)","0.02 (0.00, 0.04)","0.43 (0.24, 0.76)","81.53 (76.70, 86.30)","88.48 (83.95, 93.08)"
47065,"0.93 (0.79, 1.12)","6.51 (4.30, 7.73)","1.15 (0.94, 1.39)","0.20 (0.15, 0.27)","0.06 (0.03, 0.14)","0.16 (0.10, 0.24)","0.01 (0.01, 0.03)","0.44 (0.32, 0.61)","55.56 (52.84, 58.65)","64.59 (62.10, 67.24)"
47067,"1.10 (0.80, 1.44)","4.97 (3.00, 7.08)","1.27 (0.80, 1.89)","0.25 (0.16, 0.38)","0.70 (0.20, 1.64)","0.17 (0.06, 0.40)","0.03 (0.01, 0.09)","1.15 (0.51, 2.38)","83.20 (74.78, 90.87)","91.68 (83.64, 99.04)"
47069,"1.06 (0.82, 1.34)","4.68 (2.95, 6.16)","1.94 (1.46, 2.55)","0.27 (0.18, 0.40)","0.01 (0.00, 0.05)","0.09 (0.03, 0.22)","0.01 (0.00, 0.03)","0.38 (0.23, 0.62)","55.63 (50.83, 60.35)","63.69 (59.10, 68.11)"
47071,"0.95 (0.76, 1.18)","5.06 (3.10, 6.54)","0.92 (0.68, 1.22)","0.27 (0.18, 0.39)","0.02 (0.00, 0.08)","0.12 (0.04, 0.28)","0.01 (0.00, 0.02)","0.42 (0.26, 0.70)","55.49 (50.66, 60.27)","62.84 (58.51, 67.16)"
47073,"0.90 (0.70, 1.13)","5.33 (3.39, 6.77)","1.05 (0.77, 1.41)","0.19 (0.13, 0.27)","0.28 (0.11, 0.62)","0.14 (0.06, 0.25)","0.02 (0.01, 0.05)","0.64 (0.37, 1.09)","66.91 (62.81, 71.02)","74.83 (70.97, 78.86)"
47075,"1.12 (0.83, 1.52)","5.73 (3.60, 7.59)","2.18 (1.60, 2.93)","0.27 (0.17, 0.40)","0.01 (0.00, 0.05)","0.06 (0.02, 0.15)","0.01 (0.00, 0.03)","0.34 (0.21, 0.56)","48.01 (42.74, 53.08)","57.38 (52.76, 62.04)"
47077,"0.83 (0.60, 1.11)","4.70 (2.96, 6.16)","1.10 (0.77, 1.54)","0.22 (0.14, 0.33)","0.01 (0.00, 0.08)","0.07 (0.02, 0.20)","0.01 (0.00, 0.02)","0.32 (0.19, 0.55)","50.52 (45.86, 55.01)","57.45 (53.53, 61.39)"
47079,"0.87 (0.71, 1.06)","4.33 (2.82, 5.84)","0.98 (0.70, 1.36)","0.20 (0.13, 0.31)","0.03 (0.00, 0.10)","0.07 (0.03, 0.16)","0.01 (0.00, 0.03)","0.31 (0.19, 0.54)","62.10 (57.74, 66.38)","68.59 (64.69, 72.57)"
47081,"0.92 (0.72, 1.19)","7.61 (4.70, 10.13)","1.11 (0.77, 1.53)","0.24 (0.15, 0.36)","0.08 (0.01, 0.32)","0.19 (0.07, 0.41)","0.02 (0.00, 0.07)","0.53 (0.27, 1.03)","69.80 (64.19, 76.09)","79.97 (74.84, 85.83)"
47083,"0.89 (0.68, 1.14)","6.05 (3.68, 8.43)","1.03 (0.67, 1.51)","0.22 (0.13, 0.33)","0.06 (0.00, 0.24)","0.17 (0.05, 0.42)","0.02 (0.00, 0.06)","0.46 (0.22, 0.94)","83.92 (76.65, 91.60)","92.36 (85.59, 99.66)"
47085,"0.82 (0.58, 1.10)","7.03 (4.30, 9.42)","0.98 (0.66, 1.41)","0.23 (0.14, 0.35)","0.05 (0.00, 0.22)","0.21 (0.06, 0.52)","0.03 (0.00, 0.10)","0.52 (0.25, 1.06)","72.27 (66.61, 77.73)","81.61 (76.42, 86.79)"
