state,date,gg_retail,gg_grocery,gg_park,gg_transit,gg_workplace,gg_residential
TN,2020-08-26,-9.0,-1.4285714285714286,71.14285714285714,-12.0,-24.428571428571427,5.428571428571429
TN,2020-08-27,-9.142857142857142,-1.7142857142857142,69.42857142857143,-12.285714285714286,-24.142857142857142,5.428571428571429
TN,2020-08-28,-9.571428571428571,-2.142857142857143,67.42857142857143,-13.142857142857142,-24.0,5.571428571428571
TN,2020-08-29,-9.571428571428571,-2.4285714285714284,62.57142857142857,-13.714285714285714,-24.0,5.714285714285714
TN,2020-08-30,-9.571428571428571,-2.7142857142857144,59.285714285714285,-14.428571428571429,-24.0,5.857142857142857
TN,2020-08-31,-9.571428571428571,-2.857142857142857,55.42857142857143,-14.714285714285714,-23.857142857142858,5.857142857142857
TN,2020-09-01,-9.142857142857142,-2.4285714285714284,54.0,-14.714285714285714,-23.714285714285715,5.714285714285714
TN,2020-09-02,-8.857142857142858,-2.5714285714285716,53.0,-14.571428571428571,-23.714285714285715,5.571428571428571
TN,2020-09-03,-8.142857142857142,-1.8571428571428572,53.857142857142854,-14.142857142857142,-23.714285714285715,5.428571428571429
TN,2020-09-04,-7.0,-0.5714285714285714,61.0,-12.142857142857142,-23.857142857142858,4.857142857142857
TN,2020-09-05,-6.428571428571429,0.2857142857142857,73.85714285714286,-10.857142857142858,-24.714285714285715,4.571428571428571
TN,2020-09-06,-5.285714285714286,1.4285714285714286,87.71428571428571,-10.714285714285714,-25.428571428571427,4.142857142857143
TN,2020-09-07,-5.571428571428571,1.4285714285714286,101.71428571428571,-11.142857142857142,-31.285714285714285,5.285714285714286
TN,2020-09-08,-6.0,1.4285714285714286,105.28571428571429,-11.0,-31.571428571428573,5.142857142857143
TN,2020-09-09,-6.142857142857143,1.5714285714285714,108.14285714285714,-10.857142857142858,-31.571428571428573,5.0
TN,2020-09-10,-6.714285714285714,1.1428571428571428,110.42857142857143,-11.142857142857142,-31.571428571428573,4.857142857142857
TN,2020-09-11,-7.285714285714286,0.42857142857142855,110.57142857142857,-12.142857142857142,-31.142857142857142,4.714285714285714
TN,2020-09-12,-8.0,-0.7142857142857143,101.85714285714286,-12.571428571428571,-30.285714285714285,4.714285714285714
TN,2020-09-13,-9.571428571428571,-2.0,87.57142857142857,-12.428571428571429,-29.857142857142858,5.0
TN,2020-09-14,-9.142857142857142,-1.7142857142857142,78.57142857142857,-11.428571428571429,-23.571428571428573,3.5714285714285716
TN,2020-09-15,-8.714285714285714,-1.7142857142857142,79.42857142857143,-11.428571428571429,-22.857142857142858,3.5714285714285716
TN,2020-09-16,-8.714285714285714,-1.8571428571428572,79.28571428571429,-11.571428571428571,-22.571428571428573,3.5714285714285716
TN,2020-09-17,-8.571428571428571,-2.142857142857143,77.42857142857143,-11.571428571428571,-22.285714285714285,3.7142857142857144
TN,2020-09-18,-8.285714285714286,-2.0,77.71428571428571,-11.285714285714286,-22.142857142857142,3.7142857142857144
TN,2020-09-19,-7.571428571428571,-1.4285714285714286,83.71428571428571,-11.142857142857142,-22.142857142857142,3.5714285714285716
TN,2020-09-20,-6.571428571428571,-0.7142857142857143,90.85714285714286,-10.428571428571429,-21.857142857142858,3.4285714285714284
TN,2020-09-21,-6.428571428571429,-0.8571428571428571,91.57142857142857,-10.285714285714286,-22.0,3.5714285714285716
TN,2020-09-22,-6.714285714285714,-1.2857142857142858,90.0,-10.428571428571429,-22.142857142857142,3.7142857142857144
TN,2020-09-23,-7.0,-1.4285714285714286,85.14285714285714,-10.857142857142858,-22.0,4.0
TN,2020-09-24,-7.714285714285714,-1.8571428571428572,77.85714285714286,-11.428571428571429,-21.857142857142858,4.428571428571429
TN,2020-09-25,-8.0,-2.142857142857143,71.57142857142857,-12.0,-21.714285714285715,4.714285714285714
TN,2020-09-26,-8.428571428571429,-2.4285714285714284,66.28571428571429,-12.714285714285714,-21.285714285714285,4.857142857142857
TN,2020-09-27,-8.714285714285714,-2.857142857142857,63.0,-13.285714285714286,-21.142857142857142,4.857142857142857
TN,2020-09-28,-9.428571428571429,-3.2857142857142856,57.42857142857143,-13.857142857142858,-20.857142857142858,5.0
TN,2020-09-29,-9.571428571428571,-3.2857142857142856,52.57142857142857,-14.0,-20.571428571428573,5.0
TN,2020-09-30,-9.0,-3.0,55.285714285714285,-13.285714285714286,-20.571428571428573,4.714285714285714
TN,2020-10-01,-7.857142857142857,-1.8571428571428572,61.857142857142854,-12.428571428571429,-20.285714285714285,4.142857142857143
TN,2020-10-02,-7.285714285714286,-1.1428571428571428,64.71428571428571,-11.714285714285714,-20.142857142857142,3.857142857142857
TN,2020-10-03,-7.0,-0.7142857142857143,65.0,-10.571428571428571,-20.571428571428573,3.7142857142857144
TN,2020-10-04,-6.714285714285714,-0.2857142857142857,64.14285714285714,-9.857142857142858,-20.857142857142858,3.7142857142857144
TN,2020-10-05,-6.0,0.42857142857142855,67.14285714285714,-9.142857142857142,-21.428571428571427,3.4285714285714284
TN,2020-10-06,-5.714285714285714,0.7142857142857143,71.57142857142857,-8.714285714285714,-22.0,3.2857142857142856
TN,2020-10-07,-6.0,0.5714285714285714,73.28571428571429,-8.714285714285714,-22.285714285714285,3.2857142857142856
TN,2020-10-08,-6.571428571428571,0.0,74.57142857142857,-8.571428571428571,-22.857142857142858,3.4285714285714284
TN,2020-10-09,-7.142857142857143,-0.5714285714285714,73.85714285714286,-8.428571428571429,-23.428571428571427,3.7142857142857144
TN,2020-10-10,-8.571428571428571,-2.0,61.857142857142854,-9.571428571428571,-23.714285714285715,4.428571428571429
TN,2020-10-11,-9.428571428571429,-2.7142857142857144,56.285714285714285,-9.857142857142858,-23.571428571428573,4.714285714285714
TN,2020-10-12,-9.714285714285714,-3.2857142857142856,56.57142857142857,-9.714285714285714,-23.857142857142858,5.0
TN,2020-10-13,-9.857142857142858,-3.5714285714285716,57.57142857142857,-9.571428571428571,-23.857142857142858,5.142857142857143
TN,2020-10-14,-9.571428571428571,-3.2857142857142856,58.285714285714285,-9.142857142857142,-23.857142857142858,5.142857142857143
TN,2020-10-15,-9.285714285714286,-3.142857142857143,57.285714285714285,-9.142857142857142,-23.857142857142858,5.142857142857143
TN,2020-10-16,-8.857142857142858,-2.857142857142857,58.0,-8.857142857142858,-23.857142857142858,5.0
TN,2020-10-17,-7.571428571428571,-1.8571428571428572,69.71428571428571,-7.285714285714286,-23.571428571428573,4.428571428571429
TN,2020-10-18,-7.142857142857143,-1.5714285714285714,73.57142857142857,-6.571428571428571,-23.571428571428573,4.285714285714286
TN,2020-10-19,-7.142857142857143,-1.2857142857142858,73.0,-6.571428571428571,-22.714285714285715,4.142857142857143
TN,2020-10-20,-7.142857142857143,-1.0,71.85714285714286,-6.571428571428571,-22.142857142857142,4.0
TN,2020-10-21,-7.428571428571429,-1.1428571428571428,70.85714285714286,-6.857142857142857,-21.571428571428573,4.0
TN,2020-10-22,-7.571428571428571,-1.2857142857142858,71.85714285714286,-6.857142857142857,-21.0,4.0
TN,2020-10-23,-7.857142857142857,-1.5714285714285714,72.14285714285714,-7.142857142857143,-20.428571428571427,4.0
TN,2020-10-24,-8.285714285714286,-1.8571428571428572,66.28571428571429,-8.285714285714286,-20.285714285714285,4.285714285714286
TN,2020-10-25,-8.428571428571429,-2.0,66.14285714285714,-9.0,-20.285714285714285,4.285714285714286
TN,2020-10-26,-8.571428571428571,-2.0,64.57142857142857,-9.285714285714286,-20.142857142857142,4.285714285714286
TN,2020-10-27,-8.714285714285714,-2.142857142857143,63.42857142857143,-9.285714285714286,-20.0,4.285714285714286
TN,2020-10-28,-9.714285714285714,-3.142857142857143,54.285714285714285,-10.285714285714286,-20.142857142857142,4.714285714285714
TN,2020-10-29,-9.857142857142858,-3.0,47.42857142857143,-11.142857142857142,-20.285714285714285,5.0
TN,2020-10-30,-9.571428571428571,-2.4285714285714284,44.0,-11.571428571428571,-20.142857142857142,5.0
TN,2020-10-31,-9.285714285714286,-1.1428571428571428,47.57142857142857,-12.0,-20.0,4.714285714285714
TN,2020-11-01,-9.142857142857142,-1.0,44.857142857142854,-12.571428571428571,-20.0,4.714285714285714
TN,2020-11-02,-9.285714285714286,-1.0,41.285714285714285,-13.0,-20.0,4.857142857142857
TN,2020-11-03,-8.571428571428571,-0.2857142857142857,38.285714285714285,-13.571428571428571,-20.571428571428573,5.142857142857143
TN,2020-11-04,-8.285714285714286,0.14285714285714285,41.57142857142857,-13.428571428571429,-20.428571428571427,5.0
TN,2020-11-05,-8.714285714285714,-0.2857142857142857,43.0,-13.285714285714286,-20.285714285714285,4.857142857142857
TN,2020-11-06,-9.285714285714286,-1.1428571428571428,42.714285714285715,-13.571428571428571,-20.285714285714285,5.0
TN,2020-11-07,-9.285714285714286,-2.4285714285714284,42.142857142857146,-13.714285714285714,-20.0,5.142857142857143
TN,2020-11-08,-9.142857142857142,-2.4285714285714284,45.857142857142854,-13.428571428571429,-19.714285714285715,5.142857142857143
TN,2020-11-09,-9.142857142857142,-2.5714285714285716,48.0,-13.428571428571429,-19.714285714285715,5.142857142857143
TN,2020-11-10,-10.142857142857142,-3.4285714285714284,46.42857142857143,-13.571428571428571,-19.285714285714285,5.142857142857143
TN,2020-11-11,-9.714285714285714,-3.4285714285714284,42.857142857142854,-13.857142857142858,-20.285714285714285,5.428571428571429
TN,2020-11-12,-9.714285714285714,-3.2857142857142856,41.285714285714285,-14.0,-20.428571428571427,5.571428571428571
TN,2020-11-13,-9.714285714285714,-3.0,40.57142857142857,-14.142857142857142,-20.571428571428573,5.714285714285714
TN,2020-11-14,-9.857142857142858,-3.0,37.0,-14.285714285714286,-20.714285714285715,5.857142857142857
TN,2020-11-15,-10.285714285714286,-3.142857142857143,30.142857142857142,-14.857142857142858,-20.857142857142858,6.0
TN,2020-11-16,-10.428571428571429,-3.142857142857143,27.0,-15.142857142857142,-20.857142857142858,6.0
TN,2020-11-17,-10.571428571428571,-3.142857142857143,25.0,-15.142857142857142,-20.857142857142858,6.0
TN,2020-11-18,-10.857142857142858,-2.5714285714285716,26.0,-14.714285714285714,-20.0,5.714285714285714
TN,2020-11-19,-11.0,-2.4285714285714284,25.0,-14.714285714285714,-20.0,5.714285714285714
TN,2020-11-20,-11.142857142857142,-2.2857142857142856,24.0,-14.285714285714286,-20.0,5.714285714285714
TN,2020-11-21,-11.285714285714286,-1.8571428571428572,22.857142857142858,-12.857142857142858,-19.714285714285715,5.714285714285714
TN,2020-11-22,-11.571428571428571,-1.7142857142857142,22.142857142857142,-12.428571428571429,-19.428571428571427,5.857142857142857
