date,target,correlation,R2,MAE,MSE,model
2020-11-01,1 wk ahead inc case,0.8926262138060718,0.3288874929572112,314.6127094465682,194772.59893354814,JHU_IDD
2020-11-01,2 wk ahead inc case,0.8840905870610312,0.3180449751280471,362.2099284416477,214911.9296939571,JHU_IDD
2020-11-01,3 wk ahead inc case,0.832165322272769,0.3568964750004935,315.38751936658883,156911.13614660286,JHU_IDD
2020-11-01,4 wk ahead inc case,0.7389688997541247,0.27061077218472385,368.49080477534744,192708.1671670892,JHU_IDD
2020-11-15,1 wk ahead inc case,0.9418370550422067,0.794244968604408,190.550376129357,70584.8254171222,JHU_IDD
2020-11-15,2 wk ahead inc case,0.8749343580641674,0.6891744500661607,226.75637132782853,91621.32983224402,JHU_IDD
2020-11-15,3 wk ahead inc case,0.7766656000166964,0.5578468616169282,239.56434930931186,98905.33835709913,JHU_IDD
2020-11-15,4 wk ahead inc case,0.6792951544518684,0.4322225871812194,240.57867133466127,100591.29869422782,JHU_IDD
2020-11-22,1 wk ahead inc case,0.9154133005827371,0.7614048276950754,221.2083229927894,86333.64466464796,JHU_IDD
2020-11-22,2 wk ahead inc case,0.8414654796294774,0.655936901372284,231.82864103361604,91389.68625512435,JHU_IDD
2020-11-22,3 wk ahead inc case,0.7605770665393015,0.5447609022564175,230.63050173534847,92943.04956314781,JHU_IDD
2020-11-22,4 wk ahead inc case,0.7257047894199863,0.5159935452963078,201.9351857011761,69846.91221215497,JHU_IDD
2020-11-29,1 wk ahead inc case,0.8716561450945365,0.6184680926103363,242.60495790290807,97025.85684925961,JHU_IDD
2020-11-29,2 wk ahead inc case,0.8084371942691553,0.5393082236670355,231.08601405393503,93634.25256764487,JHU_IDD
2020-11-29,3 wk ahead inc case,0.794489750496386,0.5759947280911941,191.62098551834265,64577.9941379263,JHU_IDD
2020-11-29,4 wk ahead inc case,0.830970151106668,0.6275751640145679,214.04923351562275,77307.05470932202,JHU_IDD
2020-12-06,1 wk ahead inc case,0.8976652400972709,0.6118978045010135,229.77028774270346,90638.68608730444,JHU_IDD
2020-12-06,2 wk ahead inc case,0.8917169469007922,0.6851133051490969,181.64346090247759,59683.89325972081,JHU_IDD
2020-12-06,3 wk ahead inc case,0.9123784615583138,0.739821343364558,205.11337062238744,71184.79679794848,JHU_IDD
2020-12-06,4 wk ahead inc case,0.9287131105635998,0.7745752929338428,273.9714677363504,129147.3828320891,JHU_IDD
2020-12-13,1 wk ahead inc case,0.9043833074618493,0.6966445182552021,168.6786321839133,52511.086795283525,JHU_IDD
2020-12-13,2 wk ahead inc case,0.8918435537109007,0.7031702764545416,189.06538864302624,61609.15245742902,JHU_IDD
2020-12-13,3 wk ahead inc case,0.9087398017813332,0.7535676518466493,251.8734921515818,113677.40090124459,JHU_IDD
2020-12-13,4 wk ahead inc case,0.8980830177016957,0.7708350243477695,191.36497854726952,65613.7530229784,JHU_IDD
2020-12-20,1 wk ahead inc case,0.9689640146644601,0.8397441566068755,152.20509945867772,41529.48270049481,JHU_IDD
2020-12-20,2 wk ahead inc case,0.9821817261296774,0.8906028103179074,210.91878886075332,84431.23515427842,JHU_IDD
2020-12-20,3 wk ahead inc case,0.9859883456871857,0.9494073269460783,151.15464891939686,44451.03275484166,JHU_IDD
2020-12-20,4 wk ahead inc case,0.9750106474488653,0.9115121089003899,127.6357645502391,31363.72595083699,JHU_IDD
2020-12-27,1 wk ahead inc case,0.98134613673267,0.8679840064231918,234.64630520041288,96146.00905196961,JHU_IDD
2020-12-27,2 wk ahead inc case,0.9843056075944516,0.921218540741036,160.70481436308862,49454.432962365805,JHU_IDD
2020-12-27,3 wk ahead inc case,0.969888904785164,0.9221929559217196,117.7361733814293,29756.879193656772,JHU_IDD
2020-12-27,4 wk ahead inc case,0.9670887777995335,0.8140087314892486,108.22311478089941,22408.902956816,JHU_IDD
2021-01-03,1 wk ahead inc case,0.9912664155703645,0.870531377983191,172.57150986460138,53040.066020216334,JHU_IDD
2021-01-03,2 wk ahead inc case,0.9765925200944878,0.9500684531957189,118.97689040614276,30534.74378835683,JHU_IDD
2021-01-03,3 wk ahead inc case,0.9727680250142429,0.9137882654527826,101.99811184394157,20772.93977925446,JHU_IDD
2021-01-03,4 wk ahead inc case,0.9455891411352076,0.5298093532143828,135.69592130028792,122464.59293740892,JHU_IDD
2021-01-10,1 wk ahead inc case,0.9651442451768381,0.9255732353339772,118.38588796099135,30423.513282253585,JHU_IDD
2021-01-10,2 wk ahead inc case,0.9661803361150099,0.8352312201283777,103.30046300790326,21226.538606714308,JHU_IDD
2021-01-10,3 wk ahead inc case,0.9465035647445098,0.2512098266858197,150.5207419300935,125789.41940247631,JHU_IDD
2021-01-10,4 wk ahead inc case,0.943510390864312,-0.9656470617313948,169.61348034344138,53032.81094622923,JHU_IDD
