date,target,correlation,R2,MAE,MSE,model
2020-11-01,1 wk ahead inc case,0.9419795131265087,0.7523697026616466,205.05894038534234,101082.78724662456,RF
2020-11-01,2 wk ahead inc case,0.9477132187888293,0.7040129165477678,240.66231809341792,110675.02766126006,RF
2020-11-01,3 wk ahead inc case,0.9323869654866132,0.6889185124211976,212.69376363031378,85100.54295425043,RF
2020-11-01,4 wk ahead inc case,0.9037289005300319,0.5518760302318525,262.0408548714331,113883.11559703646,RF
2020-11-08,1 wk ahead inc case,0.9281666339015736,0.844743663020172,191.66435745754373,80385.28839844625,RF
2020-11-08,2 wk ahead inc case,0.9328442719359817,0.835872201148823,174.45969052772807,62198.91863458544,RF
2020-11-08,3 wk ahead inc case,0.9052493835172001,0.7242087362309517,214.8502777496905,84519.05664681393,RF
2020-11-08,4 wk ahead inc case,0.9029593937857906,0.565872056739716,258.23258188148753,110233.90767187865,RF
2020-11-15,1 wk ahead inc case,0.9138575691789482,0.8229272803280981,149.31029514233282,46276.453731888294,RF
2020-11-15,2 wk ahead inc case,0.9384246043477105,0.8685948791687977,192.54207864800549,70201.8960523432,RF
2020-11-15,3 wk ahead inc case,0.8319593622349996,0.669313178993592,241.3786155356943,100039.16300195122,RF
2020-11-15,4 wk ahead inc case,0.877050423407599,0.6559240065508098,263.83804735301686,116616.16548471052,RF
2020-11-22,1 wk ahead inc case,0.9361574036833508,0.8749963060119411,174.10106613079245,60524.96985798493,RF
2020-11-22,2 wk ahead inc case,0.9418105518580692,0.8737898537287562,214.13262995721163,78398.55462628817,RF
2020-11-22,3 wk ahead inc case,0.8625209949772203,0.6999095150762471,241.82584624891427,95464.09681994207,RF
2020-11-22,4 wk ahead inc case,0.8579536730087433,0.7165011219111889,225.11706231962154,84123.75569049736,RF
2020-11-29,1 wk ahead inc case,0.8832455931257733,0.7736704236075461,174.08054164306844,57100.6100743859,RF
2020-11-29,2 wk ahead inc case,0.928678019237919,0.7841854035840017,203.1582749740728,73331.23937188643,RF
2020-11-29,3 wk ahead inc case,0.8631833661599791,0.7213237550614249,197.17137298537108,69546.34107472232,RF
2020-11-29,4 wk ahead inc case,0.9541702280668409,0.8322730721726468,220.15044532616326,80671.05266614763,RF
2020-12-06,1 wk ahead inc case,0.8976273905218879,0.7291816136274512,169.09096971061308,51478.35878793652,RF
2020-12-06,2 wk ahead inc case,0.9321713455734244,0.831015080756654,175.07770133893524,52513.11841456379,RF
2020-12-06,3 wk ahead inc case,0.9652021664578162,0.8884379028931962,193.84946765995045,65349.65609408458,RF
2020-12-06,4 wk ahead inc case,0.9656336865988583,0.7907735206803564,255.19982608125767,113014.70241181395,RF
2020-12-13,1 wk ahead inc case,0.961052303810681,0.8972409144594854,159.32585733294735,45737.90677660478,RF
2020-12-13,2 wk ahead inc case,0.9616135745413932,0.87679417641545,166.48131157096773,47667.11907770145,RF
2020-12-13,3 wk ahead inc case,0.9750744827864359,0.8826360300428608,214.72298884523516,90609.37099755237,RF
2020-12-13,4 wk ahead inc case,0.9635051836380034,0.8464398556221039,202.91995433004809,74406.50668212198,RF
2020-12-20,1 wk ahead inc case,0.9845718769173112,0.9654881250748675,135.8731019313543,32900.16779156139,RF
2020-12-20,2 wk ahead inc case,0.9754590979965839,0.9199231770361092,183.0459581331946,71109.8015040847,RF
2020-12-20,3 wk ahead inc case,0.9715824177435335,0.8605541723897849,180.60570047159996,60322.15198466075,RF
2020-12-20,4 wk ahead inc case,0.9475357765915474,0.8834647440503889,183.47073019933475,62272.23693550257,RF
2020-12-27,1 wk ahead inc case,0.9845604996523653,0.9496630305025443,170.96301806909466,61757.34241036588,RF
2020-12-27,2 wk ahead inc case,0.9540746796186426,0.8983176172012436,156.88963645064308,46215.52093181089,RF
2020-12-27,3 wk ahead inc case,0.9287680823796286,0.7983884118904021,146.98083761153504,41606.50069924717,RF
2020-12-27,4 wk ahead inc case,0.95802647112815,0.9113698722223492,148.34095086274158,41733.3161487602,RF
2021-01-03,1 wk ahead inc case,0.9819435437387056,0.937591608569986,135.13923746876574,35573.717291805915,RF
2021-01-03,2 wk ahead inc case,0.9423115451885012,0.8849349682115617,128.73956667720086,34069.808798903556,RF
2021-01-03,3 wk ahead inc case,0.9500390370579732,0.8923536491775794,136.744812049416,34844.933519128455,RF
2021-01-03,4 wk ahead inc case,0.9510569268807858,0.8704411581831902,170.37409861961925,139179.322222089,RF
2021-01-10,1 wk ahead inc case,0.9667125653197098,0.8789754192120864,125.16312119020601,28906.93242297707,RF
2021-01-10,2 wk ahead inc case,0.959645275367465,0.9112312188077254,149.06363709736098,38110.28404583121,RF
2021-01-10,3 wk ahead inc case,0.9487356187036298,0.5641836328950094,196.53578523246765,144654.93177923808,RF
2021-01-10,4 wk ahead inc case,0.9338735172616517,0.15346524966745456,226.70697342217358,85225.63962780108,RF
