date,target,correlation,R2,MAE,MSE,model
2020-11-21,1 wk ahead inc case,0.9305234350103573,0.8627497625241342,153.57321204664882,53659.89358338772,OneQuietNight
2020-11-21,2 wk ahead inc case,0.8482695579910339,0.6819704351376084,215.50092874107006,91779.61678814472,OneQuietNight
2020-11-21,3 wk ahead inc case,0.7750528665765394,0.533320344259347,258.87868454565586,127504.44382275618,OneQuietNight
2020-11-21,4 wk ahead inc case,0.7579203728975908,0.5370337344098056,288.05667073438303,154071.01264897507,OneQuietNight
2020-11-29,1 wk ahead inc case,0.9262319974213097,0.7646387636177245,160.39573659835773,48462.56818814725,OneQuietNight
2020-11-29,2 wk ahead inc case,0.8583801072404902,0.6416907270632293,194.6413786722394,68387.74949824056,OneQuietNight
2020-11-29,3 wk ahead inc case,0.8366492063582516,0.6693771663334976,253.20311696575956,113395.981269405,OneQuietNight
2020-11-29,4 wk ahead inc case,0.8587669244978755,0.6891847296508349,259.1006353968386,118974.23323049265,OneQuietNight
2020-12-06,1 wk ahead inc case,0.9266351894637996,0.767430660194059,154.57626981844123,46436.033102385154,OneQuietNight
2020-12-06,2 wk ahead inc case,0.9105288639270633,0.7569620429878366,175.97847384429136,52970.23613115337,OneQuietNight
2020-12-06,3 wk ahead inc case,0.9241455268378841,0.7608950430722266,184.39908386580262,58043.960406346414,OneQuietNight
2020-12-06,4 wk ahead inc case,0.9395348200084455,0.7803941833903959,208.52699719823744,81841.1957338695,OneQuietNight
2020-12-13,1 wk ahead inc case,0.9749378640009607,0.9288078463559633,140.9998787293888,35731.72910820318,OneQuietNight
2020-12-13,2 wk ahead inc case,0.9743406474574742,0.8870805898333572,139.3436436917471,35517.86019536315,OneQuietNight
2020-12-13,3 wk ahead inc case,0.9828392317966438,0.8236495533454344,174.72343649178572,66761.56116780624,OneQuietNight
2020-12-13,4 wk ahead inc case,0.9725847126090453,0.7967384654226446,167.55443208038946,49699.21923092376,OneQuietNight
2020-12-20,1 wk ahead inc case,0.9903524752079927,0.9805200300573403,123.63934909936835,28008.458878667883,OneQuietNight
2020-12-20,2 wk ahead inc case,0.9864818018325682,0.9599479707831019,146.6076459359898,49172.20810808674,OneQuietNight
2020-12-20,3 wk ahead inc case,0.9850491155852489,0.9444765395813355,142.4020440979628,36844.449103547806,OneQuietNight
2020-12-20,4 wk ahead inc case,0.9648487422961591,0.9273956833650907,161.4917613867072,43620.05444652185,OneQuietNight
2020-12-27,1 wk ahead inc case,0.9846494770327535,0.9543538161814126,157.6399404807,54120.19803789296,OneQuietNight
2020-12-27,2 wk ahead inc case,0.9838540565251115,0.9386601043133465,128.05151168734315,32771.40260277633,OneQuietNight
2020-12-27,3 wk ahead inc case,0.960508113057267,0.9181052659071671,131.5369724509755,32020.546933095946,OneQuietNight
2020-12-27,4 wk ahead inc case,0.960427244261399,0.9138772757484934,146.85033739748548,35465.96815002266,OneQuietNight
2021-01-03,1 wk ahead inc case,0.9920891396553351,0.9779130988421939,110.74128151618653,25759.242138508973,OneQuietNight
2021-01-03,2 wk ahead inc case,0.971032384973853,0.9166231620799792,118.66327740522819,28470.92686399135,OneQuietNight
2021-01-03,3 wk ahead inc case,0.9637166081183498,0.8940434830409392,110.65423022805192,23699.425262224548,OneQuietNight
2021-01-03,4 wk ahead inc case,0.959881440023925,0.7826870959963458,169.77756245861636,127205.12211041898,OneQuietNight
2021-01-10,1 wk ahead inc case,0.9789231496481402,0.7359326926115396,166.56683011889433,42028.911282245426,OneQuietNight
2021-01-10,2 wk ahead inc case,0.9728237951916071,0.6626720958501822,174.83828965113545,44701.3834002092,OneQuietNight
2021-01-10,3 wk ahead inc case,0.9555284662485126,0.3951153965415547,201.52933584482037,142007.92183680652,OneQuietNight
2021-01-10,4 wk ahead inc case,0.9333958351449959,-0.09587308375207759,197.88910600722852,63379.12831361415,OneQuietNight
