state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
AK,02,Alaska,737438,2020-05-27 15:42:26.283975 UTC,2020-04-20,2,Post,B-,3.7,-0.4346021135558274,C,3,-0.60158136203861234,C,3,-0.99946217366905765,A,5
AK,02,Alaska,737438,2020-05-27 15:42:26.283975 UTC,2020-05-11,2,Post,C-,2.7,-0.26050394400315369,D,2,-0.028705184571119667,F,1,-0.99789733345135367,A,5
AK,02,Alaska,737438,2020-05-27 15:42:26.283975 UTC,2020-05-05,3,Post,C-,2.7,-0.26294032230184677,D,2,-0.09496640953314614,F,1,-0.99767375677986558,A,5
AK,02,Alaska,737438,2020-05-27 15:42:26.283975 UTC,2020-04-25,7,Post,C-,2.7,-0.34588791783786504,D,2,-0.38105547726131039,F,1,-0.99840023886758877,A,5
AK,02,Alaska,737438,2020-05-27 15:42:26.283975 UTC,2020-04-23,5,Post,C,3,-0.51561383115534309,C,3,-0.40537365598016678,F,1,-0.99874774720266435,A,5
WY,56,Wyoming,577737,2020-05-27 15:42:26.283975 UTC,2020-03-15,1,Post,D+,2.3,-0.061973426140530585,F,1,-0.17072218934575764,F,1,-0.9866875360787003,A,5
WY,56,Wyoming,577737,2020-05-27 15:42:26.283975 UTC,2020-03-12,5,Post,D+,2.3,-0.16536903009106305,F,1,-0.058392827062843732,F,1,-0.98289021261344878,A,5
NM,35,New Mexico,2095428,2020-05-27 15:42:26.283975 UTC,2020-03-06,6,Pre,D,2,-0.0084694810618205166,F,1,-0.04240716835923504,F,1,-0.92091377481099146,B,4
SD,46,South Dakota,882235,2020-05-27 15:42:26.283975 UTC,2020-05-18,2,Post,D+,2.3,-0.2159921543247865,F,1,-0.10739352728068638,F,1,-0.95561115489892545,A,5
SD,46,South Dakota,882235,2020-05-27 15:42:26.283975 UTC,2020-04-08,4,Post,C-,2.7,-0.29613068227747158,D,2,-0.53716480950080225,F,1,-0.98546081576935052,A,5
VT,50,Vermont,626299,2020-05-27 15:42:26.283975 UTC,2020-05-20,4,Post,D+,2.3,-0.20752095423025693,F,1,-0.28291026584230849,F,1,-0.94028356339176322,A,5
