state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
AK,02,Alaska,737438,2020-06-05 17:28:53.54745 UTC,2020-03-17,3,Post,D+,2.3,-0.14609147093882888,F,1,-0.19245293740834177,F,1,-0.99814493647865421,A,5
WY,56,Wyoming,577737,2020-06-05 17:28:53.54745 UTC,2020-04-11,7,Post,C-,2.7,-0.33784058358137975,D,2,-0.53623390593455234,F,1,-0.99283309703855982,A,5
WY,56,Wyoming,577737,2020-06-05 17:28:53.54745 UTC,2020-03-22,1,Post,D+,2.3,-0.065339629553000725,F,1,-0.48916250959462537,F,1,-0.99138292090947266,A,5
WY,56,Wyoming,577737,2020-06-05 17:28:53.54745 UTC,2020-03-14,7,Post,C-,2.7,-0.25323039033537709,D,2,-0.28035989919017745,F,1,-0.9847239423684232,A,5
MT,30,Montana,1062305,2020-06-05 17:28:53.54745 UTC,2020-05-25,2,Post,D+,2.3,-0.040818957628658663,F,1,0.058597373294165395,F,1,-0.98447226216752048,A,5
NM,35,New Mexico,2095428,2020-06-05 17:28:53.54745 UTC,2020-05-20,4,Post,D+,2.3,-0.12752295479790918,F,1,-0.300260763665558,F,1,-0.95614705443126136,A,5
NM,35,New Mexico,2095428,2020-06-05 17:28:53.54745 UTC,2020-03-22,1,Post,C-,2.7,-0.25366263952390578,D,2,-0.52864255036137175,F,1,-0.97610124500254236,A,5
NM,35,New Mexico,2095428,2020-06-05 17:28:53.54745 UTC,2020-03-15,1,Post,D+,2.3,-0.074502048081605515,F,1,-0.1451819024379119,F,1,-0.95338385557795635,A,5
ND,38,North Dakota,760077,2020-06-05 17:28:53.54745 UTC,2020-05-04,2,Post,C-,2.7,-0.37021354757461494,D,2,-0.34448362446324554,F,1,-0.967737694235344,A,5
ND,38,North Dakota,760077,2020-06-05 17:28:53.54745 UTC,2020-04-30,5,Post,C-,2.7,-0.37734440676063186,D,2,-0.4607611044409422,F,1,-0.97971448514864135,A,5
ND,38,North Dakota,760077,2020-06-05 17:28:53.54745 UTC,2020-04-28,3,Post,C-,2.7,-0.37045073298195746,D,2,-0.4613348495427208,F,1,-0.97529196293986042,A,5
ND,38,North Dakota,760077,2020-06-05 17:28:53.54745 UTC,2020-03-17,3,Post,D+,2.3,-0.17347617864769882,F,1,-0.23612572561126219,F,1,-0.96570722365523709,A,5
ND,38,North Dakota,760077,2020-06-05 17:28:53.54745 UTC,2020-02-26,4,Pre,D,2,0.14369993662101965,F,1,0.04124983448973675,F,1,-0.92634911310357682,B,4
VT,50,Vermont,626299,2020-06-05 17:28:53.54745 UTC,2020-04-30,5,Post,C,3,-0.50547606391157385,C,3,-0.54385656671638771,F,1,-0.94846058550549128,A,5
ME,23,Maine,1338404,2020-06-05 17:28:53.54745 UTC,2020-04-19,1,Post,C-,2.7,-0.37690314010052767,D,2,-0.50837141411244413,F,1,-0.97834593112036661,A,5
ID,16,Idaho,1754208,2020-06-05 17:28:53.54745 UTC,2020-05-22,6,Post,D,2,-0.017595107710934081,F,1,-0.067873464391174254,F,1,-0.86806325850113053,B,4
ID,16,Idaho,1754208,2020-06-05 17:28:53.54745 UTC,2020-05-19,3,Post,D,2,-0.17888581698594927,F,1,-0.050067204478171583,F,1,-0.9092636393043646,B,4
OR,41,Oregon,4190713,2020-06-05 17:28:53.54745 UTC,2020-03-22,1,Post,D+,2.3,-0.30084016572772326,D,2,-0.54829387367152294,F,1,-0.93884496837610454,B,4
OR,41,Oregon,4190713,2020-06-05 17:28:53.54745 UTC,2020-03-14,7,Post,D+,2.3,-0.289233512525145,D,2,-0.27364562612274296,F,1,-0.88742348829918816,B,4
NV,32,Nevada,3034392,2020-06-05 17:28:53.54745 UTC,2020-05-18,2,Post,C-,2.7,-0.45540301505771347,C,3,-0.54854558060087044,F,1,-0.903592925194926,B,4
NV,32,Nevada,3034392,2020-06-05 17:28:53.54745 UTC,2020-03-30,2,Post,B,4,-0.52381579651635579,C,3,-0.686257790658206,B,4,-0.96266169481961872,A,5
NV,32,Nevada,3034392,2020-06-05 17:28:53.54745 UTC,2020-02-27,5,Pre,F,1.3,0.030779096035054337,F,1,-0.0013263246272691323,F,1,-0.59998772920394627,D,2
NE,31,Nebraska,1929268,2020-06-05 17:28:53.54745 UTC,2020-04-21,3,Post,D+,2.3,-0.29323070634072423,D,2,-0.53143672021039945,F,1,-0.91352618234311533,B,4
NE,31,Nebraska,1929268,2020-06-05 17:28:53.54745 UTC,2020-03-06,6,Pre,F,1.3,-0.02170140598087281,F,1,-0.0708584771465881,F,1,-0.66220969482412673,D,2
UT,49,Utah,3161105,2020-06-05 17:28:53.54745 UTC,2020-04-13,2,Post,C-,2.7,-0.38323676844706928,D,2,-0.53348366882235,F,1,-0.95146360936326524,A,5
UT,49,Utah,3161105,2020-06-05 17:28:53.54745 UTC,2020-02-28,6,Pre,F,1.3,0.053706489203434717,F,1,-0.0040705439211475404,F,1,-0.67263758695850839,D,2
CO,08,Colorado,5695564,2020-06-05 17:28:53.54745 UTC,2020-04-07,3,Post,B-,3.7,-0.40970093237960076,C,3,-0.63746735430390311,C,3,-0.94729941328363987,A,5
CO,08,Colorado,5695564,2020-06-05 17:28:53.54745 UTC,2020-03-29,1,Post,B-,3.7,-0.52165621562052211,C,3,-0.66525653510027272,B,4,-0.92694075930379261,B,4
KS,20,Kansas,2911505,2020-06-05 17:28:53.54745 UTC,2020-05-18,2,Post,D-,1.7,-0.19872870757127237,F,1,-0.17348360898567197,F,1,-0.78547675742554368,C,3
KS,20,Kansas,2911505,2020-06-05 17:28:53.54745 UTC,2020-04-05,1,Post,B,4,-0.50320832281621464,C,3,-0.65262267988782463,B,4,-0.94080677055805628,A,5
KS,20,Kansas,2911505,2020-06-05 17:28:53.54745 UTC,2020-04-02,5,Post,C-,2.7,-0.34473014307198324,D,2,-0.575987551866307,D,2,-0.92381371156155578,B,4
AZ,04,Arizona,7171646,2020-06-05 17:28:53.54745 UTC,2020-05-24,1,Post,F,1.3,-0.16829984651712301,F,1,-0.25640495761155424,F,1,-0.713362317571424,D,2
AZ,04,Arizona,7171646,2020-06-05 17:28:53.54745 UTC,2020-05-20,4,Post,F,1.3,-0.14428848321883883,F,1,-0.2813847913052705,F,1,-0.73116596720658311,D,2
MN,27,Minnesota,5611179,2020-06-05 17:28:53.54745 UTC,2020-05-16,7,Post,D-,1.7,-0.29955307564591505,D,2,-0.4645713624179742,F,1,-0.71420213151257661,D,2
MN,27,Minnesota,5611179,2020-06-05 17:28:53.54745 UTC,2020-04-20,2,Post,C+,3.3,-0.42587553466916139,C,3,-0.61799177611678757,C,3,-0.91773613675828869,B,4
MN,27,Minnesota,5611179,2020-06-05 17:28:53.54745 UTC,2020-03-22,1,Post,C+,3.3,-0.46743623328218908,C,3,-0.64004721666368258,C,3,-0.890587459346243,B,4
WA,53,Washington,7535591,2020-06-05 17:28:53.54745 UTC,2020-04-11,7,Post,C+,3.3,-0.46144427749330186,C,3,-0.60741616585564051,C,3,-0.86861399156520613,B,4
WV,54,West Virginia,1805832,2020-06-05 17:28:53.54745 UTC,2020-04-14,3,Post,D+,2.3,-0.30370583891565911,D,2,-0.53736063879580132,F,1,-0.90942242045553945,B,4
WV,54,West Virginia,1805832,2020-06-05 17:28:53.54745 UTC,2020-03-30,2,Post,D+,2.3,-0.29095067281338033,D,2,-0.49959435678721542,F,1,-0.90785683808662987,B,4
IA,19,Iowa,3156145,2020-06-05 17:28:53.54745 UTC,2020-04-22,4,Post,D+,2.3,-0.313525344519621,D,2,-0.59645379116620811,D,2,-0.80843657432691185,C,3
IA,19,Iowa,3156145,2020-06-05 17:28:53.54745 UTC,2020-04-16,5,Post,C-,2.7,-0.30002869177332792,D,2,-0.58028698310302362,D,2,-0.87841098184072164,B,4
CA,06,California,39557045,2020-06-05 17:28:53.54745 UTC,2020-05-11,2,Post,D,2,-0.30306234396317122,D,2,-0.56168329809629958,D,2,-0.62529761113972371,D,2
CA,06,California,39557045,2020-06-05 17:28:53.54745 UTC,2020-03-09,2,Post,F,1,-0.077568331141717711,F,1,-0.12959168507050392,F,1,0.39284115296695377,F,1
CA,06,California,39557045,2020-06-05 17:28:53.54745 UTC,2020-03-07,7,Pre,F,1,-0.012574686733145728,F,1,-0.025547863976239961,F,1,0.45858036874671315,F,1
NH,33,New Hampshire,1356458,2020-06-05 17:28:53.54745 UTC,2020-06-01,2,Post,D-,1.7,-0.29252706384119992,D,2,-0.069858112942442263,F,1,-0.58832972218463353,D,2
NH,33,New Hampshire,1356458,2020-06-05 17:28:53.54745 UTC,2020-04-25,7,Post,D,2,-0.442150947981923,C,3,-0.50029031467298246,F,1,-0.663129263498796,D,2
NH,33,New Hampshire,1356458,2020-06-05 17:28:53.54745 UTC,2020-04-10,6,Post,C+,3.3,-0.48667044300797913,C,3,-0.60211073714048624,C,3,-0.84537177890566362,B,4
NH,33,New Hampshire,1356458,2020-06-05 17:28:53.54745 UTC,2020-04-06,2,Post,C,3,-0.43207788879842235,C,3,-0.57784037443635983,D,2,-0.892901451398948,B,4
NH,33,New Hampshire,1356458,2020-06-05 17:28:53.54745 UTC,2020-03-14,7,Post,D-,1.7,-0.30451900812333982,D,2,-0.21223617777304782,F,1,-0.52569676263336029,D,2
AR,05,Arkansas,3013825,2020-06-05 17:28:53.54745 UTC,2020-05-24,1,Post,F,1.3,-0.074246432218131792,F,1,-0.041223716788912665,F,1,-0.46664832577389004,D,2
AR,05,Arkansas,3013825,2020-06-05 17:28:53.54745 UTC,2020-04-03,6,Post,D-,1.7,-0.34379790950881828,D,2,-0.509453736804088,F,1,-0.71856170759307125,D,2
MI,26,Michigan,9995915,2020-06-05 17:28:53.54745 UTC,2020-03-05,5,Pre,F,1,0.0050790277215704456,F,1,-0.051593815590149583,F,1,0.30615271626882956,F,1
KY,21,Kentucky,4468402,2020-06-05 17:28:53.54745 UTC,2020-04-10,6,Post,D,2,-0.38164489545317831,D,2,-0.56784300729588522,D,2,-0.69321009210535256,D,2
MS,28,Mississippi,2986530,2020-06-05 17:28:53.54745 UTC,2020-05-12,3,Post,F,1.3,-0.10266941256415493,F,1,-0.12061453994156378,F,1,-0.44932113568367904,D,2
MS,28,Mississippi,2986530,2020-06-05 17:28:53.54745 UTC,2020-04-26,1,Post,D-,1.7,-0.35003654498994924,D,2,-0.39519312844316878,F,1,-0.72435041436172987,D,2
OK,40,Oklahoma,3943079,2020-06-05 17:28:53.54745 UTC,2020-05-01,6,Post,D,2,-0.25156926838813382,D,2,-0.38561554369661094,F,1,-0.75966284887045732,C,3
OK,40,Oklahoma,3943079,2020-06-05 17:28:53.54745 UTC,2020-03-25,4,Post,F,1.3,-0.16143360441236859,F,1,-0.39111875097540322,F,1,-0.72745828950268121,D,2
OK,40,Oklahoma,3943079,2020-06-05 17:28:53.54745 UTC,2020-02-26,4,Pre,F,1,0.0410756829952616,F,1,0.011231839403340532,F,1,-0.10887444697501669,F,1
MO,29,Missouri,6126452,2020-06-05 17:28:53.54745 UTC,2020-05-06,4,Post,F,1,-0.18625971613735415,F,1,-0.22033129101934087,F,1,-0.32877044080972129,F,1
MO,29,Missouri,6126452,2020-06-05 17:28:53.54745 UTC,2020-05-04,2,Post,D-,1.7,-0.34251187373231,D,2,-0.41161359671988568,F,1,-0.59092026176904211,D,2
PA,42,Pennsylvania,12807060,2020-06-05 17:28:53.54745 UTC,2020-04-09,5,Post,C,3,-0.4260063202631853,C,3,-0.67023741046857888,B,4,-0.72926226538706218,D,2
PA,42,Pennsylvania,12807060,2020-06-05 17:28:53.54745 UTC,2020-03-22,1,Post,C,3,-0.45361799106681278,C,3,-0.66610604131253237,B,4,-0.623425185935673,D,2
PA,42,Pennsylvania,12807060,2020-06-05 17:28:53.54745 UTC,2020-02-28,6,Pre,F,1,0.0478502343558291,F,1,0.008807386385118866,F,1,1.6045221977128508,F,1
VA,51,Virginia,8517685,2020-06-05 17:28:53.54745 UTC,2020-05-26,3,Post,F,1,-0.20023626719130483,F,1,-0.27982047152226547,F,1,-0.28167473936178167,F,1
VA,51,Virginia,8517685,2020-06-05 17:28:53.54745 UTC,2020-05-09,7,Post,F,1.3,-0.30892354054468735,D,2,-0.38825208405325673,F,1,0.13595353181949421,F,1
VA,51,Virginia,8517685,2020-06-05 17:28:53.54745 UTC,2020-05-06,4,Post,F,1.3,-0.34922613870376018,D,2,-0.37880446024040765,F,1,-0.26231151324466806,F,1
VA,51,Virginia,8517685,2020-06-05 17:28:53.54745 UTC,2020-04-09,5,Post,D,2,-0.3891148455452958,D,2,-0.58686831834089181,D,2,-0.68674633804624319,D,2
VA,51,Virginia,8517685,2020-06-05 17:28:53.54745 UTC,2020-02-29,7,Pre,F,1,0.021940566400553706,F,1,0.049053921283715364,F,1,1.0970258461436462,F,1
HI,15,Hawaii,1420491,2020-06-05 17:28:53.54745 UTC,2020-02-25,3,Pre,F,1,-0.014237187338151686,F,1,-0.030670969417810078,F,1,1.277250926362361,F,1
IN,18,Indiana,6691878,2020-06-05 17:28:53.54745 UTC,2020-05-22,6,Post,F,1,-0.081878344678097265,F,1,-0.17279618267877631,F,1,0.63331816825930209,F,1
IN,18,Indiana,6691878,2020-06-05 17:28:53.54745 UTC,2020-04-29,4,Post,D-,1.7,-0.30379556917814077,D,2,-0.43125781525881091,F,1,-0.43926370391590863,D,2
IN,18,Indiana,6691878,2020-06-05 17:28:53.54745 UTC,2020-03-09,2,Post,F,1,-0.0411430397044719,F,1,-0.078692806566541568,F,1,0.5176006159103097,F,1
IL,17,Illinois,12741080,2020-06-05 17:28:53.54745 UTC,2020-04-04,7,Post,C,3,-0.4797436968976212,C,3,-0.69872148900932241,B,4,-0.61500723019216352,D,2
IL,17,Illinois,12741080,2020-06-05 17:28:53.54745 UTC,2020-03-02,2,Pre,F,1,-0.012477382181851208,F,1,-0.040000504258332382,F,1,1.3712936141603738,F,1
NC,37,North Carolina,10383620,2020-06-05 17:28:53.54745 UTC,2020-05-04,2,Post,F,1.3,-0.30929111090345296,D,2,-0.4178496586507871,F,1,-0.20205800441538158,F,1
