state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
IN,18,Indiana,6691878,2020-05-29 15:42:34.991635 UTC,2020-04-14,3,Post,D-,1.7,-0.32368516019476562,D,2,-0.54889587377563365,F,1,-0.68541479080277656,D,2
IN,18,Indiana,6691878,2020-05-29 15:42:34.991635 UTC,2020-04-10,6,Post,D+,2.3,-0.3880208008946609,D,2,-0.6057540451223431,C,3,-0.54655529655881985,D,2
NC,37,North Carolina,10383620,2020-05-29 15:42:34.991635 UTC,2020-05-19,3,Post,F,1,-0.22726482020655164,F,1,-0.29430594895023554,F,1,0.0056609381579875162,F,1
CO,08,Colorado,5695564,2020-05-29 15:42:34.991635 UTC,2020-04-12,1,Post,A-,4.7,-0.6145252656854453,B,4,-0.7942027229662838,A,5,-0.97161780224844152,A,5
CO,08,Colorado,5695564,2020-05-29 15:42:34.991635 UTC,2020-04-07,3,Post,B-,3.7,-0.40970093237960081,C,3,-0.63746735430390311,C,3,-0.94729941328363987,A,5
CO,08,Colorado,5695564,2020-05-29 15:42:34.991635 UTC,2020-03-29,1,Post,B-,3.7,-0.52165621562052211,C,3,-0.66525653510027272,B,4,-0.92694075930379261,B,4
CO,08,Colorado,5695564,2020-05-29 15:42:34.991635 UTC,2020-03-19,5,Post,C+,3.3,-0.44424836352943636,C,3,-0.64853687996438047,C,3,-0.90238012403580092,B,4
OH,39,Ohio,11689442,2020-05-29 15:42:34.991635 UTC,2020-05-20,4,Post,F,1,-0.14892277387295508,F,1,-0.19266564786084495,F,1,0.42695749519255566,F,1
OH,39,Ohio,11689442,2020-05-29 15:42:34.991635 UTC,2020-04-17,6,Post,C-,2.7,-0.41135827925785629,C,3,-0.62405382810699683,C,3,-0.40991622340272604,D,2
ID,16,Idaho,1754208,2020-05-29 15:42:34.991635 UTC,2020-05-11,2,Post,D,2,-0.19604856723001007,F,1,-0.17905558827681639,F,1,-0.917154769438416,B,4
ID,16,Idaho,1754208,2020-05-29 15:42:34.991635 UTC,2020-03-27,6,Post,C,3,-0.35437068511727005,D,2,-0.5903966558644983,D,2,-0.96264650100689964,A,5
PA,42,Pennsylvania,12807060,2020-05-29 15:42:34.991635 UTC,2020-03-21,7,Post,C,3,-0.4360286693266896,C,3,-0.69958551598646557,B,4,-0.67680627758018053,D,2
PA,42,Pennsylvania,12807060,2020-05-29 15:42:34.991635 UTC,2020-03-18,4,Post,F,1.3,-0.18983202830201798,F,1,-0.51226692111892191,F,1,-0.41449019099898765,D,2
KY,21,Kentucky,4468402,2020-05-29 15:42:34.991635 UTC,2020-04-09,5,Post,D+,2.3,-0.31966772082774642,D,2,-0.56642000466948472,D,2,-0.758340629560606,C,3
AR,05,Arkansas,3013825,2020-05-29 15:42:34.991635 UTC,2020-05-24,1,Post,F,1.3,-0.07424643221813175,F,1,-0.041223716788912609,F,1,-0.46664832577388959,D,2
AR,05,Arkansas,3013825,2020-05-29 15:42:34.991635 UTC,2020-04-16,5,Post,F,1.3,-0.21346652065794067,F,1,-0.49003533224386325,F,1,-0.70817573841179993,D,2
OK,40,Oklahoma,3943079,2020-05-29 15:42:34.991635 UTC,2020-04-01,4,Post,D-,1.7,-0.22212921044194567,F,1,-0.43669908138876606,F,1,-0.79715517216879073,C,3
OK,40,Oklahoma,3943079,2020-05-29 15:42:34.991635 UTC,2020-03-02,2,Pre,F,1,0.0060749529162709166,F,1,-0.034667971354216363,F,1,-0.18668313100902745,F,1
VA,51,Virginia,8517685,2020-05-29 15:42:34.991635 UTC,2020-05-26,3,Post,F,1,-0.20023626719130483,F,1,-0.27982047152226541,F,1,-0.28167473936178178,F,1
VA,51,Virginia,8517685,2020-05-29 15:42:34.991635 UTC,2020-04-27,2,Post,D-,1.7,-0.36760608162510572,D,2,-0.48228216764184761,F,1,-0.53163813913912106,D,2
NE,31,Nebraska,1929268,2020-05-29 15:42:34.991635 UTC,2020-03-06,6,Pre,F,1.3,-0.0217014059808728,F,1,-0.07085847714658812,F,1,-0.6622096948241265,D,2
IL,17,Illinois,12741080,2020-05-29 15:42:34.991635 UTC,2020-05-24,1,Post,F,1,-0.23469317711601237,F,1,-0.42446161263879079,F,1,0.0078878914938032,F,1
IL,17,Illinois,12741080,2020-05-29 15:42:34.991635 UTC,2020-04-23,5,Post,D+,2.3,-0.41448966646768659,C,3,-0.60244951940521363,C,3,-0.369375247120144,F,1
WI,55,Wisconsin,5813568,2020-05-29 15:42:34.991635 UTC,2020-03-25,4,Post,C,3,-0.30065444365095623,D,2,-0.62518453729775847,C,3,-0.86798976587688137,B,4
WI,55,Wisconsin,5813568,2020-05-29 15:42:34.991635 UTC,2020-04-19,1,Post,C+,3.3,-0.41730436215011346,C,3,-0.60491935208649361,C,3,-0.87651793324246319,B,4
SD,46,South Dakota,882235,2020-05-29 15:42:34.991635 UTC,2020-04-12,1,Post,A-,4.7,-0.66028036455410855,B,4,-0.84455862739391385,A,5,-0.99570571338495439,A,5
SD,46,South Dakota,882235,2020-05-29 15:42:34.991635 UTC,2020-04-05,1,Post,B-,3.7,-0.49071052434578483,C,3,-0.62591267413910323,C,3,-0.98759157107450546,A,5
SD,46,South Dakota,882235,2020-05-29 15:42:34.991635 UTC,2020-03-04,4,Pre,D,2,0.0044501146256822064,F,1,0.0351616170852838,F,1,-0.93682474298433227,B,4
SD,46,South Dakota,882235,2020-05-29 15:42:34.991635 UTC,2020-03-27,6,Post,C,3,-0.36422799331958422,D,2,-0.55640526656229528,D,2,-0.97386711682595239,A,5
NH,33,New Hampshire,1356458,2020-05-29 15:42:34.991635 UTC,2020-04-21,3,Post,C,3,-0.428307558305094,C,3,-0.55849252008590322,D,2,-0.82464764829362847,B,4
NH,33,New Hampshire,1356458,2020-05-29 15:42:34.991635 UTC,2020-02-29,7,Pre,F,1,0.010183136019546433,F,1,0.018574580827575963,F,1,-0.068528698237987684,F,1
