state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-04-28,3,Post,D-,1.7,-0.34149092428252414,D,2,-0.53297397770532839,F,1,-0.52434491349457857,D,2
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-04-20,2,Post,C,3,-0.40441087454608871,C,3,-0.65829207086523323,B,4,-0.72080107051026265,D,2
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-03-30,2,Post,C-,2.7,-0.39703890268112135,D,2,-0.61417875462291127,C,3,-0.75192653234460149,C,3
VA,51,Virginia,8517685,2020-06-02 15:35:34.457534 UTC,2020-05-18,2,Post,F,1.3,-0.31905505558996777,D,2,-0.36677250331049549,F,1,-0.39112718373286204,F,1
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-05-12,3,Post,F,1,-0.20702667507736724,F,1,-0.31509786862175337,F,1,-0.33200137616872027,F,1
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-04-06,2,Post,D+,2.3,-0.3587997704995497,D,2,-0.596148590294682,D,2,-0.7433366049771124,C,3
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-03-26,5,Post,D,2,-0.32325174853701366,D,2,-0.59654826776786662,D,2,-0.67240204247657864,D,2
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-03-22,1,Post,D+,2.3,-0.40891862897656611,C,3,-0.55753730889229425,D,2,-0.67375960362168485,D,2
TX,48,Texas,28701845,2020-06-02 15:35:34.457534 UTC,2020-04-05,1,Post,C+,3.3,-0.53997765657645713,C,3,-0.6841758051389446,B,4,-0.77291047993922979,C,3
IN,18,Indiana,6691878,2020-06-02 15:35:34.457534 UTC,2020-03-27,6,Post,D+,2.3,-0.3760103738465162,D,2,-0.61934931893720835,C,3,-0.51618350559500825,D,2
IL,17,Illinois,12741080,2020-06-02 15:35:34.457534 UTC,2020-05-12,3,Post,F,1.3,-0.30077263510111812,D,2,-0.47993062381341239,F,1,-0.285718205657129,F,1
NC,37,North Carolina,10383620,2020-06-02 15:35:34.457534 UTC,2020-04-27,2,Post,F,1.3,-0.27406485585907209,D,2,-0.413598759074215,F,1,-0.26907896689668476,F,1
