state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
AK,02,Alaska,737438,2020-06-04 15:45:20.45826 UTC,2020-03-10,3,Post,D+,2.3,-0.058800948893868027,F,1,-0.030004626339996576,F,1,-0.9973872252460404,A,5
WY,56,Wyoming,577737,2020-06-04 15:45:20.45826 UTC,2020-02-29,7,Pre,D+,2.3,0.070244351117313447,F,1,0.12852872527409248,F,1,-0.968527709877852,A,5
MT,30,Montana,1062305,2020-06-04 15:45:20.45826 UTC,2020-05-07,5,Post,C-,2.7,-0.27425481554824244,D,2,-0.27780044220871286,F,1,-0.9822428556194448,A,5
SD,46,South Dakota,882235,2020-06-04 15:45:20.45826 UTC,2020-05-14,5,Post,D+,2.3,-0.13430452725781442,F,1,-0.16684736042694873,F,1,-0.9503611268983494,A,5
SD,46,South Dakota,882235,2020-06-04 15:45:20.45826 UTC,2020-04-01,4,Post,C-,2.7,-0.27447166979565218,D,2,-0.44923312085802969,F,1,-0.9845094325706234,A,5
SD,46,South Dakota,882235,2020-06-04 15:45:20.45826 UTC,2020-03-09,2,Post,D+,2.3,-0.09796068813410258,F,1,-0.092811181080750052,F,1,-0.940803670300348,A,5
SD,46,South Dakota,882235,2020-06-04 15:45:20.45826 UTC,2020-02-29,7,Pre,D,2,0.057100587184121865,F,1,0.069269265333157068,F,1,-0.86353837830502189,B,4
VT,50,Vermont,626299,2020-06-04 15:45:20.45826 UTC,2020-03-15,1,Post,D+,2.3,-0.25572148681236156,D,2,-0.26685094259749786,F,1,-0.92011944118172784,B,4
ME,23,Maine,1338404,2020-06-04 15:45:20.45826 UTC,2020-05-12,3,Post,C-,2.7,-0.27304778951397807,D,2,-0.29061682862570243,F,1,-0.95377164247219837,A,5
ME,23,Maine,1338404,2020-06-04 15:45:20.45826 UTC,2020-04-30,5,Post,C,3,-0.40152797027535958,C,3,-0.41488782548474828,F,1,-0.96516015737350269,A,5
ME,23,Maine,1338404,2020-06-04 15:45:20.45826 UTC,2020-03-19,5,Post,C-,2.7,-0.25250966206639142,D,2,-0.48670446411735591,F,1,-0.95009087974190043,A,5
OR,41,Oregon,4190713,2020-06-04 15:45:20.45826 UTC,2020-05-27,4,Post,D,2,-0.10314323765280194,F,1,-0.18728171149174438,F,1,-0.86670324200385318,B,4
NV,32,Nevada,3034392,2020-06-04 15:45:20.45826 UTC,2020-03-20,6,Post,B+,4.3,-0.47311588466519972,C,3,-0.75925136379190927,A,5,-0.94235797701434909,A,5
NV,32,Nevada,3034392,2020-06-04 15:45:20.45826 UTC,2020-03-05,5,Pre,F,1.3,-0.04318383403256993,F,1,-0.091912046679796244,F,1,-0.62623270007926912,D,2
NE,31,Nebraska,1929268,2020-06-04 15:45:20.45826 UTC,2020-03-28,7,Post,C,3,-0.44314075937367658,C,3,-0.55465762386907769,D,2,-0.90756307796536739,B,4
NE,31,Nebraska,1929268,2020-06-04 15:45:20.45826 UTC,2020-03-13,6,Post,D,2,-0.23213752212518779,F,1,-0.10076463491028739,F,1,-0.83177802512600274,B,4
UT,49,Utah,3161105,2020-06-04 15:45:20.45826 UTC,2020-03-03,3,Pre,D-,1.7,-0.013098946169437119,F,1,-0.032824937440552232,F,1,-0.77543730722089255,C,3
CO,08,Colorado,5695564,2020-06-04 15:45:20.45826 UTC,2020-05-03,1,Post,C,3,-0.42684472607297469,C,3,-0.5633683848741764,D,2,-0.87922833587336358,B,4
CO,08,Colorado,5695564,2020-06-04 15:45:20.45826 UTC,2020-04-24,6,Post,C+,3.3,-0.49174475878227114,C,3,-0.6168022202549911,C,3,-0.855242004542194,B,4
CO,08,Colorado,5695564,2020-06-04 15:45:20.45826 UTC,2020-04-11,7,Post,C+,3.3,-0.50418208080127358,C,3,-0.64106583473663559,C,3,-0.91296101879125691,B,4
CO,08,Colorado,5695564,2020-06-04 15:45:20.45826 UTC,2020-03-31,3,Post,C-,2.7,-0.39197794090095678,D,2,-0.56540953005078964,D,2,-0.93905354245990613,B,4
CO,08,Colorado,5695564,2020-06-04 15:45:20.45826 UTC,2020-03-18,4,Post,D,2,-0.15530980684057982,F,1,-0.41360794727025618,F,1,-0.84984442141808336,B,4
KS,20,Kansas,2911505,2020-06-04 15:45:20.45826 UTC,2020-05-31,1,Post,D,2,-0.18932419050125657,F,1,-0.22113522406206632,F,1,-0.8220401775711742,B,4
KS,20,Kansas,2911505,2020-06-04 15:45:20.45826 UTC,2020-05-01,6,Post,D+,2.3,-0.37796709875817619,D,2,-0.48099635340680147,F,1,-0.90860566802481013,B,4
KS,20,Kansas,2911505,2020-06-04 15:45:20.45826 UTC,2020-04-23,5,Post,D+,2.3,-0.35979698785278325,D,2,-0.47139286795589364,F,1,-0.86177745465080258,B,4
KS,20,Kansas,2911505,2020-06-04 15:45:20.45826 UTC,2020-02-25,3,Pre,F,1.3,-0.012280672158222174,F,1,-0.032931353376239023,F,1,-0.62672555219527859,D,2
WA,53,Washington,7535591,2020-06-04 15:45:20.45826 UTC,2020-05-24,1,Post,F,1.3,-0.16130689106566495,F,1,-0.27840636460938983,F,1,-0.69798386427903225,D,2
WA,53,Washington,7535591,2020-06-04 15:45:20.45826 UTC,2020-04-14,3,Post,C,3,-0.39351291635332564,D,2,-0.61082313641353392,C,3,-0.89882881567630646,B,4
