state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
SD,46,South Dakota,882235,2020-05-28 15:46:20.812598 UTC,2020-05-15,6,Post,D,2,-0.18521547676438402,F,1,-0.19566246817961003,F,1,-0.93190327505205417,B,4
SC,45,South Carolina,5084127,2020-05-28 15:46:20.812598 UTC,2020-05-10,1,Post,F,1,-0.14727654602028684,F,1,-0.21735166526225844,F,1,0.23415957626400852,F,1
SC,45,South Carolina,5084127,2020-05-28 15:46:20.812598 UTC,2020-04-28,3,Post,F,1,-0.20425240431604505,F,1,-0.37240930532074079,F,1,-0.21564100677509268,F,1
SC,45,South Carolina,5084127,2020-05-28 15:46:20.812598 UTC,2020-03-17,3,Post,F,1,-0.053712771885028071,F,1,-0.19146109613130069,F,1,0.02481707567626068,F,1
SC,45,South Carolina,5084127,2020-05-28 15:46:20.812598 UTC,2020-04-14,3,Post,D-,1.7,-0.25276337922390368,D,2,-0.48268864998924887,F,1,-0.48546924535405078,D,2
WI,55,Wisconsin,5813568,2020-05-28 15:46:20.812598 UTC,2020-05-17,1,Post,D-,1.7,-0.32260430735060325,D,2,-0.45070430137317569,F,1,-0.73404042860937591,D,2
LA,22,Louisiana,4659978,2020-05-28 15:46:20.812598 UTC,2020-05-26,3,Post,F,1,-0.12698961029327643,F,1,-0.17307901380365642,F,1,-0.11204937692302519,F,1
LA,22,Louisiana,4659978,2020-05-28 15:46:20.812598 UTC,2020-04-30,5,Post,D-,1.7,-0.29710369177909823,D,2,-0.46026783511464581,F,1,-0.70428273578388845,D,2
LA,22,Louisiana,4659978,2020-05-28 15:46:20.812598 UTC,2020-05-18,2,Post,F,1,-0.1645704784053765,F,1,-0.21826456101675965,F,1,-0.16307655891777029,F,1
LA,22,Louisiana,4659978,2020-05-28 15:46:20.812598 UTC,2020-04-10,6,Post,C-,2.7,-0.47788058660559446,C,3,-0.6456515769801553,C,3,-0.60698595268386391,D,2
LA,22,Louisiana,4659978,2020-05-28 15:46:20.812598 UTC,2020-04-04,7,Post,C,3,-0.49724546969974265,C,3,-0.662079520392369,B,4,-0.72439349143655152,D,2
NH,33,New Hampshire,1356458,2020-05-28 15:46:20.812598 UTC,2020-03-30,2,Post,C,3,-0.43663020593018376,C,3,-0.58296355838128777,D,2,-0.90427502293768625,B,4
NH,33,New Hampshire,1356458,2020-05-28 15:46:20.812598 UTC,2020-04-11,7,Post,C-,2.7,-0.48274601286470764,C,3,-0.57141591717230722,D,2,-0.78130624717490049,C,3
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-05-13,4,Post,D,2,-0.21761615012456659,F,1,-0.27176726998098438,F,1,-0.88644900163693352,B,4
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-03-22,1,Post,C-,2.7,-0.386244222015073,D,2,-0.5545334300785586,D,2,-0.93532954469331142,B,4
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-05-17,1,Post,D,2,-0.21819500595234306,F,1,-0.23050546907653777,F,1,-0.86550446698757932,B,4
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-05-03,1,Post,C-,2.7,-0.44276941308483042,C,3,-0.45807220645999175,F,1,-0.9060151688017859,B,4
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-04-12,1,Post,A-,4.7,-0.60734131339997965,B,4,-0.79707628426728083,A,5,-0.97815212586035527,A,5
NE,31,Nebraska,1929268,2020-05-28 15:46:20.812598 UTC,2020-04-06,2,Post,C-,2.7,-0.33049223091847668,D,2,-0.54325692345474208,F,1,-0.94574524684478867,A,5
KY,21,Kentucky,4468402,2020-05-28 15:46:20.812598 UTC,2020-04-02,5,Post,D,2,-0.29899380253710728,D,2,-0.52651613201383785,F,1,-0.7608211562020929,C,3
KY,21,Kentucky,4468402,2020-05-28 15:46:20.812598 UTC,2020-02-25,3,Pre,F,1,0.020257216646245895,F,1,-0.014472343943648972,F,1,0.308723642848566,F,1
VA,51,Virginia,8517685,2020-05-28 15:46:20.812598 UTC,2020-04-27,2,Post,D-,1.7,-0.36760608162510566,D,2,-0.48228216764184761,F,1,-0.53163813913912117,D,2
VA,51,Virginia,8517685,2020-05-28 15:46:20.812598 UTC,2020-04-12,1,Post,B,4,-0.543506075635047,C,3,-0.71123228132459737,A,5,-0.82144236873566334,B,4
VA,51,Virginia,8517685,2020-05-28 15:46:20.812598 UTC,2020-03-29,1,Post,D,2,-0.45398092814951085,C,3,-0.53895778582448917,F,1,-0.61337055229162463,D,2
OK,40,Oklahoma,3943079,2020-05-28 15:46:20.812598 UTC,2020-03-26,5,Post,D-,1.7,-0.23585448161796266,F,1,-0.50124738728913421,F,1,-0.752073258536228,C,3
OK,40,Oklahoma,3943079,2020-05-28 15:46:20.812598 UTC,2020-04-11,7,Post,C-,2.7,-0.4302604731138473,C,3,-0.5500422443517724,D,2,-0.74111602845837443,C,3
PA,42,Pennsylvania,12807060,2020-05-28 15:46:20.812598 UTC,2020-03-22,1,Post,C,3,-0.45361799106681272,C,3,-0.66610604131253259,B,4,-0.62342518593567287,D,2
RI,44,Rhode Island,1057315,2020-05-28 15:46:20.812598 UTC,2020-04-04,7,Post,C,3,-0.56054634969262473,B,4,-0.68095058846770329,B,4,-0.29369884889112019,F,1
ID,16,Idaho,1754208,2020-05-28 15:46:20.812598 UTC,2020-05-14,5,Post,D,2,-0.193054703589198,F,1,-0.21642657161359052,F,1,-0.91252375664273377,B,4
ID,16,Idaho,1754208,2020-05-28 15:46:20.812598 UTC,2020-04-15,4,Post,C-,2.7,-0.31574795833160568,D,2,-0.54963697289500579,F,1,-0.97298335675368131,A,5
ID,16,Idaho,1754208,2020-05-28 15:46:20.812598 UTC,2020-03-15,1,Post,D+,2.3,-0.21591944290569567,F,1,-0.15733002786983233,F,1,-0.95110754985457935,A,5
ME,23,Maine,1338404,2020-05-28 15:46:20.812598 UTC,2020-05-09,7,Post,C-,2.7,-0.41294136342404164,C,3,-0.42632884742615335,F,1,-0.93637665654311342,B,4
ME,23,Maine,1338404,2020-05-28 15:46:20.812598 UTC,2020-05-04,2,Post,C-,2.7,-0.382866358020659,D,2,-0.4264210148388819,F,1,-0.96024888279709264,A,5
ME,23,Maine,1338404,2020-05-28 15:46:20.812598 UTC,2020-04-22,4,Post,C+,3.3,-0.4017998161914223,C,3,-0.595164777562653,D,2,-0.96069567607892747,A,5
NC,37,North Carolina,10383620,2020-05-28 15:46:20.812598 UTC,2020-02-26,4,Pre,F,1,0.036477697215185664,F,1,0.0017270990180550153,F,1,1.3413482502269485,F,1
NC,37,North Carolina,10383620,2020-05-28 15:46:20.812598 UTC,2020-03-17,3,Post,F,1,-0.086807034025354071,F,1,-0.25165365806397311,F,1,0.023683121636320026,F,1
OH,39,Ohio,11689442,2020-05-28 15:46:20.812598 UTC,2020-03-05,5,Pre,F,1,0.019960297032274619,F,1,-0.059469663143357381,F,1,1.7201335652814818,F,1
OH,39,Ohio,11689442,2020-05-28 15:46:20.812598 UTC,2020-02-26,4,Pre,F,1,0.014149082920377332,F,1,-0.020173989334939597,F,1,1.7837511063341447,F,1
CO,08,Colorado,5695564,2020-05-28 15:46:20.812598 UTC,2020-05-18,2,Post,D-,1.7,-0.23250373870093774,F,1,-0.33894275249889433,F,1,-0.81801142516627723,C,3
CO,08,Colorado,5695564,2020-05-28 15:46:20.812598 UTC,2020-03-19,5,Post,C+,3.3,-0.44424836352943625,C,3,-0.64853687996438036,C,3,-0.90238012403580092,B,4
IN,18,Indiana,6691878,2020-05-28 15:46:20.812598 UTC,2020-05-08,6,Post,F,1.3,-0.26105635700552376,D,2,-0.39398470821244674,F,1,0.28051106303838114,F,1
IN,18,Indiana,6691878,2020-05-28 15:46:20.812598 UTC,2020-04-05,1,Post,C,3,-0.487532884066666,C,3,-0.65224129193848568,B,4,-0.72881514324541663,D,2
IN,18,Indiana,6691878,2020-05-28 15:46:20.812598 UTC,2020-04-01,4,Post,D-,1.7,-0.27761269775978309,D,2,-0.53478408140998224,F,1,-0.69442412886483529,D,2
IN,18,Indiana,6691878,2020-05-28 15:46:20.812598 UTC,2020-05-15,6,Post,F,1,-0.21505504247308971,F,1,-0.27070490715033824,F,1,0.38356890531619059,F,1
IN,18,Indiana,6691878,2020-05-28 15:46:20.812598 UTC,2020-03-23,2,Post,F,1.3,-0.20946767928664106,F,1,-0.4727701146357009,F,1,-0.416019915203225,D,2
KS,20,Kansas,2911505,2020-05-28 15:46:20.812598 UTC,2020-04-24,6,Post,C-,2.7,-0.45547901031206833,C,3,-0.54704792410899772,F,1,-0.85012879898854177,B,4
MN,27,Minnesota,5611179,2020-05-28 15:46:20.812598 UTC,2020-05-26,3,Post,D-,1.7,-0.21364529376247218,F,1,-0.29319609167129523,F,1,-0.74108244901626807,C,3
MN,27,Minnesota,5611179,2020-05-28 15:46:20.812598 UTC,2020-05-18,2,Post,D,2,-0.26631968960617652,D,2,-0.34873861423263952,F,1,-0.77675667148514815,C,3
MN,27,Minnesota,5611179,2020-05-28 15:46:20.812598 UTC,2020-04-13,2,Post,C,3,-0.42168426357390931,C,3,-0.5607537266752266,D,2,-0.93179945179013157,B,4
MN,27,Minnesota,5611179,2020-05-28 15:46:20.812598 UTC,2020-03-16,2,Post,F,1.3,-0.19192056222595463,F,1,-0.20053774352699957,F,1,-0.71401569390351016,D,2
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-05-19,3,Post,F,1.3,-0.36256927211370921,D,2,-0.50026107023311384,F,1,2.2744786613296681,F,1
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-05-18,2,Post,D,2,-0.40676856447436738,C,3,-0.5538365897394405,D,2,2.0145232568553513,F,1
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-05-02,7,Post,D+,2.3,-0.48514518994288686,C,3,-0.64137822515957044,C,3,0.70845366746220728,F,1
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-04-13,2,Post,C+,3.3,-0.57241559261269259,B,4,-0.76552837085927,A,5,-0.26246736856835029,F,1
NJ,34,New Jersey,8908520,2020-05-28 15:46:20.812598 UTC,2020-03-14,7,Post,F,1,-0.24849239176835422,F,1,-0.31502055450538885,F,1,4.40811744209513,F,1
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-05-17,1,Post,D,2,-0.24170945816634848,F,1,-0.34157309064266789,F,1,-0.89214621911050285,B,4
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-03-06,6,Pre,D-,1.7,-0.033632147666516482,F,1,-0.037616713542618,F,1,-0.76655945339075848,C,3
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-04-01,4,Post,C-,2.7,-0.30906837012554933,D,2,-0.54873272544229645,F,1,-0.96332327765236891,A,5
OR,41,Oregon,4190713,2020-05-28 15:46:20.812598 UTC,2020-03-27,6,Post,C,3,-0.35336664455183153,D,2,-0.61902231855505485,C,3,-0.9346416560485663,B,4
FL,12,Florida,21299325,2020-05-28 15:46:20.812598 UTC,2020-05-26,3,Post,F,1,-0.20953236618403992,F,1,-0.34701810990381804,F,1,1.9520168308248236,F,1
FL,12,Florida,21299325,2020-05-28 15:46:20.812598 UTC,2020-03-29,1,Post,C-,2.7,-0.54078146264431337,C,3,-0.65782925392177949,B,4,0.019286324762145757,F,1
FL,12,Florida,21299325,2020-05-28 15:46:20.812598 UTC,2020-04-20,2,Post,C-,2.7,-0.47519474169091475,C,3,-0.68617669613730681,B,4,0.014960600268003388,F,1
IA,19,Iowa,3156145,2020-05-28 15:46:20.812598 UTC,2020-03-06,6,Pre,F,1,-0.023374402785105698,F,1,-0.030793726971975913,F,1,-0.30196707515160248,F,1
CA,06,California,39557045,2020-05-28 15:46:20.812598 UTC,2020-03-09,2,Post,F,1,-0.077568331141717725,F,1,-0.12959168507050389,F,1,0.39284115296695332,F,1
CA,06,California,39557045,2020-05-28 15:46:20.812598 UTC,2020-03-11,4,Post,F,1,-0.012722834362508156,F,1,-0.12815615495047639,F,1,0.55384369373924369,F,1
ND,38,North Dakota,760077,2020-05-28 15:46:20.812598 UTC,2020-05-09,7,Post,D+,2.3,-0.37750042997031363,D,2,-0.31882003224504363,F,1,-0.93194773723887925,B,4
ND,38,North Dakota,760077,2020-05-28 15:46:20.812598 UTC,2020-04-27,2,Post,C-,2.7,-0.33462449054731924,D,2,-0.44195158223704023,F,1,-0.97614666475326961,A,5
ND,38,North Dakota,760077,2020-05-28 15:46:20.812598 UTC,2020-02-25,3,Pre,D,2,0.084746138007955038,F,1,-0.012759862923755316,F,1,-0.922472322962677,B,4
ND,38,North Dakota,760077,2020-05-28 15:46:20.812598 UTC,2020-03-15,1,Post,C-,2.7,-0.25015311224378028,D,2,-0.20565430467013368,F,1,-0.964988389350189,A,5
VT,50,Vermont,626299,2020-05-28 15:46:20.812598 UTC,2020-03-09,2,Post,D,2,-0.1382123033121547,F,1,-0.17028099874048849,F,1,-0.86227668905387145,B,4
VT,50,Vermont,626299,2020-05-28 15:46:20.812598 UTC,2020-03-10,3,Post,D,2,-0.15020680123777708,F,1,-0.10113092185751819,F,1,-0.8671975510392036,B,4
TX,48,Texas,28701845,2020-05-28 15:46:20.812598 UTC,2020-03-29,1,Post,C-,2.7,-0.47379439582347233,C,3,-0.61398744721798337,C,3,-0.68476295925209141,D,2
TX,48,Texas,28701845,2020-05-28 15:46:20.812598 UTC,2020-04-30,5,Post,D-,1.7,-0.31387721071818303,D,2,-0.44684039287750077,F,1,-0.70126545866227352,D,2
TX,48,Texas,28701845,2020-05-28 15:46:20.812598 UTC,2020-04-26,1,Post,D,2,-0.42150062991290971,C,3,-0.52286854276828976,F,1,-0.50642014587617146,D,2
MT,30,Montana,1062305,2020-05-28 15:46:20.812598 UTC,2020-05-13,4,Post,D+,2.3,-0.173511245112978,F,1,-0.13748337905409164,F,1,-0.9851919385327198,A,5
MT,30,Montana,1062305,2020-05-28 15:46:20.812598 UTC,2020-03-20,6,Post,C,3,-0.22731954816756997,F,1,-0.61888461480230572,C,3,-0.99164550412276609,A,5
AZ,04,Arizona,7171646,2020-05-28 15:46:20.812598 UTC,2020-03-10,3,Post,F,1.3,0.029601979489658176,F,1,-0.069949090541369219,F,1,-0.57565059467806634,D,2
MD,24,Maryland,6042718,2020-05-28 15:46:20.812598 UTC,2020-05-01,6,Post,D-,1.7,-0.46696989026609115,C,3,-0.5465667693146492,F,1,-0.20853457140657883,F,1
MD,24,Maryland,6042718,2020-05-28 15:46:20.812598 UTC,2020-04-06,2,Post,D+,2.3,-0.44659686419341321,C,3,-0.64578967613372784,C,3,-0.39972119681565432,F,1
NV,32,Nevada,3034392,2020-05-28 15:46:20.812598 UTC,2020-05-21,5,Post,D+,2.3,-0.32479697823623382,D,2,-0.53264228422218285,F,1,-0.88554938086043711,B,4
NV,32,Nevada,3034392,2020-05-28 15:46:20.812598 UTC,2020-04-03,6,Post,B+,4.3,-0.53726829662582065,C,3,-0.711523169262201,A,5,-0.95297737193125454,A,5
GA,13,Georgia,10519475,2020-05-28 15:46:20.812598 UTC,2020-02-26,4,Pre,F,1,0.043875112670847052,F,1,0.011269081299404338,F,1,2.14290568999986,F,1
DC,11,District of Columbia,702455,2020-05-28 15:46:20.812598 UTC,2020-03-22,1,Post,C+,3.3,-0.63399287778685831,B,4,-0.75097910282337277,A,5,13.217943259413662,F,1
DC,11,District of Columbia,702455,2020-05-28 15:46:20.812598 UTC,2020-05-18,2,Post,C,3,-0.48599226512025728,C,3,-0.73817102612600149,A,5,18.214954498550458,F,1
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-04-09,5,Post,C-,2.7,-0.31125097715984235,D,2,-0.579005989461584,D,2,-0.89762487113647937,B,4
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-04-13,2,Post,D+,2.3,-0.35825889768016844,D,2,-0.49366936032067887,F,1,-0.91843848352954793,B,4
WV,54,West Virginia,1805832,2020-05-28 15:46:20.812598 UTC,2020-03-08,1,Pre,F,1.3,-0.0082185220967723217,F,1,-0.0077236286478736078,F,1,-0.68064881213603123,D,2
MS,28,Mississippi,2986530,2020-05-28 15:46:20.812598 UTC,2020-03-06,6,Pre,F,1,0.044130154287857777,F,1,-0.083052693181066534,F,1,0.26529689206046192,F,1
MS,28,Mississippi,2986530,2020-05-28 15:46:20.812598 UTC,2020-03-03,3,Pre,F,1,0.00030523758505760277,F,1,0.0058753875918390762,F,1,-0.077798435424354273,F,1
MI,26,Michigan,9995915,2020-05-28 15:46:20.812598 UTC,2020-04-06,2,Post,B-,3.7,-0.4890022584375226,C,3,-0.676606684112757,B,4,-0.84572589135617,B,4
MI,26,Michigan,9995915,2020-05-28 15:46:20.812598 UTC,2020-03-26,5,Post,C+,3.3,-0.46514660291214444,C,3,-0.68891162655497973,B,4,-0.75757909800318024,C,3
MI,26,Michigan,9995915,2020-05-28 15:46:20.812598 UTC,2020-05-23,7,Post,F,1,-0.18090862411763511,F,1,-0.45833330049215759,F,1,-0.31946086127763162,F,1
MI,26,Michigan,9995915,2020-05-28 15:46:20.812598 UTC,2020-03-17,3,Post,F,1.3,-0.18058074079965472,F,1,-0.406433372372186,F,1,-0.51154708079822564,D,2
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-04-08,4,Post,C,3,-0.42671901607687213,C,3,-0.57761030354109633,D,2,-0.8908310815528746,B,4
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-03-20,6,Post,C-,2.7,-0.309443499480311,D,2,-0.60650321227117832,C,3,-0.81237917239629465,C,3
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-03-13,6,Post,F,1.3,-0.23164174253078898,F,1,-0.21334416361750916,F,1,-0.60776717684220138,D,2
WA,53,Washington,7535591,2020-05-28 15:46:20.812598 UTC,2020-03-28,7,Post,B-,3.7,-0.50443094620884743,C,3,-0.667899580803221,B,4,-0.85244509876937569,B,4
