model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.922,0.971,19.059,10.881
mobility,2,0.94,0.972,19.893,11.273
mobility,3,0.904,0.973,20.212,11.562
mobility,4,0.912,0.971,21.644,11.939
no mobility,1,0.909,0.965,23.846,13.687
no mobility,2,0.901,0.961,24.423,14.11
no mobility,3,0.919,0.965,24.903,14.523
no mobility,4,0.913,0.97,25.255,14.843
