model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.913,0.966,16.585,9.541
mobility,2,0.912,0.968,16.757,9.664
mobility,3,0.874,0.963,17.283,9.847
mobility,4,0.915,0.962,17.932,10.211
no mobility,1,0.909,0.96,20.387,11.887
no mobility,2,0.867,0.957,20.658,12.117
no mobility,3,0.856,0.964,20.947,12.264
no mobility,4,0.911,0.964,21.488,12.657
