model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.938,0.976,25.675,14.567
mobility,2,0.94,0.977,26.529,15.121
mobility,3,0.935,0.977,27.72,15.748
mobility,4,0.932,0.974,28.831,16.544
no mobility,1,0.925,0.967,31.713,18.651
no mobility,2,0.916,0.966,32.823,19.165
no mobility,3,0.923,0.97,33.838,19.704
no mobility,4,0.927,0.968,35.443,20.558
