model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.921,0.976,24.654,14.112
mobility,2,0.932,0.975,25.682,14.576
mobility,3,0.94,0.978,26.213,15.069
mobility,4,0.924,0.971,27.981,15.868
no mobility,1,0.916,0.969,31.621,18.087
no mobility,2,0.934,0.969,31.385,18.526
no mobility,3,0.92,0.971,32.739,19.133
no mobility,4,0.929,0.97,34.219,19.88
