model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.922,0.967,15.095,8.822
mobility,2,0.907,0.97,15.587,8.827
mobility,3,0.922,0.97,15.469,8.919
mobility,4,0.886,0.971,16.176,9.258
no mobility,1,0.9,0.963,18.89,10.862
no mobility,2,0.898,0.962,18.89,10.983
no mobility,3,0.918,0.965,18.941,11.031
no mobility,4,0.897,0.949,19.816,11.485
