model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.909,0.97,25.445,14.695
mobility,2,0.907,0.964,26.67,15.334
mobility,3,0.91,0.969,26.919,15.532
mobility,4,0.897,0.963,28.633,16.416
no mobility,1,0.901,0.963,30.824,18.054
no mobility,2,0.896,0.962,31.545,18.51
no mobility,3,0.907,0.963,31.68,18.814
no mobility,4,0.9,0.96,33.193,19.634
