model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.871,0.962,18.272,10.496
mobility,2,0.866,0.956,17.65,10.107
mobility,3,0.821,0.955,17.217,9.844
mobility,4,0.832,0.941,16.233,9.374
no mobility,1,0.897,0.965,30.317,17.572
no mobility,2,0.9,0.961,30.475,18.205
no mobility,3,0.887,0.962,31.775,18.744
no mobility,4,0.907,0.96,32.258,19.355
