model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.92,0.968,26.826,15.555
mobility,2,0.894,0.964,27.979,16.075
mobility,3,0.897,0.966,29.37,16.487
mobility,4,0.871,0.965,30.804,17.101
no mobility,1,0.907,0.964,32.62,18.735
no mobility,2,0.882,0.961,34.565,19.508
no mobility,3,0.895,0.962,35.04,20.026
no mobility,4,0.885,0.959,36.229,20.733
