model_type,week,R2_testing,R2_training,MAE_testing,MAE_training
mobility,1,0.906,0.969,27.648,15.746
mobility,2,0.902,0.965,29.217,16.291
mobility,3,0.899,0.964,29.886,16.857
mobility,4,0.89,0.962,31.241,17.547
no mobility,1,0.894,0.963,33.819,19.507
no mobility,2,0.894,0.959,34.948,20.13
no mobility,3,0.892,0.961,35.708,20.613
no mobility,4,0.878,0.958,37.156,21.494
