FIPS,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Epidemiological Factors
01001,0.35657433899999996,0.566380134,0.591531359,0.314231137,0.832537408
01003,0.24036930899999998,0.244189748,0.43202801700000004,0.335243553,0.380452085
01005,0.972938555,0.838586437,0.897166507,0.640241961,0.7777777779999999
01007,0.746259153,0.24864692800000002,0.443489335,0.7433938240000001,0.725883477
01009,0.6351480420000001,0.43234638700000005,0.583253741,0.322190385,0.630054123
01011,0.947150589,0.36739891799999996,0.813753582,0.45399554299999995,0.951607768
01013,0.8115249920000001,0.7284304359999999,0.566698504,0.581661891,0.82298631
01015,0.726838586,0.754218402,0.555873926,0.19770773600000002,0.7472142629999999
01017,0.6965934420000001,0.6972301809999999,0.58548233,0.679083095,0.984718243
01019,0.70741802,0.434893346,0.297357529,0.075453677,0.406240051
01021,0.809933142,0.7873288759999999,0.64979306,0.34352117200000004,0.613180516
01023,0.88379497,0.946513849,0.577523082,0.853231455,0.7000955109999999
01025,0.944285259,0.657752308,0.607449857,0.7561286209999999,0.087870105
01027,0.788920726,0.7191977079999999,0.388411334,0.262018465,0.8834766
01029,0.842088507,0.8022922640000001,0.264883795,0.12257242900000001,0.736071315
01031,0.5390003179999999,0.70423432,0.6813116840000001,0.074816937,0.6294173829999999
01033,0.64597262,0.6835402740000001,0.43680356600000003,0.051575931,0.688952563
01035,0.952562878,0.8608723340000001,0.535498249,0.071314868,0.970391595
01037,0.7144221590000001,0.37663164600000004,0.5138490929999999,0.36453358799999996,0.744985673
01039,0.798471824,0.848774276,0.36453358799999996,0.308500478,0.8191658709999999
01041,0.702324101,0.863100923,0.6115886660000001,0.357211079,0.829353709
01043,0.714103789,0.558739255,0.321553645,0.18306271899999998,0.47214263
01045,0.754855142,0.596943649,0.577841452,0.186883158,0.7669531999999999
01047,0.93823623,0.836357848,0.714103789,0.6294173829999999,0.39063992399999997
01049,0.800700414,0.64820121,0.6911811520000001,0.58771092,0.29067176100000003
01051,0.475644699,0.439032155,0.579433301,0.267430755,0.785737026
01053,0.949379179,0.6978669209999999,0.610633556,0.38904807399999997,0.17574021
01055,0.626870423,0.6064947470000001,0.497293855,0.103151862,0.777141038
01057,0.834765998,0.900668577,0.167780961,0.7290671759999999,0.286214581
01059,0.866921363,0.615727475,0.70805476,0.523400191,0.798153454
01061,0.930913722,0.8987583570000001,0.46800382,0.299586119,0.70678128
01063,0.996497931,0.949379179,0.7007322509999999,0.93823623,0.026424706000000003
01065,0.927411652,0.9621139759999999,0.632919452,0.853549825,0.9083094559999999
01067,0.7472142629999999,0.746577523,0.48105698799999996,0.153772684,0.251512257
01069,0.641515441,0.7596306909999999,0.640241961,0.29544731,0.904807386
01071,0.804520853,0.6879974529999999,0.28780643100000003,0.448583254,0.630372493
01073,0.44667303399999997,0.336835403,0.754536772,0.162687042,0.8182107609999999
01075,0.8783826809999999,0.810569882,0.22476918199999998,0.506844954,0.41324419
01077,0.480101878,0.321235275,0.39859917200000006,0.283667622,0.9646609359999999
