FIPS,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality
12079,0.46,4.92,2.33,28.24,0.54,0.28
12081,0.16,3.27,1.71,12.06,0.34,0.26
12083,0.21,3.46,2.21,13.92,0.38,0.37
12085,0.12,2.27,1.37,9.56,0.27,0.23
12086,0.25,8.37,1.59,14.36,0.39,0.31
12087,0.22,6.41,1.23,14.6,0.33,0.54
12089,0.2,1.91,1.97,26.62,0.35,0.33
12091,0.24,1.23,2.19,23.8,0.42,0.27
12093,0.26,2.93,2.0,29.46,0.36,0.25
12095,0.33,4.88,3.33,21.55,0.4,0.29
12097,0.29,3.07,2.45,25.08,0.35,0.24
12099,0.17,6.26,1.28,12.78,0.36,0.26
12101,0.14,2.22,2.97,15.84,0.31,0.33
12103,0.2,4.42,3.33,20.02,0.32,0.35
12105,0.25,4.66,2.92,27.87,0.39,0.32
12107,0.41,3.96,2.84,25.68,0.47,0.48
12109,0.22,2.34,2.24,21.51,0.29,0.26
12111,0.26,7.57,1.77,12.1,0.38,0.28
12113,0.24,1.57,2.06,22.76,0.38,0.32
12115,0.11,2.08,1.62,14.72,0.33,0.3
12117,0.23,2.18,2.35,20.49,0.3,0.25
12119,0.13,1.96,2.32,11.33,0.31,0.27
12121,0.57,4.6,2.33,26.24,0.4,0.36
12123,0.39,3.24,2.23,26.21,0.42,0.31
12125,0.8,64.87,5.39,55.59,0.75,5.24
12127,0.2,4.14,2.71,22.85,0.38,0.37
12129,0.34,2.54,2.11,21.03,0.4,0.38
12131,0.2,1.57,1.52,20.66,0.42,0.25
12133,0.28,2.9,1.5,26.98,0.52,0.26
13001,0.45,3.13,1.59,46.87,0.52,0.23
13003,0.7,4.03,2.04,49.24,0.54,0.27
13005,0.44,4.29,1.63,67.02,0.5,0.26
13007,0.39,3.91,1.58,32.08,0.55,0.19
13009,0.36,2.98,1.69,37.04,0.6,0.31
13011,0.17,0.98,1.8,28.58,0.38,0.24
13013,0.16,1.12,1.85,28.2,0.39,0.21
13015,0.28,1.56,3.02,40.88,0.46,0.21
13017,0.6,6.29,2.11,58.04,0.64,0.29
13019,0.3,2.66,1.48,38.64,0.45,0.26
13021,0.55,7.36,2.76,46.25,0.76,0.23
13023,0.33,4.18,2.02,44.79,0.55,0.2
13025,0.19,1.41,1.22,39.81,0.39,0.26
13027,0.45,4.02,1.91,45.21,0.57,0.3
13029,0.32,2.22,1.55,33.94,0.43,0.16
13031,0.43,3.91,1.77,35.07,0.53,0.21
13033,0.51,5.38,2.33,57.4,0.69,0.26
13035,0.29,3.29,2.11,49.34,0.56,0.21
13037,0.75,6.81,2.51,41.05,0.83,0.25
13039,0.22,1.62,1.23,35.33,0.4,0.26
13043,0.39,4.12,1.6,52.76,0.55,0.33
13045,0.26,1.76,1.98,37.88,0.51,0.27
13047,0.23,0.86,1.91,23.34,0.37,0.26
13049,0.34,2.93,2.13,36.27,0.56,0.37
13051,0.5,7.05,1.71,35.79,0.59,0.23
13053,0.28,1.9,1.31,38.74,0.46,0.16
13055,0.36,1.39,2.85,46.65,0.53,0.24
13057,0.15,0.96,2.66,32.79,0.37,0.16
13059,0.42,3.38,2.25,24.67,0.49,0.31
13061,0.59,6.57,2.12,32.73,0.75,0.19
13063,0.67,4.88,2.1,38.15,0.77,0.24
13065,0.42,4.23,2.41,68.27,0.56,0.29
13067,0.28,2.05,2.91,28.98,0.43,0.16
13069,0.44,3.03,2.11,42.12,0.53,0.29
13071,0.66,7.49,2.1,45.84,0.6,0.26
13073,0.24,1.35,1.98,37.62,0.43,0.17
13075,0.39,3.76,1.66,45.35,0.57,0.28
13077,0.23,2.1,1.52,32.86,0.43,0.18
13079,0.23,1.89,1.66,33.33,0.46,0.15
13081,0.81,12.35,1.96,60.61,0.71,0.26
13083,0.33,1.11,2.07,31.12,0.4,0.23
13085,0.12,0.67,2.09,32.13,0.37,0.18
13089,0.44,7.29,1.81,28.02,0.68,0.25
13087,0.51,7.67,1.81,35.98,0.62,0.25
13091,0.37,3.55,1.88,44.56,0.55,0.24
13093,0.58,5.82,1.79,49.18,0.64,0.22
13095,0.82,11.81,2.2,40.15,0.8,0.27
13097,0.33,2.53,3.29,38.77,0.57,0.22
13099,0.43,4.73,1.85,29.23,0.69,0.2
13101,0.33,2.31,1.64,30.57,0.4,0.25
13103,0.31,2.28,1.68,37.05,0.41,0.18
13105,0.26,2.52,2.04,37.92,0.56,0.22
13107,0.41,3.97,1.96,45.3,0.61,0.23
13109,0.47,4.48,1.91,40.23,0.61,0.28
13111,0.15,0.88,1.74,38.23,0.42,0.31
13113,0.23,1.07,1.33,29.04,0.37,0.11
13115,0.39,2.07,2.16,41.75,0.52,0.23
13117,0.12,0.54,1.73,25.29,0.31,0.15
13119,0.22,1.35,1.92,32.0,0.48,0.23
13121,0.46,11.29,2.15,29.86,0.72,0.26
13123,0.16,0.94,1.89,38.51,0.41,0.24
13125,0.15,1.34,1.51,70.71,0.49,0.16
13127,0.34,4.33,1.25,34.69,0.53,0.24
13129,0.28,1.19,2.74,51.17,0.45,0.28
13131,0.52,5.24,1.88,32.38,0.54,0.24
13133,0.27,2.22,2.13,25.36,0.54,0.2
13135,0.32,1.61,2.04,24.09,0.41,0.2
13137,0.22,1.11,2.25,33.02,0.42,0.31
13139,0.2,1.29,2.37,31.71,0.44,0.27
13141,0.51,4.5,2.41,46.11,0.82,0.22
13143,0.17,1.46,1.84,51.48,0.48,0.2
13145,0.22,1.73,1.61,31.83,0.45,0.13
13147,0.19,1.53,1.57,32.84,0.47,0.22
13149,0.22,1.63,1.73,41.35,0.53,0.25
13151,0.31,2.59,1.83,36.48,0.5,0.21
13153,0.32,2.44,1.75,36.97,0.48,0.17
13155,0.39,4.66,1.63,39.22,0.53,0.23
13157,0.18,1.26,1.61,26.66,0.38,0.2
13159,0.22,1.79,2.0,38.25,0.49,0.2
13161,0.37,3.0,1.65,41.19,0.49,0.26
13163,0.51,6.25,2.43,61.2,0.82,0.26
13165,0.65,6.41,2.13,45.09,0.66,0.27
13167,0.3,3.51,1.87,44.51,0.61,0.21
13169,0.25,1.99,2.04,29.61,0.44,0.14
13171,0.31,3.38,1.74,53.35,0.57,0.16
13173,0.46,4.0,1.81,44.45,0.5,0.26
13175,0.41,4.8,2.04,40.52,0.57,0.24
13177,0.26,2.0,1.5,32.84,0.44,0.15
13179,0.42,2.56,1.63,39.09,0.59,0.21
13181,0.25,2.73,1.9,38.75,0.55,0.2
13183,0.45,3.45,1.45,43.92,0.49,0.21
13185,0.62,6.34,1.72,39.37,0.61,0.28
13187,0.12,0.82,1.76,35.18,0.37,0.19
13193,0.68,7.04,2.1,51.56,0.77,0.26
13195,0.21,1.49,1.73,26.82,0.41,0.21
13197,0.52,3.57,1.71,42.28,0.59,0.19
13189,0.37,3.74,2.15,63.24,0.65,0.21
13191,0.41,3.54,1.58,26.6,0.54,0.21
13199,0.4,4.86,1.78,34.48,0.63,0.21
13201,0.31,4.11,1.56,50.69,0.57,0.22
13205,0.56,6.94,2.12,44.9,0.66,0.26
13207,0.28,2.28,1.95,41.25,0.46,0.14
13209,0.35,3.1,1.95,40.9,0.51,0.24
13211,0.2,1.88,1.96,24.19,0.43,0.18
13213,0.2,0.76,2.14,38.6,0.41,0.26
13215,0.67,6.32,2.06,36.54,0.69,0.31
13217,0.35,3.53,2.72,42.18,0.55,0.23
13219,0.16,0.92,1.59,18.06,0.3,0.14
13221,0.2,1.32,1.71,20.9,0.39,0.16
13223,0.23,1.18,3.28,37.02,0.41,0.17
13225,0.6,7.89,2.01,43.32,0.65,0.22
13227,0.15,0.9,2.56,36.13,0.43,0.2
13229,0.31,2.7,1.45,37.79,0.43,0.26
13231,0.24,2.04,1.39,42.95,0.44,0.16
13233,0.42,2.13,2.39,41.12,0.52,0.2
13235,0.41,4.48,1.72,42.54,0.52,0.21
13237,0.28,2.21,2.14,40.8,0.52,0.18
13239,0.59,6.52,2.02,41.63,0.72,0.2
13241,0.21,1.33,1.73,37.29,0.41,0.26
13243,0.67,6.63,2.17,47.25,0.79,0.21
13245,0.62,8.9,3.06,52.1,0.86,0.5
