FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
48059,0.9,4.7,1.4,0.25,0.02,0.16,0.04,0.47,66.98,74.44
48061,0.51,5.48,0.7,0.12,0.02,0.1,0.04,0.28,24.24,31.22
48063,1.15,5.8,1.55,0.27,0.03,0.25,0.03,0.58,69.83,78.91
48065,0.82,4.52,0.97,0.25,0.05,0.3,0.02,0.62,77.65,84.57
48067,0.83,4.35,1.29,0.26,0.02,0.22,0.03,0.53,53.97,60.98
48069,0.81,4.42,0.98,0.18,0.02,0.09,0.02,0.32,56.44,62.96
48071,0.69,4.1,0.94,0.24,0.02,0.89,0.08,1.24,64.6,71.56
48073,0.86,5.56,1.27,0.27,0.01,0.77,0.11,1.17,55.76,64.62
48075,0.84,4.23,1.34,0.25,0.01,0.17,0.02,0.45,79.55,86.41
48077,0.77,4.14,1.04,0.27,0.02,0.14,0.03,0.46,55.92,62.33
48079,0.97,4.45,1.37,0.21,0.03,0.08,0.03,0.36,70.84,77.98
48081,0.82,4.9,1.41,0.21,0.02,0.14,0.04,0.41,73.53,81.07
48083,0.98,4.72,1.55,0.23,0.02,0.2,0.12,0.57,63.83,71.65
48085,0.53,4.99,0.73,0.2,0.02,0.14,0.01,0.37,34.27,40.89
48087,0.9,3.93,1.26,0.24,0.01,0.14,0.02,0.41,71.61,78.11
48089,0.84,4.83,1.57,0.23,0.01,0.23,0.05,0.52,38.79,46.55
48091,0.68,5.03,0.95,0.18,0.01,0.26,0.03,0.49,39.73,46.88
48093,0.87,5.16,1.06,0.24,0.02,0.18,0.05,0.49,52.77,60.35
48095,0.83,4.92,1.28,0.24,0.02,0.12,0.09,0.46,53.37,60.86
48097,0.71,4.77,1.03,0.25,0.01,0.13,0.03,0.42,45.58,52.5
48099,0.81,5.63,1.41,0.21,0.01,0.21,0.04,0.46,65.59,73.91
48101,0.88,4.1,1.22,0.31,0.02,0.12,0.03,0.47,52.79,59.45
48103,0.74,4.61,1.57,0.23,0.02,0.08,0.06,0.39,82.33,89.65
48105,0.74,4.46,1.31,0.21,0.01,0.09,0.04,0.36,57.81,64.68
48107,0.9,5.26,1.14,0.27,0.02,0.08,0.03,0.39,59.34,67.03
48109,0.8,4.79,1.22,0.22,0.1,0.14,0.38,0.84,45.64,53.28
48111,1.02,5.49,1.27,0.32,0.05,0.13,0.04,0.54,88.97,97.29
48113,0.84,5.79,1.27,0.19,0.01,0.1,0.01,0.31,39.69,47.9
48115,0.9,5.5,1.59,0.22,0.01,0.07,0.03,0.33,53.32,61.64
48123,0.91,5.3,1.23,0.24,0.01,0.19,0.03,0.47,34.3,42.22
48117,0.87,4.81,1.09,0.2,0.02,0.08,0.02,0.32,57.08,64.18
48119,0.92,4.04,1.33,0.27,0.03,0.18,0.02,0.5,59.54,66.32
48121,0.6,4.38,0.8,0.2,0.01,0.2,0.02,0.43,55.4,61.6
48125,0.97,4.85,1.2,0.21,0.02,0.12,0.03,0.38,65.54,72.94
48127,0.76,5.8,0.68,0.2,0.01,0.08,0.02,0.3,27.29,34.83
48129,0.97,4.4,1.3,0.3,0.03,0.17,0.02,0.52,84.02,91.21
48131,0.81,5.99,0.93,0.23,0.01,0.1,0.02,0.36,33.55,41.64
48133,0.91,4.5,1.37,0.24,0.03,0.23,0.05,0.54,82.74,90.07
48135,0.8,6.12,1.92,0.19,0.02,0.14,0.12,0.47,96.52,105.83
48137,0.76,4.67,0.89,0.2,0.01,0.13,0.04,0.38,34.8,41.51
48141,0.62,5.48,0.93,0.13,0.01,0.11,0.02,0.27,33.06,40.36
48139,0.72,6.24,1.35,0.21,0.01,0.12,0.02,0.35,53.33,62.0
48143,0.76,4.8,1.17,0.22,0.01,0.15,0.04,0.43,55.06,62.21
48145,0.96,5.56,1.58,0.25,0.01,0.22,0.07,0.55,46.09,54.74
48147,0.95,4.16,1.18,0.26,0.02,0.14,0.02,0.44,69.43,76.17
48149,0.76,3.98,1.04,0.24,0.01,0.2,0.03,0.48,31.66,37.92
48151,0.81,5.14,1.29,0.26,0.01,0.12,0.03,0.43,54.01,61.67
48153,0.9,6.0,1.21,0.24,0.02,0.1,0.02,0.38,59.52,68.01
48155,0.81,3.71,1.15,0.29,0.02,0.12,0.03,0.45,49.48,55.6
48157,0.61,4.1,0.92,0.19,0.01,0.11,0.03,0.33,26.03,31.98
48159,0.84,4.15,1.18,0.25,0.02,0.19,0.02,0.48,50.47,57.11
48161,0.92,5.61,1.49,0.3,0.02,0.75,0.12,1.18,63.73,72.94
48163,0.81,5.45,0.87,0.19,0.01,0.08,0.02,0.29,30.79,38.21
48165,0.84,4.28,1.26,0.25,0.04,0.08,0.04,0.4,52.98,59.76
48167,0.76,6.09,1.26,0.21,0.04,0.68,0.04,0.98,45.44,54.54
48169,0.92,5.33,1.3,0.25,0.01,0.08,0.03,0.38,77.67,85.6
48171,0.7,5.15,0.81,0.19,0.01,0.1,0.04,0.34,31.3,38.31
48173,0.6,3.41,0.78,0.14,0.01,0.08,0.04,0.28,46.41,51.47
48175,0.76,4.75,0.91,0.2,0.01,0.19,0.02,0.42,34.55,41.39
48177,0.93,5.26,1.39,0.23,0.03,0.22,0.06,0.53,43.26,51.37
48179,1.02,4.39,1.45,0.24,0.02,0.24,0.02,0.53,101.96,109.36
48181,0.86,4.67,1.08,0.24,0.02,0.12,0.01,0.39,73.71,80.72
48183,0.8,5.6,1.56,0.25,0.03,0.48,0.08,0.85,66.97,75.78
48185,0.86,4.42,1.29,0.27,0.02,0.23,0.05,0.56,54.77,61.9
48187,0.71,5.02,0.92,0.17,0.01,0.15,0.04,0.37,36.35,43.37
48189,0.96,5.78,1.16,0.21,0.04,0.14,0.03,0.42,62.71,71.03
48191,1.01,4.66,1.29,0.26,0.02,0.14,0.03,0.45,79.58,86.98
48193,0.82,4.39,0.97,0.26,0.01,0.17,0.05,0.49,59.64,66.31
48195,0.89,4.74,1.18,0.27,0.02,0.13,0.02,0.44,71.44,78.69
48197,0.83,3.77,1.2,0.27,0.01,0.13,0.02,0.44,56.85,63.09
48199,0.74,5.41,1.04,0.27,0.02,0.96,0.06,1.31,85.11,93.62
48201,0.65,4.41,0.93,0.2,0.01,0.2,0.03,0.44,33.46,39.89
48203,0.8,4.64,1.53,0.25,0.03,0.34,0.07,0.69,66.68,74.35
48205,0.78,4.39,0.93,0.23,0.04,0.12,0.03,0.42,54.78,61.3
48207,0.87,4.07,1.38,0.27,0.02,0.13,0.03,0.46,52.5,59.28
48209,0.75,6.75,0.84,0.18,0.01,0.26,0.03,0.48,34.96,43.77
48211,0.82,3.97,1.03,0.24,0.01,0.15,0.02,0.42,72.53,78.77
48213,0.9,5.57,1.16,0.24,0.01,0.35,0.04,0.64,68.31,76.58
48215,0.56,5.04,0.59,0.12,0.01,0.1,0.01,0.24,22.88,29.31
48217,0.85,5.96,1.22,0.23,0.01,0.34,0.04,0.62,64.17,72.82
48219,0.87,5.11,1.13,0.22,0.03,0.09,0.02,0.36,66.3,73.77
48221,0.73,5.42,1.33,0.21,0.01,0.29,0.04,0.55,62.96,70.98
48223,0.93,4.4,1.38,0.28,0.03,0.27,0.03,0.6,57.21,64.52
48225,1.03,5.19,1.59,0.28,0.02,0.58,0.08,0.95,58.63,67.39
48227,0.88,5.01,1.55,0.2,0.01,0.1,0.03,0.34,96.42,104.2
48229,0.7,3.94,0.96,0.21,0.04,0.07,0.1,0.42,26.99,33.01
48231,0.88,4.36,1.2,0.26,0.05,0.23,0.03,0.56,61.14,68.15
48233,0.94,5.59,1.27,0.24,0.03,0.43,0.03,0.73,99.89,108.43
48235,0.69,4.43,1.18,0.21,0.02,0.11,0.04,0.38,52.96,59.64
48237,0.82,4.49,1.33,0.28,0.02,0.2,0.04,0.54,65.51,72.69
48239,0.84,5.32,1.17,0.22,0.01,0.2,0.03,0.46,43.77,51.55
48241,0.85,4.82,1.26,0.28,0.03,1.75,0.08,2.14,73.86,82.94
48243,0.6,4.16,1.01,0.24,0.04,0.1,0.06,0.43,31.37,37.57
48245,0.86,4.91,1.58,0.25,0.01,1.67,0.1,2.03,58.05,67.43
48247,0.69,6.79,0.8,0.18,0.01,0.09,0.02,0.3,29.73,38.31
48249,0.74,5.07,1.16,0.2,0.02,0.18,0.02,0.42,39.95,47.33
48251,0.83,6.07,1.29,0.21,0.01,0.26,0.04,0.52,67.59,76.3
48253,0.91,4.65,1.56,0.23,0.01,0.13,0.03,0.4,61.44,68.96
48255,0.91,5.12,1.32,0.22,0.01,0.14,0.03,0.39,45.32,53.05
48257,0.84,5.04,1.19,0.23,0.02,0.2,0.02,0.47,70.25,77.78
48259,0.61,4.97,0.82,0.2,0.01,0.09,0.02,0.32,39.68,46.39
48261,0.65,4.43,0.74,0.2,0.02,0.13,0.04,0.4,24.87,31.08
48263,0.84,4.56,1.1,0.33,0.02,0.1,0.03,0.49,58.86,65.83
48265,0.82,6.24,1.14,0.19,0.01,0.17,0.03,0.39,43.94,52.54
48267,0.87,5.69,1.19,0.24,0.02,0.19,0.06,0.51,57.92,66.18
48269,0.7,3.42,0.82,0.29,0.01,0.1,0.02,0.43,47.64,53.0
48271,0.82,5.06,0.86,0.2,0.02,0.24,0.05,0.52,30.3,37.55
48273,0.71,5.62,1.06,0.19,0.02,0.17,0.03,0.4,35.2,43.0
48275,0.82,4.49,1.33,0.25,0.01,0.12,0.03,0.42,51.87,58.92
48283,0.77,4.8,0.74,0.19,0.01,0.09,0.02,0.31,22.93,29.55
48277,0.93,4.15,1.94,0.27,0.01,0.1,0.02,0.41,74.91,82.34
48279,0.93,4.91,1.28,0.23,0.02,0.07,0.02,0.35,58.47,65.94
48281,0.78,5.2,1.0,0.21,0.01,0.18,0.06,0.46,60.54,67.98
