FIPS,Male_Obesity_%,Female_Obesity_%
13305,40.63,42.94
13307,39.38,47.51
13309,41.67,49.45
13311,34.54,35.21
13313,38.67,39.19
13315,41.18,48.75
13317,41.21,47.37
13319,39.5,45.93
13321,40.88,45.73
15001,29.15,28.0
15003,27.99,25.46
15005,30.25,28.05
15005,30.25,28.05
15007,26.89,25.59
15005,30.25,28.05
15005,30.25,28.05
16001,31.42,30.22
16003,36.52,36.72
16005,35.44,37.02
16007,33.0,32.27
16009,35.12,36.21
16011,38.33,42.59
16013,28.14,24.26
16015,36.98,38.04
16017,29.94,31.19
16019,36.9,34.3
16021,33.59,35.42
16023,35.17,34.2
16025,36.39,34.37
16027,35.46,41.22
16029,37.46,36.39
16031,39.18,39.51
16033,38.86,40.97
16035,34.58,36.22
16037,34.3,33.18
16039,34.91,36.09
16041,34.48,33.9
16043,31.86,30.26
16045,36.84,40.37
16047,38.28,40.74
16049,35.23,35.61
16051,38.16,35.36
16053,38.35,44.04
16055,31.56,32.5
16057,30.77,33.66
16059,33.99,33.04
16061,35.45,36.54
16063,36.5,38.49
16065,35.8,34.96
16067,37.6,41.99
16069,37.7,38.52
16071,35.23,34.58
16073,38.02,43.86
16075,34.16,38.28
16077,37.41,37.83
16079,36.76,36.9
16081,31.19,29.18
16083,33.02,38.28
16085,32.82,32.61
16087,37.22,39.48
17001,33.66,36.29
17003,41.72,48.51
17005,35.89,37.36
17007,35.66,36.91
17009,38.43,39.52
17011,36.13,36.47
17013,36.27,36.13
17015,37.19,36.72
17017,38.68,39.18
17019,32.22,36.33
17021,39.35,36.41
17023,39.28,38.63
17025,36.95,39.04
17027,38.18,36.57
17029,36.78,37.9
17031,31.27,37.26
17033,39.3,37.91
17035,36.73,36.97
17037,35.3,36.02
17039,39.81,36.69
17041,38.41,39.84
17043,32.91,28.41
17045,38.08,39.83
17047,37.79,37.19
17049,32.86,35.03
17051,37.53,40.81
17053,39.03,38.19
17055,38.24,39.07
17057,38.26,40.11
17059,41.43,41.32
17061,37.15,38.87
17063,39.26,35.04
17065,38.98,40.31
17067,36.28,32.79
17069,40.4,40.44
17071,38.4,37.26
17073,37.9,34.62
17075,38.08,38.35
17077,35.5,40.17
17079,36.98,36.71
17081,36.84,39.43
17083,36.18,36.11
17085,35.63,33.84
17087,38.99,39.92
17089,37.07,36.27
17091,40.91,42.62
17093,36.37,32.17
17095,38.94,39.06
17097,30.15,30.81
17099,37.68,35.46
17101,42.72,39.62
17103,35.98,35.44
17105,40.14,38.76
17107,40.38,40.58
17109,35.99,36.04
17111,32.83,33.15
17113,35.9,35.54
17115,39.91,38.93
17117,36.69,41.24
17119,35.51,37.72
17121,38.67,40.32
17123,37.0,35.92
17125,37.87,39.31
17127,39.3,40.33
17129,38.0,37.39
17131,38.28,36.75
17133,36.96,34.11
17135,37.69,37.69
17137,38.24,38.47
17139,39.55,39.42
17141,36.11,36.07
17143,33.15,37.78
17145,39.38,39.8
17147,36.62,35.22
17149,36.63,36.78
17151,37.59,38.55
17153,40.41,46.19
17155,37.72,36.43
17157,40.69,40.36
17159,37.8,37.81
17161,35.31,37.26
17163,38.86,39.98
17165,39.26,40.51
17167,35.27,37.28
17169,37.36,37.0
17171,37.22,36.01
17173,37.03,36.53
17175,38.09,36.62
17177,36.78,37.23
17179,35.9,35.87
17181,38.2,40.49
17183,37.38,41.4
17185,39.58,37.01
17187,37.31,38.22
17189,38.76,37.34
17191,39.64,40.63
17193,39.63,39.4
17195,35.95,35.4
17197,38.25,36.57
17199,38.04,37.31
17201,35.51,38.46
17203,35.93,34.29
18001,38.73,39.2
18003,35.84,42.68
18005,35.83,35.33
18007,36.2,36.8
18009,40.56,38.59
18011,29.65,36.13
18013,36.82,34.77
18015,38.98,37.49
18017,40.17,41.7
18019,36.94,38.57
18021,40.17,41.61
18023,37.41,41.36
18025,38.6,41.25
18027,39.87,43.24
18029,38.07,36.2
18031,39.19,35.83
18033,34.7,38.42
18035,39.22,41.45
18037,35.49,37.87
18039,33.35,41.57
18041,42.18,41.89
18043,36.64,35.44
18045,36.84,38.23
18047,38.34,34.88
18049,39.68,38.92
18051,37.34,36.98
18053,37.85,41.38
18055,36.63,39.29
18057,27.34,29.32
18059,35.84,35.19
18061,38.53,36.06
18063,35.72,37.86
18065,40.91,39.18
18067,38.18,42.04
18069,40.62,41.58
18071,36.6,36.74
18073,38.37,38.31
18075,40.97,40.63
18077,36.11,39.5
18079,38.15,37.14
18081,35.64,36.48
18083,39.25,37.86
18085,36.04,39.27
18087,39.52,45.76
18089,39.2,43.74
18091,40.16,40.54
18093,36.21,39.36
18095,41.02,44.67
18097,34.16,41.26
18099,36.67,38.12
18101,36.51,41.46
18103,38.08,43.27
18105,32.12,32.56
18107,36.13,39.9
18109,37.2,39.42
18111,39.13,41.63
18113,33.79,43.64
18115,38.16,36.65
18117,36.8,42.01
18119,39.47,39.93
18121,39.3,42.52
18123,37.37,39.37
18125,38.93,39.0
18127,36.34,37.34
18129,37.77,37.05
18131,40.16,38.44
18133,38.8,39.84
18135,39.14,40.97
18137,38.05,35.25
18139,38.99,37.14
18141,35.54,39.41
18143,38.45,40.92
18145,39.53,38.4
18147,38.18,35.99
18149,41.96,41.29
18151,37.22,38.39
18153,39.71,40.91
18155,39.62,40.87
18157,34.13,33.71
18159,35.66,38.26
18161,36.5,35.9
18163,35.53,39.94
18165,36.8,39.21
18167,37.6,40.55
18169,38.25,42.88
18171,37.37,38.37
18173,35.65,35.05
18175,38.14,39.1
18177,35.41,40.39
18179,39.18,36.82
18181,38.54,39.2
18183,36.5,42.33
19001,37.32,33.95
19003,36.83,36.13
19005,36.69,34.76
19007,36.86,38.53
19009,38.59,36.99
19011,38.5,38.01
19013,35.76,37.04
19015,39.89,37.34
19017,33.19,34.65
19019,37.07,37.05
19021,38.88,35.99
19023,35.84,33.65
19025,36.49,35.73
19027,36.11,37.28
19029,38.43,38.4
19031,39.9,37.1
19033,35.81,33.18
19035,36.55,34.59
19037,36.5,35.48
19039,38.62,36.95
19041,34.81,33.95
19043,36.45,35.67
19045,37.21,36.84
19047,39.45,37.79
19049,39.29,34.16
19051,37.47,38.25
19053,36.27,35.99
19055,37.45,38.33
19057,37.57,38.4
19059,34.13,33.3
19061,33.92,34.7
19063,36.93,37.79
19065,38.87,37.82
19067,35.32,34.88
19069,39.27,37.4
19071,38.66,37.21
19073,38.77,38.82
19075,36.14,34.04
19077,37.26,35.27
19079,39.13,34.76
19081,36.45,36.12
19083,37.15,36.39
19085,39.06,35.73
19087,37.37,35.58
19089,37.04,36.03
19091,36.65,37.72
19093,37.37,34.25
19095,37.59,37.46
19097,37.41,36.58
19099,39.08,39.99
19101,32.09,36.01
19103,25.29,27.15
19105,36.4,36.22
19107,36.08,37.09
19109,34.79,36.8
19111,38.46,37.68
19113,36.31,35.17
19115,39.89,42.51
19117,37.59,40.25
19119,35.23,34.4
19121,38.62,33.29
19123,35.71,37.48
19125,35.73,38.57
19127,38.83,39.66
19129,38.21,33.37
19131,37.54,35.41
19133,36.9,34.96
19135,35.76,37.38
19137,38.36,37.65
19139,40.37,43.06
19141,35.35,35.81
19143,37.27,37.14
19145,38.36,37.29
19147,39.01,37.44
19149,38.35,36.21
19151,35.5,34.89
19153,35.9,35.41
19155,38.77,37.4
19157,37.0,36.34
19159,36.04,34.22
19161,36.7,35.22
19163,36.42,34.71
19165,38.9,35.99
19167,36.07,34.81
19169,34.66,34.27
19171,38.06,37.72
19173,35.29,34.77
19175,36.85,33.62
19177,37.62,36.7
19179,36.13,37.56
19181,39.53,38.24
19183,37.5,38.05
19185,36.13,37.42
19187,38.03,36.84
19189,36.13,33.68
19191,35.12,32.47
19193,37.5,38.35
19195,39.48,35.43
19197,37.24,38.02
20001,39.1,42.43
20003,38.47,40.84
20005,39.45,41.79
20007,36.7,36.59
20009,38.52,41.06
20011,38.06,42.68
20013,35.94,38.3
20015,38.27,37.84
20017,38.93,36.95
20019,37.48,40.36
20021,41.12,41.76
20023,35.1,33.69
20025,36.17,35.78
20027,35.65,35.99
20029,37.4,36.65
20031,36.92,36.92
20033,37.23,36.98
20035,38.74,41.25
20037,39.49,40.22
20039,34.95,33.74
20041,37.33,39.18
20043,38.77,39.71
20045,31.82,32.58
20047,37.93,37.14
20049,38.22,37.8
20051,35.8,34.14
20053,36.75,37.21
20055,38.66,39.69
20057,39.25,43.63
20059,38.29,39.45
20061,35.23,38.56
20063,34.37,33.15
20065,34.67,35.49
20067,37.47,37.97
20069,41.05,41.22
20071,35.13,35.75
20073,36.88,36.04
20075,34.79,36.6
20077,37.62,39.25
20079,37.7,38.3
20081,39.49,41.14
20083,37.25,36.36
20085,36.18,38.56
20087,37.62,37.89
20089,35.95,34.94
20091,30.73,29.03
20093,37.42,39.06
20095,38.29,39.19
20097,35.83,35.24
20099,37.86,41.91
20101,37.91,36.06
20103,36.67,39.52
20105,35.62,37.44
20107,37.69,40.54
20109,34.85,32.58
20111,39.03,38.46
20113,38.81,37.52
20115,38.85,38.44
20117,37.26,34.86
20119,36.96,36.79
20121,36.99,38.86
20123,36.57,36.5
20125,38.11,39.2
20127,36.86,35.59
20129,34.31,34.3
20131,34.95,33.87
20133,39.28,39.15
20135,36.68,34.67
20137,35.76,35.57
20139,38.53,40.9
20141,35.84,35.6
20143,36.34,37.59
20145,37.1,36.56
20147,35.98,34.93
20149,37.29,35.76
20151,37.61,35.74
20153,36.53,34.84
20155,36.67,39.09
20157,34.46,33.52
20159,36.07,37.16
20161,32.02,33.08
20163,35.44,34.53
20165,37.36,36.67
20167,36.59,36.74
20169,37.14,41.6
20171,37.78,37.12
20173,34.89,38.97
20175,38.57,42.22
20177,38.14,39.55
20179,34.91,34.07
20181,37.4,35.46
20183,35.22,34.51
20185,37.62,37.73
20187,38.89,40.54
20189,36.32,36.66
20191,39.61,41.46
20193,37.38,33.63
20195,36.25,35.83
20197,37.23,35.41
20199,36.9,36.67
20201,36.63,35.87
20203,35.8,37.57
20205,39.44,38.74
20207,36.34,37.44
20209,41.12,50.08
21001,40.73,43.4
21003,38.15,42.18
21005,39.23,35.71
21007,38.19,38.09
21009,34.75,39.33
21011,41.44,43.47
21013,41.31,43.55
21015,35.84,34.63
21017,38.98,41.75
21019,38.44,40.03
21021,36.69,34.47
21023,40.28,40.98
21025,44.23,50.35
21027,38.06,40.46
21029,40.58,39.77
21031,40.89,42.45
21033,39.57,40.19
21035,35.38,34.65
21037,36.63,36.2
21039,38.44,37.78
21041,40.04,43.24
21043,42.5,40.75
21045,42.44,44.95
21047,40.07,40.99
21049,38.4,37.57
21051,42.99,47.92
21053,42.12,46.73
21055,41.95,42.36
21057,40.07,43.52
21059,37.47,34.94
21061,38.46,39.58
21063,40.26,42.78
21065,39.77,43.09
21067,30.76,34.19
21069,41.48,41.01
21071,44.84,46.31
21073,37.21,40.97
21075,41.26,46.31
21077,40.57,42.4
21079,40.91,39.81
21081,39.22,40.03
21083,38.73,39.4
21085,40.1,42.2
21087,38.44,41.96
21089,43.28,42.33
21091,36.17,35.47
21093,35.03,36.89
21095,43.35,42.55
21097,38.0,41.37
21099,41.39,44.45
21101,38.67,39.9
21103,38.63,41.5
21105,39.96,42.52
21107,38.32,41.49
21109,42.14,48.02
21111,34.58,39.51
21113,36.3,34.76
21115,43.47,46.98
21117,38.38,36.29
21119,45.04,47.7
21121,40.21,44.56
21123,37.15,40.15
21125,38.6,41.48
21127,41.9,45.41
21129,41.58,47.7
21131,44.99,44.66
21133,44.54,44.31
21135,46.11,45.57
21137,41.7,44.1
21139,39.83,39.61
21141,39.33,40.42
21143,39.07,38.73
21145,35.96,34.87
21147,38.59,42.97
21149,39.32,41.41
21151,37.15,37.15
21153,42.95,46.79
21155,37.14,37.91
21157,37.74,35.63
21159,43.15,50.44
21161,39.44,38.46
21163,38.0,40.0
21165,41.83,45.3
21167,39.41,36.29
21169,41.1,44.14
21171,37.9,42.34
21173,39.45,40.02
21175,40.29,45.03
21177,39.06,42.25
21179,38.63,36.8
21181,40.82,42.45
21183,38.78,42.18
21185,34.87,32.67
21187,37.67,39.93
21189,46.87,52.99
21191,38.52,40.26
21193,43.39,44.24
21195,41.09,43.18
21197,40.56,43.96
21199,37.77,37.47
21201,41.92,43.6
21203,42.33,45.45
21205,38.64,38.65
21207,38.57,40.98
21209,37.78,40.34
21211,38.21,39.24
21213,38.07,37.55
21215,38.63,35.61
21217,36.52,41.1
21219,40.18,43.02
21221,39.88,39.13
21223,38.47,40.44
21225,41.16,41.2
21227,33.95,36.62
21229,38.99,36.62
21231,39.18,43.39
21233,41.38,42.38
21235,38.12,41.19
21237,44.56,50.86
21239,35.52,36.29
22001,41.62,38.75
22003,45.62,44.94
22005,39.4,37.72
22007,43.14,46.05
22009,44.38,46.92
22011,41.73,40.07
22013,41.36,46.08
22015,38.92,37.62
22017,37.22,42.58
22019,41.5,39.66
22021,41.18,40.35
22023,42.0,40.47
22025,44.06,45.42
22027,41.05,47.82
22029,44.86,45.44
22031,42.47,46.95
22033,37.95,39.41
22035,46.59,58.95
22037,40.42,42.99
22039,43.55,44.34
22041,43.14,47.14
22043,40.64,41.8
22045,39.99,42.34
22047,42.14,47.11
22049,41.18,41.7
22051,38.17,40.57
22053,44.51,43.02
22055,35.39,35.17
22057,45.37,43.87
22059,41.1,40.37
22061,39.65,41.06
22063,40.85,39.78
22065,42.95,53.51
22067,42.62,48.37
22069,42.76,47.18
22071,33.08,43.14
22073,39.61,41.34
22075,40.82,41.45
22077,41.68,45.42
22079,39.75,42.92
22081,43.49,49.24
22083,44.32,49.61
22085,42.84,45.38
22087,38.11,39.25
22089,42.37,42.14
22091,40.98,48.37
22093,41.74,45.28
22095,43.15,47.12
22097,41.87,46.35
22099,40.81,45.17
22101,41.94,47.49
22103,37.38,34.08
22105,40.83,46.23
22107,42.03,51.51
22109,43.76,46.44
22111,40.62,47.86
22113,41.31,39.81
22115,40.73,43.2
22117,42.22,47.93
22119,42.59,43.42
22121,40.73,41.25
22123,44.22,46.24
22125,42.39,43.61
22127,41.78,43.58
23001,35.07,40.01
23003,38.26,41.19
23005,27.8,28.2
23007,34.41,37.61
23009,31.5,32.25
23011,33.22,36.18
23013,31.01,29.99
23015,28.79,30.2
23017,34.57,37.55
23019,36.27,39.56
23021,37.51,39.5
23023,30.62,33.79
23025,38.55,42.6
23027,33.55,36.36
23029,37.13,40.26
23031,31.95,33.03
24001,37.36,39.68
24003,35.89,33.81
24005,33.75,36.0
24009,37.42,37.06
24011,40.95,43.48
24013,36.89,36.02
24015,38.94,38.64
24017,37.94,42.23
24019,40.5,47.07
24021,34.18,33.4
24023,35.89,41.51
24025,37.47,35.49
24027,31.03,28.14
24029,35.93,37.85
24031,24.81,25.51
24033,35.95,45.52
24035,36.7,34.53
24037,36.65,39.01
24039,42.65,51.74
24041,35.46,34.5
24043,38.15,39.08
24045,37.37,43.75
24047,37.42,41.34
24510,35.36,46.15
25001,27.85,24.0
25003,27.89,31.66
25005,35.88,36.51
25007,29.13,25.31
25009,33.16,30.6
25011,28.14,30.82
25013,35.14,38.13
25015,27.96,29.09
25017,30.43,29.91
25019,30.84,26.34
