State,State Abbreviation,County,FIPS,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Epidemiological Factors,Healthcare System Factors,CCVI Score
Georgia,GA,Jefferson,13163,0.956064947,0.812480102,0.814071952,0.904170646,0.70805476,0.806749443,0.98249
Texas,TX,Hardeman,48197,0.820439351,0.927730022,0.925501433,0.894619548,0.878064311,0.502706145,0.982171
Georgia,GA,Terrell,13273,0.963069086,0.94014645,0.662527857,0.739255014,0.921044253,0.948742439,0.981853
South Dakota,SD,Buffalo,46017,0.99808978,0.980579433,0.900986947,0.992040751,0.679719834,0.272524674,0.981535
Georgia,GA,Jenkins,13165,0.88443171,0.667940146,0.918178924,0.653613499,0.76567972,0.862782553,0.981216
North Carolina,NC,Halifax,37083,0.919452404,0.923272843,0.769181789,0.759630691,0.888252149,0.893346068,0.980898
Alabama,AL,Wilcox,01131,0.985991722,0.696593442,0.865329513,0.717287488,0.746895893,0.919134034,0.980579
North Carolina,NC,Bertie,37015,0.968799745,0.735752945,0.753263292,0.819484241,0.788602356,0.99808978,0.980261
Texas,TX,Dickens,48125,0.933779051,0.961158867,0.778096148,0.980261063,0.442215855,0.819484241,0.979943
Georgia,GA,Candler,13043,0.956701687,0.971346705,0.808022923,0.985991722,0.52881248,0.623049984,0.979624
Alabama,AL,Hale,01065,0.927411652,0.962113976,0.632919452,0.853549825,0.908309456,0.9385546,0.979306
Georgia,GA,Evans,13109,0.94333015,0.976122254,0.926456543,0.755810252,0.614772365,0.782871697,0.978988
North Carolina,NC,Vance,37181,0.88092964,0.859280484,0.871060172,0.869149952,0.807067813,0.902578797,0.978669
Texas,TX,Calhoun,48057,0.725565107,0.888570519,0.948105699,0.966889526,0.739255014,0.609678446,0.978351
South Carolina,SC,Williamsburg,45089,0.911811525,0.925183063,0.717924228,0.875198981,0.969118115,0.701687361,0.978032
Georgia,GA,Atkinson,13003,0.979942693,0.850047755,0.962750716,0.910219675,0.154727794,0.964660936,0.977714
Alabama,AL,Sumter,01119,0.973256925,0.651384909,0.804839223,0.960203757,0.641515441,0.936644381,0.977396
Georgia,GA,Mitchell,13205,0.984399873,0.692454632,0.876154091,0.858325374,0.486150907,0.947150589,0.977077
Illinois,IL,Pulaski,17153,0.905125756,0.860235594,0.596306909,0.737663165,0.908946195,0.94269341,0.976759
Mississippi,MS,Noxubee,28103,0.984718243,0.918497294,0.715695638,0.952881248,0.893982808,0.523081821,0.976441
North Carolina,NC,Hyde,37095,0.967844635,0.577523082,0.908309456,0.909264565,0.437758676,0.971983445,0.976122
Arkansas,AR,Mississippi,05093,0.910219675,0.958293537,0.730659026,0.805157593,0.868513212,0.771092009,0.975804
Idaho,ID,Clark,16033,0.975167144,0.204075135,0.990448902,0.956064947,0.847182426,0.443489335,0.975486
North Carolina,NC,Columbus,37047,0.852594715,0.856096784,0.808341293,0.779051258,0.753263292,0.978669214,0.975167
Georgia,GA,Calhoun,13037,0.979305954,0.255332697,0.898121617,0.972301815,0.688634193,0.957020057,0.974849
Texas,TX,Collingsworth,48087,0.907991086,0.915950334,0.94014645,0.975167144,0.46768545,0.560967845,0.97453
Texas,TX,Kinney,48271,0.924546323,0.339382362,0.983763133,0.952562878,0.520534862,0.683858644,0.974212
Florida,FL,Gadsden,12039,0.895893028,0.808659663,0.922317733,0.873925501,0.861509074,0.76504298,0.973894
